target,relatedWord,pinyin,meaning,level
子,本子,běn zi,vở bài tập,1
子,杯子,bēi zi,cốc,1
子,桌子,zhuō zi,bàn,1
子,椅子,yǐ zi,ghế,1
子,面子,miàn zi,thể diện,1
子,饺子,jiǎo zi,há cảo,1
子,鼻子,bí zi,mũi,1
子,男孩子,nán hái zi,cậu bé,1
子,例子,lì zi,ví dụ,2
子,句子,jù zi,câu,2
孔,毛孔,máo kǒng,Lỗ chân lông,5
孕,怀孕,huái yùn,mang thai,3
孕,孕育,yùn yù,thai nghén,4
孕,孕妇,yùn fù,phụ nữ mang thai,7
字,名字,míng zi,tên,1
字,汉字,hàn zì,chữ Hán,1
字,字典,zì diǎn,từ điển,2
字,数字,shù zì,chữ số,2
字,简化字,jiǎn huà zì,Chữ giản thể,2
字,文字,wén zì,chữ viết,3
字,十字架,shí zì jià,"thập tự giá, thánh giá",3
字,字母,zì mǔ,chữ cái,4
字,字幕,zì mù,phụ đề,5
字,简体字,jiǎn tǐ zì,chữ giản thể,5
字,繁体字,fán tǐ zì,chữ Hán truyền thống,5
字,字画,zì huà,"Tranh chữ, thư họa (thư pháp và hội họa)",6
字,识字,shí zì,biết chữ,6
字,赤字,chì zì,thâm hụt,6
字,写字台,xiě zì tái,bàn viết,6
存,保存,bǎo cún,lưu trữ,3
存,存在,cún zài,tồn tại,3
存,生存,shēng cún,sống,3
存,永世长存,yǒng shì cháng cún,"Muôn đời tồn tại, vĩnh viễn trường tồn",3
存,存活,cún huó,"sống sót, tồn tại",5
存,储存,chú cún,lưu trữ,6
存,内存,nèi cún,bộ nhớ trong,7
存,存心,cún xīn,cố tình,7
存,存折,cún zhé,sổ tiết kiệm,7
存,存放,cún fàng,cất giữ,7
存,幸存,xìng cún,sống sót,7
孙,孙女,sūn nǚ,cháu gái (con trai),4
孙,孙子,sūn zi,cháu trai,4
孙,子孙,zǐ sūn,hậu duệ,7
孙,长孙,zhǎng sūn,"cháu đích tôn, cháu trai trưởng",8
孝,孝敬,xiào jìng,hiếu thảo,4
孝,孝顺,xiào shùn,hiếu thảo,5
孝,孝心,xiào xīn,Lòng hiếu thảo,7
季,季节,jì jié,mùa,1
季,四季,sì jì,bốn mùa,3
季,冬季,dōng jì,mùa đông,4
季,夏季,xià jì,mùa hè,4
季,季度,jì dù,quý,4
季,春季,chūn jì,mùa xuân,4
季,秋季,qiū jì,mùa thu,4
季,季军,jì jūn,huy chương đồng,6
季,淡季,dànjì,mùa thấp điểm,6
季,旺季,wàng jì,mùa bận rộn,7
孤,孤儿,gū'ér,trẻ mồ côi,6
孤,孤独,gū dú,cô đơn; nỗi cô đơn,6
孤,孤立,gū lì,cô lập,6
孤,孤单,gū dān,cô đơn,7
孤,孤零零,gū líng líng,cô đơn,7
孤,孤陋寡闻,gū lòu guǎ wén,thiếu hiểu biết,7
学,上学,shàng xué,đi học,1
学,中学,zhōng xué,trường trung học cơ sở,1
学,同学,tóng xué,bạn học,1
学,大学,dà xué,đại học,1
学,学习,xué xí,học,1
学,学期,xué qī,học kỳ,1
学,学校,xué xiào,trường học,1
学,学生,xué shēng,sinh viên,1
学,学院,xué yuàn,học viện,1
学,小学,xiǎo xué,trường tiểu học,1
学,放学,fàng xué,tan học,1
学,教学,jiào xué,dạy học; giảng dạy,1
学,文学,wén xué,văn học,1
学,中学生,zhōng xué shēng,học sinh trung học,1
学,大学生,dà xué shēng,sinh viên đại học,1
学生,中学生,zhōng xué shēng,học sinh trung học,1
学生,大学生,dà xué shēng,sinh viên đại học,1
学生,小学生,xiǎo xué shēng,học sinh tiểu học,1
学生,留学生,liú xué shēng,du học sinh,1
学生,学生证,xué shēng zhèng,Thẻ học sinh/sinh viên,2
孩,孩子,hái zi,trẻ em,1
孩,小孩,xiǎo hái,trẻ em,1
孩,女孩儿,nǚ háir,con gái,1
孩,男孩子,nán hái zi,cậu bé,1
孩,小孩儿,xiǎo háir,trẻ con; đứa trẻ,2
孩,男孩儿,nán háir,bé trai; con trai,2
孩子,男孩子,nán hái zi,cậu bé,1
孪,孪生,luán shēng,sinh đôi,7
孱,孱弱,chán ruò,Yếu ớt; ốm yếu; mỏng manh,4
孵,孵化,fū huà,nở,7
宁,宁静,níng jìng,"yên bình, tĩnh lặng",2
宁,宁可,nìng kě,thà,5
宁,宁愿,nìng yuàn,thà,6
宁,安宁,ān níng,bình yên,6
它,它们,tā men,chúng,1
宅,住宅,zhù zhái,nhà ở,4
宇,宇航员,yǔ háng yuán,phi hành gia,6
宇,宇宙,yǔ zhòu,vũ trụ,7
守,保守,bǎo shǒu,bảo thủ,4
守,守岁,shǒu suì,thức đêm đón giao thừa,5
守,留守,liú shǒu,"ở lại trông coi, ở lại giữ gìn",5
守,遵守,zūn shǒu,tuân thủ,5
守,守护,shǒu hù,bảo vệ,6
守,防守,fáng shǒu,phòng thủ,6
守,坚守,jiān shǒu,kiên trì giữ vững,7
守,守候,shǒu hòu,trông nom,7
守,守株待兔,shǒu zhū dài tù,chờ đợi vô ích,7
守,安分守己,ān fèn shǒu jǐ,"An phận thủ thường, biết thân biết phận",7
安,安排,ān pái,sắp xếp,1
安,晚安,wǎn'ān,chúc ngủ ngon,1
安,西安,Xī'ān,Tây An (thành phố),1
安,安全,ān quán,an toàn; an ninh,2
安,安静,ān jìng,"yên tĩnh, bình yên",2
安,平安,píng'ān,bình an; an toàn,2
安,一路平安,yī lù píng'ān,Thượng lộ bình an,2
安,不安,bù'ān,bất an,3
安,保安,bǎo'ān,bảo vệ,3
安,安装,ān zhuāng,cài đặt,3
安,安置,ān zhì,sắp xếp,4
安,安慰,ān wèi,an ủi,5
安,公安,gōng'ān,công an,6
安,安宁,ān níng,bình yên,6
安,安心,ān xīn,giữ tâm trí của một người,6
完,完全,wán quán,hoàn toàn,2
完,完成,wán chéng,hoàn thành,2
完,完善,wán shàn,hoàn thiện,3
完,完整,wán zhěng,hoàn chỉnh,3
完,完美,wán měi,hoàn hảo,3
完,完备,wán bèi,hoàn chỉnh,6
完,完毕,wán bì,hoàn thành,6
完,完好,wán hǎo,trong tình trạng tốt,7
完,完满,wán mǎn,"Viên mãn, hoàn hảo",7
完,完蛋,wán dàn,xong đời,7
完,没完没了,méi wán méi liǎo,"vô tận, không kết thúc",7
宏,宏观,hóng guān,vĩ mô,3
宏,宏伟,hóng wěi,tráng lệ,6
宏,宏大,hóng dà,hoành tráng,6
宗,祖宗,zǔ zong,tổ tiên,4
宗,宗教,zōng jiào,tôn giáo,5
宗,宗旨,zōng zhǐ,mục đích,6
宗,正宗,zhèng zōng,chính thống,6
宗,大宗,dà zōng,số lượng lớn,7
官,器官,qì guān,cơ quan,3
官,打官司,dǎ guān sī,kiện,3
官,官方,guān fāng,chính thức,4
官,法官,fǎ guān,thẩm phán,4
官,外交官,wài jiāo guān,nhà ngoại giao,4
官,官司,guān sī,vụ kiện,6
官,军官,jūn guān,sĩ quan,7
官,官僚,guān liáo,quan chức,7
官,官兵,guān bīng,cán bộ và binh lính,7
官,官吏,guān lì,quan chức,7
官,官员,guān yuán,quan chức,7
官,警官,jǐng guān,cảnh sát,7
官,官僚主义,guān liáo zhǔ yì,chủ nghĩa quan liêu,7
官僚,官僚主义,guān liáo zhǔ yì,chủ nghĩa quan liêu,7
官司,打官司,dǎ guān sī,kiện,3
宙,宇宙,yǔ zhòu,vũ trụ,7
定,一定,yī dìng,nhất định,1
定,决定,jué dìng,quyết định; quyết định,1
定,不一定,bù yī dìng,không nhất thiết,2
定,制定,zhì dìng,thiết lập,3
定,否定,fǒu dìng,phủ định,3
定,定期,dìng qī,định kỳ; thường xuyên,3
定,确定,què dìng,xác định,3
定,规定,guī dìng,quy định,3
定,固定,gù dìng,cố định; gắn chặt,4
定,定性,dìng xìng,định tính; xác định bản chất/thuộc tính,4
定,断定,duàn dìng,kết luận,4
定,稳定,wěn dìng,ổn định; làm ổn định,4
定,肯定,kěn dìng,"tích cực, chấp thuận, chắc chắn",4
定,说不定,shuō bu dìng,có lẽ,4
定,坚定,jiān dìng,vững chắc,5
宜,便宜,pián yi,rẻ,1
宜,适宜,shì yí,thích hợp,6
宜,不宜,bù yí,không phù hợp,7
宜,事宜,shì yí,vấn đề,7
宝,国宝,guó bǎo,bảo vật quốc gia,3
宝,充电宝,chōng diàn bǎo,sạc dự phòng,3
宝,宝地,bǎo dì,"Đất quý, vùng đất màu mỡ/phong thủy tốt",4
宝,宝宝,bǎo bǎo,em bé,4
宝,宝石,bǎo shí,đá quý,4
宝,宝贝,bǎo bèi,bảo bối,4
宝,宝贵,bǎo guì,quý giá,4
宝,珠宝,zhū bǎo,"trang sức, ngọc trai và đá quý",6
宝,宝库,bǎo kù,kho báu,7
宝,宝藏,bǎo zàng,kho báu,7
宝,法宝,fǎ bǎo,"bảo bối, vũ khí bí mật, thủ đoạn đặc biệt",7
宝,瑰宝,guī bǎo,kho báu,7
实,确实,què shí,thực sự,1
实,其实,qí shí,thực ra,2
实,实习,shí xí,thực tập,2
实,实在,shí zài,thực sự,2
实,实惠,shí huì,hữu ích,2
实,实现,shí xiàn,đạt được,2
实,实行,shí xíng,thực hiện,2
实,实话,shí huà,sự thật,2
实,实际,shí jì,thực tế,2
实,实验,shí yàn,thí nghiệm; tiến hành thí nghiệm,2
实,事实,shì shí,sự thật,3
实,充实,chōng shí,phong phú,3
实,实力,shí lì,sức mạnh thực tế,3
实,现实,xiàn shí,thực tế,3
实,真实,zhēn shí,thật,3
实力,软实力,ruǎn shí lì,quyền lực mềm,7
实话,说实话,shuō shí huà,nói thật nhé,6
实话,实话实说,shí huà shí shuō,nói thẳng,7
实话,说老实话,shuō lǎo shí huà,nói thật,7
实际,实际上,shí jì shàng,thực tế,3
实验,实验室,shí yàn shì,phòng thí nghiệm,3
宠,宠物,chǒng wù,thú cưng,4
宠,宠爱,chǒng'ài,nuông chiều,7
审,审查,shěn chá,kiểm duyệt,6
审,审判,shěn pàn,xét xử; thử,7
审,审定,shěn dìng,phê duyệt,7
审,审批,shěn pī,kiểm tra và phê duyệt,7
审,审核,shěn hé,kiểm tra; xác minh,7
审,审美,shěn měi,thẩm mỹ,7
审,审视,shěn shì,xem xét kỹ lưỡng,7
审,评审,píng shěn,đánh giá,7
客,做客,zuò kè,làm khách,1
客,客人,kè rén,khách hàng,1
客,客气,kè qi,lịch sự,1
客,请客,qǐng kè,mời,1
客,不客气,bù kè qi,không có chi,1
客,别客气,bié kè qi,"Đừng khách sáo, đừng ngại",1
客,旅客,lǚ kè,hành khách,2
客,顾客,gù kè,khách hàng,2
客,客观,kè guān,khách quan,3
客,政客,zhèng kè,Chính khách,3
客,游客,yóu kè,Du khách; khách du lịch,3
客,黑客,hēi kè,hacker,3
客,客厅,kè tīng,phòng khách,4
客,乘客,chéng kè,hành khách,5
客,好客,hào kè,hiếu khách,5
客气,不客气,bù kè qi,không có chi,1
客气,别客气,bié kè qi,"Đừng khách sáo, đừng ngại",1
宣,宣布,xuān bù,công bố,3
宣,宣传,xuān chuán,quảng bá,5
宣,宣扬,xuān yáng,tuyên dương,6
宣,宣誓,xuān shì,tuyên thệ,6
宣,宣告,xuān gào,tuyên bố,7
宣,宣泄,xuān xiè,sự xả giận,7
宣,宣称,xuān chēng,tuyên bố,7
宣,宣言,xuān yán,tuyên ngôn,7
宣,宣读,xuān dú,tuyên đọc,7
室,教室,jiào shì,lớp học,1
室,办公室,bàn gōng shì,văn phòng,2
室,实验室,shí yàn shì,phòng thí nghiệm,3
室,室内乐,shì nèi yuè,nhạc thính phòng,3
室,卧室,wò shì,phòng ngủ,5
室,室内,shì nèi,"trong nhà, nội thất",5
室,寝室,qǐn shì,ký túc xá,7
室,浴室,yù shì,phòng tắm,7
室,温室,wēn shì,nhà kính,7
室,皇室,huáng shì,hoàng gia,7
室,餐室,cān shì,phòng ăn,7
室,手术室,shǒu shù shì,phòng phẫu thuật,7
室,更衣室,gēng yī shì,phòng thay đồ,7
室,演播室,yǎn bō shì,phòng phát hình,7
室,传达室,chuán dá shì,"Phòng bảo vệ, phòng trực ban",8
室内,室内乐,shì nèi yuè,nhạc thính phòng,3
宪,宪法,xiàn fǎ,hiến pháp,6
宫,故宫,Gù gōng,Cố Cung (Tử Cấm Thành),5
宫,王宫,wáng gōng,"cung điện, hoàng cung",5
宫,宫廷,gōng tíng,cung đình,7
宫,宫殿,gōng diàn,cung điện,7
宫,皇宫,huáng gōng,cung điện,7
宰,宰杀,zǎi shā,giết mổ,3
宰,主宰,zhǔ zǎi,thống trị,7
宰,任人宰割,rèn rén zǎi gē,để cho người khác chà đạp,7
害,厉害,lì hai,ngầu,2
害,危害,wēi hài,gây hại,3
害,妨害,fáng hài,gây hại,3
害,害怕,hài pà,sợ hãi,3
害,伤害,shāng hài,làm hại,4
害,害羞,hài xiū,xấu hổ,4
害,灾害,zāi hài,thảm họa,5
害,利害,lì hài,lợi hại,6
害,迫害,pò hài,đàn áp,6
害,侵害,qīn hài,xâm phạm,7
害,受害,shòu hài,bị thiệt hại,7
害,害虫,hài chóng,côn trùng gây hại,7
害,损害,sǔn hài,"gây hại, tổn hại",7
害,杀害,shā hài,giết hại,7
害,残害,cán hài,"tàn hại, hủy hoại, làm hại nghiêm trọng",7
宴,宴会,yàn huì,tiệc,2
宵,通宵,tōng xiāo,suốt đêm,7
宵,元宵节,Yuán xiāo jié,Tết Nguyên Tiêu,7
家,回家,huí jiā,trở về nhà,1
家,国家,guó jiā,quốc gia,1
家,在家,zài jiā,ở nhà,1
家,大家,dà jiā,mọi người,1
家,家人,jiā rén,thành viên gia đình,1
家,家里,jiā li,ở nhà,1
家,人家,rén jiā,người ta,2
家,作家,zuò jiā,nhà văn,2
家,全家,quán jiā,cả nhà,2
家,家庭,jiā tíng,gia đình,2
家,家教,jiā jiào,gia sư,2
家,家长,jiā zhǎng,phụ huynh,2
家,搬家,bān jiā,chuyển nhà,2
家,画家,huà jiā,"họa sĩ, nghệ sĩ",2
家,老家,lǎo jiā,quê hương,2
家人,一家人,yī jiā rén,cả gia đình,7
家伙,好家伙,hǎo jiā huo,trời ơi,7
家常,家常菜,jiā cháng cài,"món ăn gia đình, món ăn thường ngày",2
家庭,大家庭,dà jiā tíng,gia đình lớn,7
容,容易,róng yì,dễ,1
容,内容,nèi róng,nội dung,2
容,容器,róng qì,đồ chứa,3
容,容许,róng xǔ,cho phép,3
容,兼容,jiān róng,tương thích,4
容,包容,bāo róng,bao dung,4
容,形容,xíng róng,miêu tả,4
容,容忍,róng rěn,chịu đựng,6
容,容纳,róng nà,chứa đựng,6
容,笑容,xiào róng,nụ cười,6
容,美容,měi róng,chăm sóc sắc đẹp,6
容,阵容,zhèn róng,trận hình,6
容,好容易,hǎo róng yì,"Mãi mới, khó khăn lắm mới",6
容,好不容易,hǎo bù róng yì,khó khăn lớn,6
容,不容,bù róng,không cho phép,7
容易,好容易,hǎo róng yì,"Mãi mới, khó khăn lắm mới",6
容易,好不容易,hǎo bù róng yì,khó khăn lớn,6
容易,谈何容易,tán hé róng yì,"Nói thì dễ nhưng làm thì khó, không dễ chút nào",7
宽,宽广,kuān guǎng,rộng rãi,4
宽,宽阔,kuān kuò,rộng lớn,6
宽,宽厚,kuān hòu,khoan hồng,7
宽,宽容,kuān róng,khoan dung,7
宽,宽恕,kuān shù,tha thứ,7
宽,宽敞,kuān chǎng,rộng rãi,7
宽,宽松,kuān sōng,rộng rãi và thoải mái,7
宽,宽泛,kuān fàn,rộng rãi,7
宽,拓宽,tuò kuān,mở rộng,7
宽,心宽体胖,xīn kuān tǐ pán,"Lòng rộng dạ, thoải mái nên thân hình mập mạp, béo tốt (ám chỉ người sống vô tư, ít lo nghĩ nên mập mạp)",8
宾,宾馆,bīn guǎn,khách sạn,2
宾,相敬如宾,xiāng jìng rú bīn,tương kính như khách (vợ chồng),5
宾,嘉宾,jiā bīn,khách mời danh dự,6
宾,宾客,bīn kè,"Khách, khách mời",7
宾,来宾,lái bīn,khách,7
宾,贵宾,guì bīn,khách quý,7
宿,宿舍,sù shè,ký túc xá,1
宿,住宿,zhù sù,ở lại qua đêm,7
宿,归宿,guī sù,mục tiêu cuối cùng,7
宿,食宿,shí sù,ăn ở,7
宿,风餐露宿,fēng cān lù sù,ăn gió nằm sương,7
寂,寂静,jì jìng,yên tĩnh,6
寂,寂寞,jì mò,cô đơn,7
寄,寄生,jì shēng,ký sinh,5
寄,寄托,jì tuō,ủy thác,7
密,亲密,qīn mì,thân thiết,2
密,茂密,mào mì,dày đặc,3
密,保密,bǎo mì,bảo mật,4
密,密切,mì qiè,thân thiết,4
密,密码,mì mǎ,mật khẩu,4
密,秘密,mì mì,bí mật,4
密,紧密,jǐn mì,khăng khít,4
密,密封,mì fēng,niêm phong,6
密,密度,mì dù,"mật độ, độ dày",6
密,精密,jīng mì,chính xác,6
密,哈密瓜,hā mì guā,"dưa Hami, dưa lưới",6
密,严密,yán mì,bảo mật,7
密,周密,zhōu mì,cẩn thận và tỉ mỉ,7
密,密集,mì jí,dày đặc,7
密,机密,jī mì,bí mật,7
富,丰富,fēng fù,phong phú,2
富,财富,cái fù,giàu có,4
富,年富力强,nián fù lì qiáng,"trẻ khỏe, sung sức, cường tráng",4
富,富强,fù qiáng,thịnh vượng,5
富,富人,fù rén,người giàu,6
富,富有,fù yǒu,giàu có,6
富,富翁,fù wēng,người giàu,7
富,富裕,fù yù,giàu có,7
富,富豪,fù háo,người giàu và quyền lực,7
富,富足,fù zú,dồi dào,7
富,贫富,pín fù,người nghèo và giàu,7
富,丰富多彩,fēng fù duō cǎi,phong phú và đa dạng,7
富,富丽堂皇,fù lì táng huáng,"lộng lẫy huy hoàng, xa hoa tráng lệ",7
富,富于,fù yú,"Giàu có, phong phú về (cái gì đó); đầy (tính chất gì đó).",8
寒,寒假,hán jià,kỳ nghỉ đông,2
寒,寒舍,hán shè,"Nhà tôi, nhà rách (cách nói khiêm tốn)",3
寒,寒冷,hán lěng,lạnh giá,4
寒,寒暄,hán xuān,chào hỏi,6
寓,公寓,gōng yù,căn hộ,2
寓,寓言,yù yán,ngụ ngôn,5
寓,寓意,yù yì,ý nghĩa ẩn dụ,7
寝,寝室,qǐn shì,ký túc xá,7
寝,废寝忘食,fèi qǐn wàng shí,bỏ ngủ quên ăn,7
寞,寂寞,jì mò,cô đơn,7
察,观察,guān chá,quan sát,3
察,警察,jǐng chá,cảnh sát,3
察,考察,kǎo chá,quan sát và nghiên cứu,4
察,视察,shì chá,kiểm tra,4
察,侦察,zhēn chá,trinh sát,7
察,察看,chá kàn,xem xét kỹ lưỡng,7
察,检察,jiǎn chá,kiểm sát,7
察,监察,jiān chá,giám sát,7
寡,寡妇,guǎ fù,góa phụ,7
寡,孤陋寡闻,gū lòu guǎ wén,thiếu hiểu biết,7
寥,寥寥无几,liáo liáo wú jǐ,cực kỳ ít ỏi,7
寨,山寨,shān zhài,hàng giả,7
寸,尺寸,chǐ cun,kích thước,4
寸,分寸,fēn cùn,chừng mực,7
寸,寸步不离,cùn bù bù lí,"Không rời nửa bước, keo sơn, luôn bên cạnh",7
对,不对,bù duì,sai,1
对,对了,duì le,"À phải rồi, đúng rồi (dùng để chuyển chủ đề hoặc nhớ ra điều gì đó)",1
对,对面,duì miàn,đối diện,1
对,对不起,duì bu qǐ,tôi xin lỗi,1
对,对手,duì shǒu,đối thủ,2
对,对话,duì huà,đối thoại,2
对,反对,fǎn duì,phản đối,3
对,对待,duì dài,đối xử,3
对,对方,duì fāng,bên kia,3
对,对象,duì xiàng,đối tượng,3
对,绝对,jué duì,tuyệt đối,3
对,面对,miàn duì,đối mặt,3
对,对于,duì yú,về,4
对,对比,duì bǐ,tương phản,4
对,针对,zhēn duì,nhắm vào,4
对面,面对面,miàn duì miàn,mặt đối mặt,6
寺,寺庙,sì miào,ngôi đền,7
寺,少林寺,Shào lín Sì,Chùa Thiếu Lâm,7
寺,清真寺,qīng zhēn sì,nhà thờ Hồi giáo,7
寻,寻找,xún zhǎo,tìm kiếm,4
寻,寻常,xún cháng,thường,7
寻,寻觅,xún mì,tìm kiếm,7
寻,搜寻,sōu xún,tìm kiếm,7
寻,不同寻常,bù tóng xún cháng,khác thường,7
寻,耐人寻味,nài rén xún wèi,gợi suy nghĩ,7
寻常,不同寻常,bù tóng xún cháng,khác thường,7
导,辅导,fǔ dǎo,hướng dẫn,2
导,主导,zhǔ dǎo,dẫn dắt,3
导,导演,dǎo yǎn,đạo diễn,3
导,指导,zhǐ dǎo,hướng dẫn,3
导,领导,lǐng dǎo,lãnh đạo; dẫn dắt,3
导,导游,dǎo yóu,hướng dẫn viên,4
导,导致,dǎo zhì,dẫn đến,4
导,引导,yǐn dǎo,hướng dẫn,4
导,向导,xiàng dǎo,hướng dẫn viên,6
导,导向,dǎo xiàng,hướng dẫn,6
导,导弹,dǎo dàn,tên lửa,6
导,导航,dǎo háng,điều hướng,6
导,导师,dǎo shī,giáo viên hướng dẫn,7
导,教导,jiào dǎo,"Dạy bảo, giáo huấn",7
导,疏导,shū dǎo,khai thông,7
寿,寿司,shòu sī,sushi,5
寿,寿命,shòu mìng,tuổi thọ,5
寿,长寿,cháng shòu,tuổi thọ,5
封,信封,xìn fēng,phong bì,3
封,封闭,fēng bì,niêm phong,4
封,密封,mì fēng,niêm phong,6
封,封建,fēng jiàn,phong kiến,6
封,封锁,fēng suǒ,phong tỏa,7
封,封面,fēng miàn,bìa,7
封,封顶,fēng dǐng,đóng mái,7
射,射门,shè mén,"Sút bóng (vào gôn), dứt điểm",2
射,发射,fā shè,phóng,5
射,射击,shè jī,bắn súng,5
射,注射,zhù shè,tiêm,5
射,反射,fǎn shè,"phản xạ, phản chiếu",6
射,放射,fàng shè,"phát ra, bức xạ; bức xạ",6
射,投射,tóu shè,chiếu,7
射,折射,zhé shè,phản chiếu,7
射,辐射,fú shè,phát xạ,7
将,将来,jiāng lái,tương lai,2
将,将近,jiāng jìn,gần,3
将,麻将,má jiàng,mạt chược,3
将,即将,jí jiāng,sắp,4
将,将军,jiāng jūn,tướng quân,5
将,必将,bì jiāng,chắc chắn sẽ,6
尊,尊重,zūn zhòng,tôn trọng,4
尊,尊敬,zūn jìng,tôn trọng,5
尊,尊严,zūn yán,phẩm giá,7
尊,尊贵,zūn guì,tôn quý,7
尊,自尊,zì zūn,tự tôn,7
尊,自尊心,zì zūn xīn,lòng tự trọng,7
小,小姐,xiǎo jiě,cô,1
小,小学,xiǎo xué,trường tiểu học,1
小,小孩,xiǎo hái,trẻ em,1
小,小时,xiǎo shí,giờ,1
小,小学生,xiǎo xué shēng,học sinh tiểu học,1
小,小朋友,xiǎo péng you,bé trai hoặc bé gái,1
小,从小,cóng xiǎo,từ nhỏ,2
小,大小,dà xiǎo,kích thước,2
小,小区,xiǎo qū,khu dân cư,2
小,小声,xiǎo shēng,thì thầm,2
小,小心,xiǎo xīn,cẩn thận,2
小,小组,xiǎo zǔ,nhóm,2
小,小说,xiǎo shuō,"tiểu thuyết, câu chuyện",2
小,中小学,zhōng xiǎo xué,trường tiểu học và trung học cơ sở,2
小,小孩儿,xiǎo háir,trẻ con; đứa trẻ,2
小学,小学生,xiǎo xué shēng,học sinh tiểu học,1
小学,中小学,zhōng xiǎo xué,trường tiểu học và trung học cơ sở,2
小孩,小孩儿,xiǎo háir,trẻ con; đứa trẻ,2
小心,小心翼翼,xiǎo xīn yì yì,cẩn thận tỉ mỉ,6
小心,一不小心,yī bù xiǎo xīn,vô tình,7
小时,小时候,xiǎo shí hou,Hồi nhỏ,2
小时,小时工,xiǎo shí gōng,"Người làm việc theo giờ, nhân viên bán thời gian",7
少,多少,duō shao,bao nhiêu,1
少,不少,bù shǎo,không ít,2
少,少数,shǎo shù,thiểu số,2
少,青少年,qīng shào nián,thanh thiếu niên,2
少,缺少,quē shǎo,thiếu,3
少,至少,zhì shǎo,ít nhất,3
少,少之又少,shǎo zhī yòu shǎo,"cực kỳ ít, hiếm hoi",3
少,减少,jiǎn shǎo,giảm bớt,4
少,少许,shǎo xǔ,"một chút, một ít",5
少,少儿,shào'ér,thiếu nhi,6
少,少女,shào nǚ,thiếu nữ,7
少,少有,shǎo yǒu,hiếm,7
少,少见,shǎo jiàn,hiếm thấy,7
少,少量,shǎo liàng,một lượng nhỏ,7
少,稀少,xī shǎo,hiếm,7
少数,极少数,jí shǎo shù,nhóm thiểu số nhỏ,7
尔,哈尔滨,Hā ěr bīn,Cáp Nhĩ Tân (thành phố ở Trung Quốc),1
尔,偶尔,ǒu ěr,thỉnh thoảng,2
尔,高尔夫,gāo ěr fū,Gôn (golf),3
尔,温文尔雅,wēn wén ěr yǎ,"Ôn hòa nhã nhặn, dịu dàng thanh lịch",4
尔,高尔夫球,gāo'ěr fū qiú,gôn,7
尖,尖端,jiān duān,đầu nhọn,6
尖,尖锐,jiān ruì,sắc bén,7
尖,顶尖,dǐng jiān,"tốt nhất, hàng đầu",7
尖,鼻尖,bí jiān,"chóp mũi, đầu mũi",8
尘,灰尘,huī chén,bụi,5
尘,红尘,hóng chén,"Hồng trần, cõi trần, thế tục, cuộc đời phàm tục",8
尚,高尚,gāo shàng,cao quý,3
尚,和尚,hé shàng,nhà sư Phật giáo,5
尚,时尚,shí shàng,thời trang,5
尚,尚且,shàng qiě,"còn, ngay cả",6
尚,尚未,shàng wèi,chưa,7
尚,崇尚,chóng shàng,tôn trọng,7
尚,风尚,fēng shàng,tập tục hiện tại,7
尝,何尝,hé cháng,"nào có, đâu có (trong câu hỏi tu từ biểu thị phủ định hoặc khẳng định)",4
尝,品尝,pǐn cháng,nếm thử,4
尝,尝试,cháng shì,thử,4
尤,尤其,yóu qí,đặc biệt,4
尤,尤为,yóu wéi,đặc biệt,7
尬,尴尬,gān gà,xấu hổ,6
就,就是,jiù shì,"chính xác, thật sự",1
就,就要,jiù yào,sắp,2
就,早就,zǎo jiù,từ lâu,2
就,就业,jiù yè,việc làm,3
就,成就,chéng jiù,thành tựu,3
就,就餐,jiù cān,ăn uống,5
就,就算,jiù suàn,ngay cả khi,6
就,就职,jiù zhí,nhậm chức,6
就,就近,jiù jìn,gần đó,6
就,迁就,qiān jiù,nhượng bộ,6
就,就是说,jiù shì shuō,nghĩa là,6
就,这就是说,zhè jiù shì shuō,điều đó có nghĩa là,6
就,就任,jiù rèn,nhậm chức,7
就,就医,jiù yī,đi khám bác sĩ,7
就,就地,jiù dì,tại chỗ,7
就是,就是说,jiù shì shuō,nghĩa là,6
就是,这就是说,zhè jiù shì shuō,điều đó có nghĩa là,6
就是,也就是说,yě jiù shì shuō,tức là,7
就是说,这就是说,zhè jiù shì shuō,điều đó có nghĩa là,6
就是说,也就是说,yě jiù shì shuō,tức là,7
尴,尴尬,gān gà,xấu hổ,6
尸,尸体,shī tǐ,xác chết,7
尺,尺子,chǐ zi,thước kẻ,4
尺,尺寸,chǐ cun,kích thước,4
尺,尺度,chǐ dù,tiêu chuẩn,7
尼,尼古丁,ní gǔ dīng,Nicotine,4
尼,尼龙,ní lóng,nylon,7
尽,尽情,jìn qíng,thỏa thích,3
尽,尽量,jǐn liàng,cố gắng hết sức,3
尽,不尽然,bù jìn rán,"không hẳn là vậy, chưa chắc đã vậy",3
尽,费尽心机,fèi jìn xīn jī,"hao hết tâm tư, dốc hết tâm cơ",3
尽,尽力,jìn lì,dốc sức,4
尽,尽快,jǐn kuài,càng sớm càng tốt,4
尽,尽管,jǐn guǎn,mặc dù,4
尽,淋漓尽致,lín lí jìn zhì,"triệt để, thấu đáo, đến cùng (thể hiện rõ nét, sinh động)",5
尽,无穷无尽,wú qióng wú jìn,vô tận,6
尽,竭尽全力,jié jìn quán lì,dốc hết sức lực,6
尽,苦尽甘来,kǔ jìn gān lái,hết khổ đến sướng,6
尽,尽头,jìn tóu,kết thúc,7
