target,pinyin,meaning,status,mainForm,name,resolutionType,componentOfCount
尤,Yóu,họ [You2],not-resolved,,,not-resolved,0
尬,gà,ngượng ngùng; lúng túng,resolved,尢,Bộ Uông,record-radical,2
就,jiù,ngay lập tức,not-resolved,,,not-resolved,0
尴,gān,dùng trong 尷尬|尴尬[gan1 ga4],resolved,尢,Bộ Uông,record-radical,2
尸,shī,người đại diện cho người chết (trong lễ an táng); phơi xác (sau khi hành quyết),resolved,尸,Bộ Thi,self-radical,8
尺,chǐ,"thước đo (đơn vị độ dài = 0,33 m)",not-resolved,,,not-resolved,0
尼,ní,ni cô (nữ tu Phật giáo); (thường dùng trong phiên âm),resolved,尸,Bộ Thi,record-radical,8
尽,jìn,đến mức,resolved,又,Bộ Hựu,record-radical,17
尾,wěi,đuôi; phần còn lại,not-resolved,,,not-resolved,0
尿,niào,nước tiểu,not-resolved,,,not-resolved,0
局,jú,cục,resolved,口,Bộ Khẩu,record-radical,24
层,céng,tầng,resolved,尸,Bộ Thi,record-radical,8
居,Jū,họ [Ju1],not-resolved,,,not-resolved,0
屈,Qū,họ [Qu1],resolved,尸,Bộ Thi,record-radical,8
屉,tì,ngăn kéo; tầng,not-resolved,,,not-resolved,0
届,jiè,"phiên, kỳ",not-resolved,,,not-resolved,0
屋,wū,(hình thức kết hợp) nhà; (hình thức kết hợp) phòng,resolved,尸,Bộ Thi,record-radical,8
屎,shǐ,"phân, cứt",not-resolved,,,not-resolved,0
屏,bīng,xem 屏營|屏营[bing1 ying2],not-resolved,,,not-resolved,0
屑,xiè,mảnh vụn,resolved,尸,Bộ Thi,record-radical,8
展,Zhǎn,họ [Zhan3],resolved,尸,Bộ Thi,record-radical,8
属,shǔ,sinh vào năm,not-resolved,,,not-resolved,0
屠,Tú,họ [Tu2],resolved,尸,Bộ Thi,record-radical,8
屡,lǚ,nhiều lần,resolved,尸,Bộ Thi,record-radical,8
履,lǚ,giày; giẫm lên,not-resolved,,,not-resolved,0
屮,chè,"Cây cỏ mới mọc ( hình cây cỏ mới đâm trồi, có hai lá và rễ), tức là chữ ""thảo"" 艸 cổ",resolved,屮,Bộ Triệt,self-radical,2
屯,tún,tích trữ,not-resolved,,,not-resolved,0
山,shān,núi,resolved,山,Bộ Sơn,self-radical,20
屹,yì,cao và dốc,resolved,山,Bộ Sơn,record-radical,20
屿,yǔ,đảo nhỏ,resolved,山,Bộ Sơn,record-radical,20
岁,suì,tuổi,resolved,山,Bộ Sơn,record-radical,20
岂,kǎi,biến thể cũ của 愷|恺[kai3]; biến thể cũ của 凱|凯[kai3],resolved,山,Bộ Sơn,record-radical,20
岔,chà,ngã rẽ; phân nhánh,not-resolved,,,not-resolved,0
岗,gǎng,biến thể của 岡|冈 [gang1],resolved,山,Bộ Sơn,record-radical,20
岛,dǎo,đảo,resolved,山,Bộ Sơn,record-radical,20
岩,yán,vách đá; đá,not-resolved,,,not-resolved,0
岭,lǐng,chỉ dùng trong 岭巆|岭𫶕[ling2 ying2],resolved,山,Bộ Sơn,record-radical,20
岳,Yuè,họ [Yue4],not-resolved,,,not-resolved,0
岸,àn,bờ,resolved,山,Bộ Sơn,record-radical,20
峙,zhì,dùng trong 繁峙[Fan2 shi4],resolved,山,Bộ Sơn,record-radical,20
峡,xiá,hẻm núi,not-resolved,,,not-resolved,0
峭,qiào,cao và dốc; cheo leo,resolved,山,Bộ Sơn,record-radical,20
峰,fēng,biến thể cũ của 峰[feng1],resolved,山,Bộ Sơn,record-radical,20
峻,jùn,(núi) cao; khắc nghiệt hoặc nghiêm khắc,resolved,山,Bộ Sơn,record-radical,20
崇,Chóng,họ [Chong2],resolved,山,Bộ Sơn,record-radical,20
崖,yá,vách đá; vách núi,not-resolved,,,not-resolved,0
崛,jué,cao chót vót như đỉnh núi,resolved,山,Bộ Sơn,record-radical,20
崩,bēng,sụp đổ; rơi vào đống đổ nát,resolved,山,Bộ Sơn,record-radical,20
崭,chán,biến thể của 嶄|崭[chan2],resolved,山,Bộ Sơn,record-radical,20
嵌,kǎn,xem 赤嵌樓|赤嵌楼[Chi4 kan3 lou2],resolved,山,Bộ Sơn,record-radical,20
巅,diān,"đỉnh, chóp (núi)",not-resolved,,,not-resolved,0
巛,chuān,"Dòng nước, nước ở trong núi dũa đất chảy ra gọi là ""xuyên"", bây giờ đều gọi ""xuyên"" là sông cả",resolved,巛,Bộ Xuyên,self-radical,0
川,Chuān,viết tắt của tỉnh Tứ Xuyên 四川[Si4 chuan1] ở tây nam Trung Quốc,not-resolved,,,not-resolved,0
州,zhōu,châu; (cũ) tỉnh,not-resolved,,,not-resolved,0
巡,xún,tuần tra; đi tuần,not-resolved,,,not-resolved,0
巢,Cháo,họ [Chao2],not-resolved,,,not-resolved,0
工,gōng,công việc; công nhân,resolved,工,Bộ Công,self-radical,3
左,zuǒ,trái,resolved,工,Bộ Công,record-radical,3
巧,qiǎo,khéo léo,resolved,工,Bộ Công,record-radical,3
巨,jù,rất lớn; khổng lồ,not-resolved,,,not-resolved,0
巩,gǒng,họ [Gong3],not-resolved,,,not-resolved,0
巫,Wū,họ [Wu1]; cũng đọc là [Wu2],not-resolved,,,not-resolved,0
差,chà,khác nhau,resolved,麥,Bộ Mạch,record-radical,1
己,jǐ,tự bản thân; mình,resolved,己,Bộ Kỷ,self-radical,0
已,yǐ,đã,not-resolved,,,not-resolved,0
巴,Bā,nước Ba thời nhà Chu (ở phía đông Tứ Xuyên hiện đại); viết tắt của đông Tứ Xuyên hoặc Trùng Khánh,not-resolved,,,not-resolved,0
巷,xiàng,hẻm,resolved,邑,Bộ Ấp,record-radical,1
巾,jīn,khăn; vải đa dụng,resolved,巾,Bộ Cân,self-radical,14
币,bì,tiền; tiền xu,resolved,巾,Bộ Cân,record-radical,14
市,shì,thành phố,not-resolved,,,not-resolved,0
布,bù,vải,resolved,巾,Bộ Cân,record-radical,14
帅,shuài,"đẹp trai, thông minh",resolved,刀,Bộ Đao,record-radical,24
帆,fān,buồm,resolved,巾,Bộ Cân,record-radical,14
师,Shī,họ [Shi1],resolved,刀,Bộ Đao,record-radical,24
希,xī,hy vọng; ngưỡng mộ,resolved,巾,Bộ Cân,record-radical,14
帐,zhàng,(dạng kết hợp) rèm; lều; mái che; biến thể của 賬|账[zhang4],resolved,巾,Bộ Cân,record-radical,14
帕,pà,gói; khan quàng cổ,not-resolved,,,not-resolved,0
帖,tiē,vừa khít; phù hợp,not-resolved,,,not-resolved,0
帘,lián,"Rèm, màn",not-resolved,,,not-resolved,0
帚,zhǒu,cây chổi,resolved,又,Bộ Hựu,record-radical,17
帜,zhì,cờ,resolved,巾,Bộ Cân,record-radical,14
帝,dì,hoàng đế,not-resolved,,,not-resolved,0
带,dài,"mang, mang theo",not-resolved,,,not-resolved,0
帧,zhēn,"khung (ảnh), khung (phim); bức (ảnh); khung hình",resolved,巾,Bộ Cân,record-radical,14
席,xí,tiệc,resolved,巾,Bộ Cân,record-radical,14
帮,bāng,giúp,resolved,巾,Bộ Cân,record-radical,14
常,cháng,thường,resolved,巾,Bộ Cân,record-radical,14
帽,mào,biến thể cũ của 帽[mao4],resolved,巾,Bộ Cân,record-radical,14
幅,fú,bức,not-resolved,,,not-resolved,0
幕,mù,hồi,resolved,巾,Bộ Cân,record-radical,14
幢,zhuàng,đoàn,resolved,巾,Bộ Cân,record-radical,14
干,gān,khô; sạch (干净),resolved,干,Bộ Can,self-radical,0
平,píng,phẳng,not-resolved,,,not-resolved,0
年,nián,năm,resolved,禾,Bộ Hòa,record-radical,24
并,bìng,hoàn toàn không,resolved,立,Bộ Lập,record-radical,6
幸,xìng,được tin cậy; thân mật,not-resolved,,,not-resolved,0
幺,yāo,nhỏ nhắn,resolved,幺,Bộ Yêu,self-radical,1
幻,huàn,ảo tưởng,not-resolved,,,not-resolved,0
幼,yòu,trẻ,not-resolved,,,not-resolved,0
幽,yōu,hẻo lánh; ẩn khuất,resolved,山,Bộ Sơn,record-radical,20
广,yǎn,"bộ ""nhà trên vách núi"" trong chữ Hán (bộ Khang Hy số 53), xuất hiện trong 店, 序, 底, v.v.",resolved,广,Bộ Nghiễm,self-radical,14
庄,zhuāng,biến thể của 莊|庄[zhuang1],resolved,广,Bộ Nghiễm,record-radical,14
庆,qìng,ăn mừng,resolved,广,Bộ Nghiễm,record-radical,14
床,chuáng,giường,resolved,木,Bộ Mộc,record-radical,24
序,xù,lời tựa,resolved,广,Bộ Nghiễm,record-radical,14
库,kù,"kho, ngân hàng",resolved,广,Bộ Nghiễm,record-radical,14
应,yīng,nên,resolved,心,Bộ Tâm,record-radical,24
底,dǐ,"cuối, phần dưới, nền tảng",resolved,广,Bộ Nghiễm,record-radical,14
店,diàn,cửa hàng,resolved,广,Bộ Nghiễm,record-radical,14
庙,miào,chùa,not-resolved,,,not-resolved,0
府,fǔ,trung tâm hành chính; nơi lưu trữ của chính phủ (lưu trữ),resolved,广,Bộ Nghiễm,record-radical,14
庞,Páng,họ [Pang2],not-resolved,,,not-resolved,0
废,fèi,chất thải,resolved,广,Bộ Nghiễm,record-radical,14
度,dù,độ,resolved,又,Bộ Hựu,record-radical,17
座,zuò,tòa,resolved,广,Bộ Nghiễm,record-radical,14
庭,tíng,sảnh chính; sân trước,resolved,广,Bộ Nghiễm,record-radical,14
康,Kāng,họ [Kang1],resolved,米,Bộ Mễ,record-radical,18
庸,yōng,bình thường; sử dụng,resolved,用,Bộ Dụng,record-radical,1
廉,lián,biến thể cũ của 廉[lian2],not-resolved,,,not-resolved,0
廊,láng,hành lang; mái hiên,resolved,广,Bộ Nghiễm,record-radical,14
廓,kuò,(hình thức kết hợp) rộng rãi; bao la; (hình thức kết hợp) đường viền; hình dạng chung,resolved,广,Bộ Nghiễm,record-radical,14
廴,yǐn,bước dài,resolved,廴,Bộ Dẫn,self-radical,1
延,yán,kéo dài,resolved,疋,Bộ Sơ,record-radical,1
廷,tíng,sân trong cung điện,resolved,廴,Bộ Dẫn,record-radical,1
建,jiàn,xây dựng,resolved,聿,Bộ Duật,record-radical,4
廾,gǒng,Chắp hai tay,resolved,廾,Bộ Củng,self-radical,4
开,kāi,lái xe,resolved,門,Bộ Môn,record-radical,15
异,yì,khác; khác biệt,resolved,廾,Bộ Củng,record-radical,4
弃,qì,từ bỏ; buông bỏ,resolved,子,"Bộ Tử, Tý",record-radical,7
弄,nòng,chơi,resolved,玉,Bộ Ngọc,record-radical,1
弈,yì,tên cổ của cờ vây (board game Trung Quốc),resolved,廾,Bộ Củng,record-radical,4
弊,bì,tổn hại; gian lận,not-resolved,,,not-resolved,0
弋,yì,Bắn,resolved,弋,"Bộ Dặc, Dực",self-radical,0
式,shì,"loại, kiểu",resolved,工,Bộ Công,record-radical,3
弓,gōng,cung,resolved,弓,Bộ Cung,self-radical,11
引,yǐn,gây ra,resolved,弓,Bộ Cung,record-radical,11
弘,hóng,vĩ đại; khoáng đạt,not-resolved,,,not-resolved,0
弛,chí,tháo dây cung; nới lỏng,resolved,弓,Bộ Cung,record-radical,11
弟,dì,em trai; nam nhỏ tuổi hơn,resolved,戈,Bộ Qua,record-radical,7
张,zhāng,một từ để đo các vật phẳng,resolved,弓,Bộ Cung,record-radical,11
弥,mí,đầy; lấp,resolved,弓,Bộ Cung,record-radical,11
弦,xián,dây đàn,resolved,弓,Bộ Cung,record-radical,11
弧,hú,cung tròn,resolved,弓,Bộ Cung,record-radical,11
弩,nǔ,nỏ,resolved,弓,Bộ Cung,record-radical,11
弯,wān,uốn cong; cong; đường cong,resolved,弓,Bộ Cung,record-radical,11
弱,ruò,yếu,resolved,弓,Bộ Cung,record-radical,11
弹,tán,chơi nhạc cụ,resolved,弓,Bộ Cung,record-radical,11
强,qiáng,mạnh,resolved,弓,Bộ Cung,record-radical,11
彐,jì,Ðầu con dím (nhím),resolved,彐,Bộ Ký,self-radical,0
归,guī,thuộc về,resolved,刀,Bộ Đao,record-radical,24
当,dāng,"trở thành, là, làm việc",resolved,田,Bộ Điền,record-radical,10
录,lù,"ghi âm, đăng ký",resolved,金,Bộ Kim,record-radical,24
彡,sān,lông,resolved,彡,Bộ Sam,self-radical,7
形,xíng,hình dạng,resolved,彡,Bộ Sam,record-radical,7
彩,cǎi,màu sắc (tươi sáng); đa dạng,resolved,彡,Bộ Sam,record-radical,7
彬,bīn,hoà nhã; có giáo dục,resolved,彡,Bộ Sam,record-radical,7
彰,zhāng,rõ ràng; nổi bật,resolved,彡,Bộ Sam,record-radical,7
影,yǐng,hình ảnh; hình,resolved,彡,Bộ Sam,record-radical,7
彳,chì,bước chân trái.,resolved,彳,Bộ Xích,self-radical,16
彷,páng,dùng trong 彷徨[pang2huang2] và 彷徉[pang2yang2],resolved,彳,Bộ Xích,record-radical,16
役,yì,lao động cưỡng bức; lao dịch,not-resolved,,,not-resolved,0
彻,chè,kỹ lưỡng; thấu suốt,not-resolved,,,not-resolved,0
彼,bǐ,đó; những,resolved,彳,Bộ Xích,record-radical,16
往,wǎng,"đến, hướng tới",resolved,彳,Bộ Xích,record-radical,16
征,zhēng,đi trên một hành trình dài,resolved,彳,Bộ Xích,record-radical,16
径,jìng,đường mòn; đường đi,resolved,彳,Bộ Xích,record-radical,16
待,dāi,ở lại,resolved,彳,Bộ Xích,record-radical,16
很,hěn,rất,resolved,彳,Bộ Xích,record-radical,16
徊,huái,dùng trong 徘徊[pai2 huai2],not-resolved,,,not-resolved,0
律,Lǜ,họ [Lu:4],resolved,彳,Bộ Xích,record-radical,16
徐,Xú,họ [Xu2],resolved,彳,Bộ Xích,record-radical,16
徒,Tú,họ [Tu2],not-resolved,,,not-resolved,0
得,děi,"phải, cần",resolved,彳,Bộ Xích,record-radical,16
徘,pái,dùng trong 徘徊[pai2 huai2],resolved,彳,Bộ Xích,record-radical,16
徙,xǐ,(văn học) thay đổi nơi ở,not-resolved,,,not-resolved,0
御,yù,(hình thức ghép) thuộc hoàng gia; hoàng tộc; (văn học) điều khiển (xe ngựa),resolved,彳,Bộ Xích,record-radical,16
徨,huáng,do dự,resolved,彳,Bộ Xích,record-radical,16
循,xún,tuân theo; tuân thủ,resolved,彳,Bộ Xích,record-radical,16
微,Wēi,họ [Wei1]; nhà nước cổ đại Trung Quốc gần Trùng Khánh ngày nay,resolved,彳,Bộ Xích,record-radical,16
德,dé,"đức hạnh, đạo đức",resolved,彳,Bộ Xích,record-radical,16
徽,huī,biến thể cũ của 徽[hui1],not-resolved,,,not-resolved,0
心,xīn,"trái tim, tâm trí",resolved,心,Bộ Tâm,self-radical,24
忄,xīn,"Tim, cảm xúc, suy nghĩ.",resolved,心,Bộ Tâm,radical-variant,24
必,bì,nhất định; phải,not-resolved,,,not-resolved,0
忆,yì,hồi tưởng; nhớ,resolved,心,Bộ Tâm,record-radical,24
忌,jì,ghen tị,resolved,心,Bộ Tâm,record-radical,24
忍,rěn,chịu đựng,resolved,心,Bộ Tâm,record-radical,24
志,zhì,khát vọng; tham vọng,resolved,心,Bộ Tâm,record-radical,24
忘,wàng,quên,resolved,心,Bộ Tâm,record-radical,24
忙,máng,bận,resolved,心,Bộ Tâm,record-radical,24
忠,zhōng,trung thành; tận tụy,resolved,心,Bộ Tâm,record-radical,24
忧,yōu,lo lắng; bận tâm,resolved,心,Bộ Tâm,record-radical,24
快,kuài,nhanh,resolved,心,Bộ Tâm,record-radical,24
念,niàn,đọc to,resolved,心,Bộ Tâm,record-radical,24
忽,Hū,họ [Hu1],resolved,心,Bộ Tâm,record-radical,24
怀,Huái,họ [Huai2],resolved,心,Bộ Tâm,record-radical,24
态,tài,(hình thức kết hợp); diện mạo,resolved,心,Bộ Tâm,record-radical,24
怅,chàng,hối tiếc; buồn bã,resolved,心,Bộ Tâm,record-radical,24
怎,zěn,như thế nào,resolved,心,Bộ Tâm,record-radical,24
怒,nù,tức giận; phẫn nộ,resolved,心,Bộ Tâm,record-radical,24
怕,pà,sợ,resolved,心,Bộ Tâm,record-radical,24
怖,bù,kinh hãi; khiếp sợ,resolved,心,Bộ Tâm,record-radical,24
怜,lián,thương hại,resolved,心,Bộ Tâm,record-radical,24
思,sī,suy nghĩ; xem xét,not-resolved,,,not-resolved,0
怠,dài,nhàn rỗi; lười biếng,resolved,心,Bộ Tâm,record-radical,24
怡,yí,hài hòa; vui vẻ,resolved,心,Bộ Tâm,record-radical,24
急,jí,khẩn cấp,resolved,心,Bộ Tâm,record-radical,24
性,xìng,tính cách,resolved,心,Bộ Tâm,record-radical,24
怨,yuàn,đổ lỗi; (dạng kết hợp) oán hận; căm ghét; mối hận,resolved,心,Bộ Tâm,record-radical,24
怪,guài,khá là,resolved,心,Bộ Tâm,record-radical,24
怯,qiè,nhút nhát; nhát gan,resolved,心,Bộ Tâm,record-radical,24
总,zǒng,tổng,resolved,糸,Bộ Mịch,record-radical,24
恋,liàn,cảm thấy gắn bó; khát khao,resolved,心,Bộ Tâm,record-radical,24
恍,huǎng,biến thể của 恍[huang3],resolved,心,Bộ Tâm,record-radical,24
恐,kǒng,sợ sệt; sợ hãi,resolved,心,Bộ Tâm,record-radical,24
恒,Héng,họ [Heng2],not-resolved,,,not-resolved,0
恕,shù,tha thứ,resolved,心,Bộ Tâm,record-radical,24
恢,huī,khôi phục; phục hồi,resolved,心,Bộ Tâm,record-radical,24
恤,<tì>xù,"áo phông, áo thun",resolved,心,Bộ Tâm,record-radical,24
恨,hèn,ghét,resolved,心,Bộ Tâm,record-radical,24
恩,ēn,biến thể của 恩[en1],resolved,心,Bộ Tâm,record-radical,24
恭,gōng,kính trọng,not-resolved,,,not-resolved,0
息,xī,hơi thở; tin tức,resolved,自,Bộ Tự,record-radical,1
恰,qià,chính xác; vừa đúng,resolved,心,Bộ Tâm,record-radical,24
恳,kěn,tha thiết,resolved,心,Bộ Tâm,record-radical,24
恶,è,hung dữ,resolved,心,Bộ Tâm,record-radical,24
恼,nǎo,nổi giận,resolved,心,Bộ Tâm,record-radical,24
悄,qiāo,dùng trong 悄悄[qiao1 qiao1],resolved,心,Bộ Tâm,record-radical,24
悉,xī,trong mọi trường hợp; biết,resolved,心,Bộ Tâm,record-radical,24
悔,huǐ,(dạng kết hợp) hối hận; ăn năn,resolved,心,Bộ Tâm,record-radical,24
悟,wù,lĩnh hội; hiểu ra,resolved,心,Bộ Tâm,record-radical,24
悠,yōu,kéo dài hoặc chậm rãi; xa xôi trong thời gian hoặc không gian,resolved,心,Bộ Tâm,record-radical,24
患,huàn,bị,resolved,心,Bộ Tâm,record-radical,24
悦,yuè,vui lòng,resolved,心,Bộ Tâm,record-radical,24
您,nín,Ngài,resolved,心,Bộ Tâm,record-radical,24
悬,xuán,treo,not-resolved,,,not-resolved,0
悲,bēi,buồn; nỗi buồn,resolved,心,Bộ Tâm,record-radical,24
悻,xìng,tức giận,resolved,心,Bộ Tâm,record-radical,24
悼,dào,thương tiếc; thương xót,resolved,心,Bộ Tâm,record-radical,24
情,qíng,tình cảm,resolved,心,Bộ Tâm,record-radical,24
惊,jīng,giật mình; bị hoảng sợ,resolved,心,Bộ Tâm,record-radical,24
惋,wǎn,thở dài tiếc nuối hoặc thương hại; Phát âm Đài Loan: [wan4],resolved,心,Bộ Tâm,record-radical,24
惑,huò,làm bối rối; bị bối rối,not-resolved,,,not-resolved,0
惕,tì,sợ hãi; tôn kính,resolved,心,Bộ Tâm,record-radical,24
惚,hū,mơ hồ,not-resolved,,,not-resolved,0
惜,xī,trân trọng; tiếc,not-resolved,,,not-resolved,0
惠,Huì,họ [Hui4],resolved,心,Bộ Tâm,record-radical,24
惦,diàn,nghĩ đến; nhớ,resolved,心,Bộ Tâm,record-radical,24
惧,jù,sợ hãi,resolved,心,Bộ Tâm,record-radical,24
惨,cǎn,bi thảm,resolved,心,Bộ Tâm,record-radical,24
惩,chéng,trừng phạt; khiển trách,resolved,心,Bộ Tâm,record-radical,24
惫,bèi,kiệt quệ,not-resolved,,,not-resolved,0
惭,cán,biến thể của 慚|惭[can2],resolved,心,Bộ Tâm,record-radical,24
惯,guàn,thói quen,resolved,心,Bộ Tâm,record-radical,24
惰,duò,lười biếng,resolved,心,Bộ Tâm,record-radical,24
想,xiǎng,nghĩ,resolved,心,Bộ Tâm,record-radical,24
惹,rě,khiêu khích,resolved,心,Bộ Tâm,record-radical,24
愁,chóu,"nhớ nhung, lo lắng",resolved,心,Bộ Tâm,record-radical,24
愈,yù,được chữa khỏi,resolved,心,Bộ Tâm,record-radical,24
愉,yú,vui vẻ,resolved,心,Bộ Tâm,record-radical,24
意,Yì,Ý; tiếng Ý (viết tắt của 意大利[Yi4 da4 li4]),resolved,心,Bộ Tâm,record-radical,24
愚,yú,ngu ngốc; lừa gạt hoặc lừa dối,resolved,心,Bộ Tâm,record-radical,24
感,gǎn,cảm thấy; cảm giác,resolved,心,Bộ Tâm,record-radical,24
愣,lèng,sững sờ,resolved,心,Bộ Tâm,record-radical,24
愤,fèn,phẫn nộ; tức giận,resolved,心,Bộ Tâm,record-radical,24
愧,kuì,biến thể cũ của 愧[kui4],resolved,心,Bộ Tâm,record-radical,24
愿,yuàn,"ước, nguyện",resolved,心,Bộ Tâm,record-radical,24
慈,cí,đầy lòng trắc ẩn; nhẹ nhàng,resolved,心,Bộ Tâm,record-radical,24
慌,huāng,hoảng loạn; mất bình tĩnh; (thông tục) (sau 得[de2]) không chịu nổi; kinh khủng,resolved,心,Bộ Tâm,record-radical,24
慎,shèn,cẩn thận; thận trọng,resolved,心,Bộ Tâm,record-radical,24
慑,shè,kinh hãi,resolved,心,Bộ Tâm,record-radical,24
慕,mù,hâm mộ,not-resolved,,,not-resolved,0
慢,màn,chậm,resolved,心,Bộ Tâm,record-radical,24
慧,huì,thông minh,resolved,心,Bộ Tâm,record-radical,24
慨,kǎi,biến thể cũ của 慨[kai3]; thở dài (với cảm xúc),resolved,心,Bộ Tâm,record-radical,24
慰,wèi,an ủi; phân ưu,resolved,心,Bộ Tâm,record-radical,24
慷,kāng,dùng trong 慷慨|慷慨[kang1 kai3],resolved,心,Bộ Tâm,record-radical,24
憋,biē,kìm nén,resolved,心,Bộ Tâm,record-radical,24
憎,zēng,ghét,resolved,心,Bộ Tâm,record-radical,24
憨,hān,"ngây thơ, khờ khạo, chất phác",resolved,心,Bộ Tâm,record-radical,24
憾,hàn,hối tiếc (cảm giác mất mát hoặc không hài lòng),resolved,心,Bộ Tâm,record-radical,24
懂,dǒng,"hiểu, biết",resolved,心,Bộ Tâm,record-radical,24
懈,xiè,lỏng lẻo; cẩu thả,resolved,心,Bộ Tâm,record-radical,24
懊,ào,hối tiếc,resolved,心,Bộ Tâm,record-radical,24
懒,lǎn,lười biếng,resolved,心,Bộ Tâm,record-radical,24
戈,Gē,họ [Ge1],resolved,戈,Bộ Qua,self-radical,7
戏,xì,kịch,resolved,戈,Bộ Qua,record-radical,7
成,chéng,trở thành,not-resolved,,,not-resolved,0
我,wǒ,tôi,resolved,戈,Bộ Qua,record-radical,7
戒,jiè,từ bỏ,resolved,戈,Bộ Qua,record-radical,7
或,huò,hoặc,resolved,口,Bộ Khẩu,record-radical,24
战,zhàn,chiến đấu; trận chiến,resolved,戈,Bộ Qua,record-radical,7
戚,qī,biến thể của 戚[qi1]; nỗi đau,not-resolved,,,not-resolved,0
截,jié,cắt đứt,not-resolved,,,not-resolved,0
戳,chuō,chọc,resolved,戈,Bộ Qua,record-radical,7
戴,dài,đeo,not-resolved,,,not-resolved,0
戶,hù,Cửa ngõ,resolved,戶,Bộ Hộ,self-radical,1
户,hù,hộ gia đình,not-resolved,,,not-resolved,0
房,Fáng,họ [Fang2],resolved,戶,Bộ Hộ,record-radical,1
所,suǒ,cơ sở,resolved,斤,Bộ Cân,record-radical,6
扁,biǎn,phẳng,not-resolved,,,not-resolved,0
扇,shān,đánh bằng lòng bàn tay,not-resolved,,,not-resolved,0
手,shǒu,tay,resolved,手,Bộ Thủ,self-radical,24
扌,shǒu,"Tay, hành động bằng tay.",resolved,手,Bộ Thủ,radical-variant,24
才,cái,chỉ,not-resolved,,,not-resolved,0
扎,zhā,châm,not-resolved,,,not-resolved,0
扑,pū,lao tới,resolved,手,Bộ Thủ,record-radical,24
扒,bā,cào,resolved,手,Bộ Thủ,record-radical,24
打,dǎ,chơi,resolved,手,Bộ Thủ,record-radical,24
扔,rēng,ném,resolved,手,Bộ Thủ,record-radical,24
托,tuō,"nâng bằng tay; đỡ bằng lòng bàn tay; vật dùng để đỡ: cái chống, cái gác (ví dụ: chỗ gác tay)",resolved,手,Bộ Thủ,record-radical,24
扛,káng,vác,not-resolved,,,not-resolved,0
扣,kòu,nút,resolved,手,Bộ Thủ,record-radical,24
执,zhí,thực hiện (kế hoạch); nắm bắt,resolved,手,Bộ Thủ,record-radical,24
扩,kuò,mở rộng,resolved,广,Bộ Nghiễm,record-radical,14
扫,sǎo,quét,resolved,手,Bộ Thủ,record-radical,24
扬,yáng,nâng lên,resolved,手,Bộ Thủ,record-radical,24
扭,niǔ,xoắn,resolved,手,Bộ Thủ,record-radical,24
扮,bàn,ăn mặc,resolved,手,Bộ Thủ,record-radical,24
扯,chě,xé,resolved,手,Bộ Thủ,record-radical,24
扰,rǎo,làm phiền,resolved,手,Bộ Thủ,record-radical,24
扳,bān,kéo,resolved,手,Bộ Thủ,record-radical,24
扶,fú,hỗ trợ,resolved,手,Bộ Thủ,record-radical,24
批,pī,lô,resolved,手,Bộ Thủ,record-radical,24
扼,è,nắm chặt; túm lấy,resolved,手,Bộ Thủ,record-radical,24
找,zhǎo,tìm kiếm,resolved,手,Bộ Thủ,record-radical,24
承,Chéng,"họ [Cheng2]; Cheng (khoảng 2000 trước Công nguyên), vị thứ ba trong truyền thuyết về Viêm Đế 炎帝[Yan2 di4] xuất thân từ Thần Nông 神農|神农[Shen2 nong2] Thần Nông",not-resolved,,,not-resolved,0
技,jì,kỹ năng,resolved,手,Bộ Thủ,record-radical,24
抄,chāo,"chép, phiên âm",resolved,手,Bộ Thủ,record-radical,24
把,bǎ,giới từ 'ba',resolved,手,Bộ Thủ,record-radical,24
抑,yì,kiềm chế; hạn chế,resolved,手,Bộ Thủ,record-radical,24
抒,shū,bày tỏ; thể hiện,not-resolved,,,not-resolved,0
抓,zhuā,"bắt, nắm bắt",resolved,手,Bộ Thủ,record-radical,24
投,tóu,ném,resolved,手,Bộ Thủ,record-radical,24
抖,dǒu,rung,resolved,手,Bộ Thủ,record-radical,24
抗,kàng,kháng; chống,resolved,手,Bộ Thủ,record-radical,24
折,zhé,giảm giá,resolved,手,Bộ Thủ,record-radical,24
抚,fǔ,an ủi; vỗ về,resolved,手,Bộ Thủ,record-radical,24
抛,pāo,ném,resolved,手,Bộ Thủ,record-radical,24
抠,kōu,đào ra,resolved,手,Bộ Thủ,record-radical,24
抡,lún,lựa chọn,resolved,手,Bộ Thủ,record-radical,24
抢,qiǎng,cướp,resolved,手,Bộ Thủ,record-radical,24
护,hù,bảo vệ,resolved,手,Bộ Thủ,record-radical,24
报,bào,báo,resolved,手,Bộ Thủ,record-radical,24
抨,pēng,công kích; chỉ trích,resolved,手,Bộ Thủ,record-radical,24
披,pī,choàng qua vai,not-resolved,,,not-resolved,0
抬,tái,"nâng, nhấc lên",resolved,手,Bộ Thủ,record-radical,24
抱,bào,ôm,resolved,手,Bộ Thủ,record-radical,24
抵,dǐ,ấn vào; hỗ trợ,resolved,手,Bộ Thủ,record-radical,24
抹,mǒ,"Xóa, bôi, phết, lau chùi",resolved,手,Bộ Thủ,record-radical,24
押,yā,cầm cố,resolved,手,Bộ Thủ,record-radical,24
抽,chōu,hút,resolved,手,Bộ Thủ,record-radical,24
拂,bì,biến thể cũ của 弼[bi4],resolved,手,Bộ Thủ,record-radical,24
拄,zhǔ,dựa vào,resolved,手,Bộ Thủ,record-radical,24
