char,tier,pinyin,hanViet,meaningVi,radicalStatus,radical,radicalName,resolutionType,relatedCount,sentenceCount,hsk,source
例,A,lì,Lề,ví dụ; tiền lệ,resolved,人,Bộ Nhân,record-radical,14,10,4,chars/4F8B.json
侌,C,yīn,,biến thể cũ của 陰|阴[yin1],not-resolved,,,not-resolved,0,0,7,chars/4F8C.json
侍,A,shì,,phục vụ; chăm sóc,resolved,人,Bộ Nhân,record-radical,7,3,7,chars/4F8D.json
侏,B,zhū,,người lùn,resolved,人,Bộ Nhân,record-radical,2,0,7,chars/4F8F.json
侐,C,xù,,tĩnh; lặng,not-resolved,,,not-resolved,0,0,7,chars/4F90.json
侑,B,yòu,,(văn học) mời ai đó (ăn hoặc uống),resolved,人,Bộ Nhân,record-radical,0,0,7,chars/4F91.json
侔,B,móu,Mầu,tương tự; sánh được,resolved,人,Bộ Nhân,record-radical,0,0,7,chars/4F94.json
侗,B,Dòng,,dân tộc Đồng (còn gọi là người Kam),resolved,人,Bộ Nhân,record-radical,6,0,7,chars/4F97.json
侘,C,chà,Sá,khoác lác; chán nản,not-resolved,,,not-resolved,0,0,7,chars/4F98.json
侚,C,xùn,,(văn học) nhanh; biến thể của 殉[xun4],not-resolved,,,not-resolved,0,0,7,chars/4F9A.json
供,A,gōng,Cung,cung cấp,resolved,人,Bộ Nhân,record-radical,10,10,4,chars/4F9B.json
侜,C,zhōu,,che giấu; che đậy,not-resolved,,,not-resolved,0,0,7,chars/4F9C.json
依,A,yī,Y,dựa theo,resolved,人,Bộ Nhân,record-radical,10,10,5,chars/4F9D.json
侠,A,xiá,Hiệp,hiệp sĩ; dũng cảm và hào hiệp,resolved,人,Bộ Nhân,record-radical,6,1,6,chars/4FA0.json
価,C,jià,,biến thể Nhật Bản của 價|价,not-resolved,,,not-resolved,0,0,7,chars/4FA1.json
侢,C,dài,,biến thể cũ của 戴[dai4],not-resolved,,,not-resolved,0,0,7,chars/4FA2.json
侣,A,lǚ,Lứa,bạn đồng hành,resolved,人,Bộ Nhân,record-radical,4,9,6,chars/4FA3.json
侥,B,jiǎo,Nghẹo,do may mắn,resolved,人,Bộ Nhân,record-radical,1,0,6,chars/4FA5.json
侦,A,zhēn,Trinh,do thám; phát hiện,resolved,人,Bộ Nhân,record-radical,6,9,6,chars/4FA6.json
侧,A,cè,Trắc,bên cạnh,resolved,人,Bộ Nhân,record-radical,7,10,6,chars/4FA7.json
侨,A,qiáo,Quều,người di cư; cư trú ở nước ngoài,resolved,人,Bộ Nhân,record-radical,6,3,6,chars/4FA8.json
侩,C,kuài,Cúi,người môi giới,not-resolved,,,not-resolved,1,0,7,chars/4FA9.json
侪,B,chái,,một nhóm; một công ty,resolved,人,Bộ Nhân,record-radical,0,0,7,chars/4FAA.json
侬,B,nóng,Nùng,bạn (phương ngữ Ngô); tôi (văn học),resolved,人,Bộ Nhân,record-radical,0,0,7,chars/4FAC.json
侮,C,wǔ,,lăng mạ; chế nhạo,not-resolved,,,not-resolved,6,7,6,chars/4FAE.json
侯,B,Hóu,Hậu,họ [Hou2],resolved,人,Bộ Nhân,record-radical,6,0,7,chars/4FAF.json
侵,C,qīn,Xâm,xâm lược; xâm phạm,not-resolved,,,not-resolved,7,10,6,chars/4FB5.json
侽,C,nán,,biến thể cũ của 男[nan2],not-resolved,,,not-resolved,0,0,7,chars/4FBD.json
便,A,biàn,Tiện,tiện lợi,resolved,人,Bộ Nhân,record-radical,17,10,5,chars/4FBF.json
促,C,cù,Xúc,(hình thức kết hợp) thời gian ngắn; vội vàng; nhanh chóng; (hình thức kết hợp) thúc giục; thúc đẩy,not-resolved,,,not-resolved,9,10,5,chars/4FC3.json
俄,A,E,,Nga; tiếng Nga,resolved,人,Bộ Nhân,record-radical,7,9,7,chars/4FC4.json
俅,C,qiú,,mũ trang trí,not-resolved,,,not-resolved,0,0,7,chars/4FC5.json
俉,B,wú,,dùng trong 逢俉[feng2wu2],resolved,人,Bộ Nhân,record-radical,0,0,7,chars/4FC9.json
俊,A,jùn,Tuấn,đẹp,resolved,人,Bộ Nhân,record-radical,6,8,5,chars/4FCA.json
俎,C,zǔ,,giá để đồ cúng,not-resolved,,,not-resolved,3,0,7,chars/4FCE.json
俏,C,qiào,,ưa nhìn; quyến rũ,not-resolved,,,not-resolved,6,3,7,chars/4FCF.json
俐,B,lì,Lợi,thông minh,resolved,人,Bộ Nhân,record-radical,5,0,6,chars/4FD0.json
俑,A,yǒng,Dõng,tượng gỗ chôn theo người chết,resolved,人,Bộ Nhân,record-radical,4,1,7,chars/4FD1.json
俗,A,sú,Tục,phong tục,resolved,人,Bộ Nhân,record-radical,15,10,5,chars/4FD7.json
俘,A,fú,,bắt làm tù binh; tù binh chiến tranh,resolved,人,Bộ Nhân,record-radical,5,7,6,chars/4FD8.json
俚,B,Lǐ,Lái,tên gọi cũ của dân tộc 黎[Li2],resolved,人,Bộ Nhân,record-radical,1,0,7,chars/4FDA.json
俛,C,miǎn,,khuyên bảo,not-resolved,,,not-resolved,0,0,7,chars/4FDB.json
俜,C,pīng,,gửi; để cho đi,not-resolved,,,not-resolved,0,0,7,chars/4FDC.json
保,A,bǎo,Bảo,bảo quản,resolved,人,Bộ Nhân,record-radical,20,10,4,chars/4FDD.json
俞,C,Yú,,họ [Yu2],not-resolved,,,not-resolved,3,0,7,chars/4FDE.json
俟,C,qí,,dùng trong 万俟[Mo4 qi2],not-resolved,,,not-resolved,1,0,7,chars/4FDF.json
信,A,xìn,Tín,thư,resolved,人,Bộ Nhân,record-radical,20,10,3,chars/4FE1.json
俣,B,yǔ,,to lớn,resolved,人,Bộ Nhân,record-radical,1,0,7,chars/4FE3.json
俤,C,dì,,biến thể của 弟[di4],not-resolved,,,not-resolved,0,0,7,chars/4FE4.json
俦,C,chóu,,đồng chí; bạn bè,not-resolved,,,not-resolved,0,0,7,chars/4FE6.json
俨,B,yǎn,Nghiễm,uy nghiêm; trang trọng,resolved,人,Bộ Nhân,record-radical,1,0,7,chars/4FE8.json
俩,A,liǎ,,hai,resolved,人,Bộ Nhân,record-radical,3,10,4,chars/4FE9.json
俪,B,lì,,vợ chồng,resolved,人,Bộ Nhân,record-radical,3,0,7,chars/4FEA.json
俭,A,jiǎn,Kiệm,(hình thức kết hợp) tiết kiệm; tằn tiện,resolved,人,Bộ Nhân,record-radical,6,8,6,chars/4FED.json
修,A,xiū,Tu,sửa chữa,resolved,彡,Bộ Sam,record-radical,18,10,4,chars/4FEE.json
俯,A,fǔ,,biến thể của 俯[fu3],resolved,人,Bộ Nhân,record-radical,7,5,6,chars/4FEF.json
俱,A,jù,Câu,(văn học) tất cả; cả hai; hoàn toàn; không ngoại lệ; (văn học) cùng nhau,resolved,人,Bộ Nhân,record-radical,8,10,5,chars/4FF1.json
俳,B,pái,,không nghiêm túc; chương trình tạp kỹ,resolved,人,Bộ Nhân,record-radical,1,0,7,chars/4FF3.json
俴,C,jiàn,,ngắn; nông,not-resolved,,,not-resolved,0,0,7,chars/4FF4.json
俵,C,biǎo,,phân phát; phát âm Đài Loan [biao3],not-resolved,,,not-resolved,0,0,7,chars/4FF5.json
俶,C,chù,,bắt đầu,not-resolved,,,not-resolved,0,0,7,chars/4FF6.json
俷,C,fèi,,(văn học) vi phạm (đạo đức),not-resolved,,,not-resolved,0,0,7,chars/4FF7.json
俸,C,fèng,Bổng,(dạng kết hợp) lương; trợ cấp,not-resolved,,,not-resolved,6,0,7,chars/4FF8.json
俺,B,ǎn,Em,tôi (phương ngữ miền Bắc),resolved,人,Bộ Nhân,record-radical,0,0,7,chars/4FFA.json
俾,C,bǐ,,gây ra; cho phép,not-resolved,,,not-resolved,5,0,7,chars/4FFE.json
倂,C,bìng,Tính,biến thể của 併|并[bing4],not-resolved,,,not-resolved,0,0,7,chars/5002.json
倃,C,jiù,,nói xấu; phỉ báng,not-resolved,,,not-resolved,0,0,7,chars/5003.json
倅,C,cuì,,phụ; trợ,not-resolved,,,not-resolved,0,0,7,chars/5005.json
倌,B,guān,,người chăm sóc động vật; người chăn gia súc,resolved,人,Bộ Nhân,record-radical,2,0,7,chars/500C.json
倍,C,bèi,Bội,"lần, bội số",not-resolved,,,not-resolved,6,9,4,chars/500D.json
倏,B,shū,,đột ngột; bất chợt,resolved,犬,Bộ Khuyển,record-radical,3,0,7,chars/500F.json
倒,A,dǎo,Đảo,"ngã, đổ; lộn ngược",resolved,人,Bộ Nhân,record-radical,15,10,4,chars/5012.json
倓,C,tán,,yên tĩnh; bình yên,not-resolved,,,not-resolved,0,0,7,chars/5013.json
倔,C,juè,,bướng bỉnh,not-resolved,,,not-resolved,1,0,6,chars/5014.json
倘,A,tǎng,Thẳng,"Nếu, giả sử, nếu như",resolved,人,Bộ Nhân,record-radical,4,5,6,chars/5018.json
候,A,hòu,Hầu,đợi; hỏi thăm,resolved,人,Bộ Nhân,record-radical,16,10,1,chars/5019.json
倚,B,yǐ,Ỷ,dựa vào,resolved,人,Bộ Nhân,record-radical,6,0,7,chars/501A.json
倜,C,tì,,năng động; cao quý,not-resolved,,,not-resolved,1,0,7,chars/501C.json
倝,C,gàn,,bình minh (cổ đại),not-resolved,,,not-resolved,0,0,7,chars/501D.json
倞,C,jìng,,mạnh mẽ; quyền lực,not-resolved,,,not-resolved,0,0,7,chars/501E.json
借,A,jiè,Tá,"vay, mượn",resolved,人,Bộ Nhân,record-radical,8,10,3,chars/501F.json
倡,C,chàng,Xướng,khởi xướng; kích động,not-resolved,,,not-resolved,6,10,5,chars/5021.json
倢,C,jié,,đẹp trai,not-resolved,,,not-resolved,0,0,7,chars/5022.json
値,C,zhí,Trị,biến thể của 值[zhi2],not-resolved,,,not-resolved,0,0,7,chars/5024.json
倥,B,kōng,,ngu dốt; không có suy nghĩ,resolved,人,Bộ Nhân,record-radical,1,0,7,chars/5025.json
倦,C,juàn,Quyện,mệt mỏi,not-resolved,,,not-resolved,6,10,6,chars/5026.json
倨,B,jù,,(văn học) ngạo mạn; kiêu căng,resolved,人,Bộ Nhân,record-radical,2,0,7,chars/5028.json
倩,C,qiàn,Thiến,xinh đẹp; thu hút,not-resolved,,,not-resolved,4,0,7,chars/5029.json
倪,C,Ní,Nghê,họ [Ni2],not-resolved,,,not-resolved,5,2,7,chars/502A.json
倬,B,zhuō,Xấc,dễ thấy; lớn,resolved,人,Bộ Nhân,record-radical,0,0,7,chars/502C.json
倭,B,wō,Oải,lùn; người Nhật (miệt thị) (cũ),resolved,人,Bộ Nhân,record-radical,3,0,7,chars/502D.json
倮,B,luǒ,,biến thể của 裸[luo3],resolved,人,Bộ Nhân,record-radical,0,0,7,chars/502E.json
倵,C,wǔ,,(dùng trong tên riêng),not-resolved,,,not-resolved,0,0,7,chars/5035.json
倶,C,jù,,biến thể của 俱[ju4]; biến thể của 具[ju4],not-resolved,,,not-resolved,0,0,7,chars/5036.json
倷,C,nǎi,,mày (tiếng địa phương),not-resolved,,,not-resolved,0,0,7,chars/5037.json
倹,C,jiǎn,,biến thể tiếng Nhật của 儉|俭[jian3],not-resolved,,,not-resolved,0,0,7,chars/5039.json
债,C,zhài,Trái,nợ,not-resolved,,,not-resolved,6,10,6,chars/503A.json
倻,B,yē,,"dùng để biểu thị âm ""ya"" trong tên Hàn Quốc",resolved,人,Bộ Nhân,record-radical,0,0,7,chars/503B.json
值,A,zhí,,"giá, giá trị",resolved,人,Bộ Nhân,record-radical,10,10,4,chars/503C.json
倽,C,shá,,biến thể cũ của 啥[sha2],not-resolved,,,not-resolved,0,0,7,chars/503D.json
倾,A,qīng,Khuynh,lật đổ; sụp đổ,resolved,人,Bộ Nhân,record-radical,9,10,6,chars/503E.json
偁,C,chēng,,biến thể của 稱|称[cheng1],not-resolved,,,not-resolved,0,0,7,chars/5041.json
偃,B,Yǎn,Ễnh,họ [Yan3],resolved,人,Bộ Nhân,record-radical,3,0,7,chars/5043.json
假,A,jiǎ,,giả; giả mạo; giả vờ,resolved,人,Bộ Nhân,record-radical,20,10,4,chars/5047.json
偈,C,jì,Kệ,thánh ca Phật giáo; kệ,not-resolved,,,not-resolved,0,0,7,chars/5048.json
偌,B,ruò,,quá; vậy,resolved,人,Bộ Nhân,record-radical,1,0,7,chars/504C.json
偎,C,wēi,,âu yếm,not-resolved,,,not-resolved,2,1,7,chars/504E.json
偏,A,piān,Thiên,nghiêng,resolved,人,Bộ Nhân,record-radical,10,10,6,chars/504F.json
偓,C,wò,,bị gò bó,not-resolved,,,not-resolved,0,0,7,chars/5053.json
偕,A,xié,,cùng với,resolved,人,Bộ Nhân,record-radical,4,1,7,chars/5055.json
做,C,zuò,,làm,not-resolved,,,not-resolved,15,10,1,chars/505A.json
停,A,tíng,Đình,dừng; đậu xe,resolved,人,Bộ Nhân,record-radical,14,10,4,chars/505C.json
偝,C,bèi,,không vâng lời; đứng quay lưng vào nhau,not-resolved,,,not-resolved,0,0,7,chars/505D.json
偟,C,huáng,,(văn học) thời gian rảnh rỗi; nhàn hạ; bối rối; lo lắng (biến thể của 惶[huang2]),not-resolved,,,not-resolved,0,0,7,chars/505F.json
偢,C,chǒu,,nhìn chằm chằm,not-resolved,,,not-resolved,0,0,7,chars/5062.json
健,A,jiàn,Kiện,khỏe mạnh; làm cho cường tráng,resolved,人,Bộ Nhân,record-radical,8,10,3,chars/5065.json
偨,C,cī,Thày,không đồng đều,not-resolved,,,not-resolved,0,0,7,chars/5068.json
偩,C,fù,,dựa vào; giống như,not-resolved,,,not-resolved,0,0,7,chars/5069.json
偫,C,zhì,,chờ đợi; đặt ở,not-resolved,,,not-resolved,0,0,7,chars/506B.json
偬,C,zǒng,,bận rộn; vội vã,not-resolved,,,not-resolved,1,0,7,chars/506C.json
偭,C,miǎn,,vi phạm,not-resolved,,,not-resolved,0,0,7,chars/506D.json
偯,C,yǐ,,khóc nức nở,not-resolved,,,not-resolved,0,0,7,chars/506F.json
偰,C,xiè,,hợp đồng (biến thể của 契[qi4]),not-resolved,,,not-resolved,0,0,7,chars/5070.json
偱,C,xún,,kể,not-resolved,,,not-resolved,0,0,7,chars/5071.json
偲,C,sī,,(văn học) uyên bác; học rộng; (văn học) tài hoa; tài năng xuất chúng,not-resolved,,,not-resolved,0,0,7,chars/5072.json
偶,A,ǒu,Ngẫu,tình cờ; hình ảnh,resolved,人,Bộ Nhân,record-radical,8,10,4,chars/5076.json
偷,A,tōu,,ăn cắp,resolved,人,Bộ Nhân,record-radical,8,10,5,chars/5077.json
偸,C,tōu,,biến thể của 偷[tou1],not-resolved,,,not-resolved,0,0,7,chars/5078.json
偻,B,lóu,Lũ,gù lưng,resolved,人,Bộ Nhân,record-radical,2,0,7,chars/507B.json
偾,B,fèn,,xúi giục; phá hoại,resolved,人,Bộ Nhân,record-radical,0,0,7,chars/507E.json
偿,A,cháng,,hoàn trả; bồi thường,resolved,人,Bộ Nhân,record-radical,7,10,5,chars/507F.json
傀,B,guī,,to lớn; kỳ lạ; ngoại lai,resolved,人,Bộ Nhân,record-radical,2,0,7,chars/5080.json
傅,C,Fù,Phó,họ [Fu4],not-resolved,,,not-resolved,5,5,4,chars/5085.json
傈,B,Lì,,dùng trong 傈僳[Lợi Tố],resolved,人,Bộ Nhân,record-radical,4,0,7,chars/5088.json
傍,C,bàng,Bàng,gần; cặp kè,not-resolved,,,not-resolved,6,5,5,chars/508D.json
傎,C,diān,,đảo lộn; sai lầm,not-resolved,,,not-resolved,0,0,7,chars/508E.json
傒,C,xī,,(cũ) người Giang Tây 江西[Jiang1 xi1]; đợi,not-resolved,,,not-resolved,0,0,7,chars/5092.json
傓,C,shān,,biến thể cũ của 煽[shan1],not-resolved,,,not-resolved,0,0,7,chars/5093.json
傔,C,qiàn,,người hầu,not-resolved,,,not-resolved,0,0,7,chars/5094.json
傕,B,Jué,,họ [Jue2],resolved,人,Bộ Nhân,record-radical,0,0,7,chars/5095.json
傜,C,yáo,,bộ lạc Dao,not-resolved,,,not-resolved,0,0,7,chars/509C.json
傞,C,suō,,không đồng đều; không vững (khi nhảy),not-resolved,,,not-resolved,0,0,7,chars/509E.json
傣,B,Dǎi,,nhóm dân tộc Dai (người Thái gốc Trung Quốc),resolved,人,Bộ Nhân,record-radical,6,0,7,chars/50A3.json
傤,C,zài,,tải; hàng hóa,not-resolved,,,not-resolved,0,0,7,chars/50A4.json
傥,B,tǎng,,nếu; không ngờ,resolved,人,Bộ Nhân,record-radical,1,0,7,chars/50A5.json
傧,C,bīn,,phù rể; tiếp đãi,not-resolved,,,not-resolved,3,0,7,chars/50A7.json
储,A,Chǔ,,họ [Chu3]; tiếng Đài Loan [Chu2],resolved,人,Bộ Nhân,record-radical,7,10,6,chars/50A8.json
傩,B,nuó,,trừ tà,resolved,人,Bộ Nhân,record-radical,1,0,7,chars/50A9.json
催,A,cuī,Thòi,"thúc giục, thúc đẩy",resolved,人,Bộ Nhân,record-radical,6,10,5,chars/50AC.json
傮,C,zāo,,"hoàn thành, đi xung quanh",not-resolved,,,not-resolved,0,0,7,chars/50AE.json
傲,A,ào,Ngạo,tự hào,resolved,人,Bộ Nhân,record-radical,6,10,4,chars/50B2.json
傺,B,chì,,giam giữ; cản trở,resolved,人,Bộ Nhân,record-radical,0,0,7,chars/50BA.json
傻,A,shǎ,,ngu ngốc,resolved,人,Bộ Nhân,record-radical,7,10,5,chars/50BB.json
傿,B,Yān,,tên của một vị tiên; tên địa danh cổ,resolved,人,Bộ Nhân,record-radical,0,0,7,chars/50BF.json
僃,C,bèi,,biến thể cũ của 備|备[bei4],not-resolved,,,not-resolved,0,0,7,chars/50C3.json
僄,C,piào,Xỉu,nhẹ; thoăn thoắt,not-resolved,,,not-resolved,0,0,7,chars/50C4.json
僇,C,lù,,khinh miệt; xúc phạm,not-resolved,,,not-resolved,0,0,7,chars/50C7.json
働,C,xx,,(chữ quốc tự Nhật Bản) lao động; làm việc,not-resolved,,,not-resolved,0,0,7,chars/50CD.json
僎,C,zhuàn,,thu thập,not-resolved,,,not-resolved,0,0,7,chars/50CE.json
像,A,xiàng,Tượng,giống như,resolved,人,Bộ Nhân,record-radical,14,10,3,chars/50CF.json
僔,C,zǔn,,tập hợp; chen chúc,not-resolved,,,not-resolved,0,0,7,chars/50D4.json
僖,C,Xī,,họ [Xi1],not-resolved,,,not-resolved,1,0,7,chars/50D6.json
僚,A,Liáo,Liêu,họ [Liao2],resolved,人,Bộ Nhân,record-radical,6,9,7,chars/50DA.json
僜,C,Dèng,,dân tộc Đặng ở Tây Tạng,not-resolved,,,not-resolved,0,0,7,chars/50DC.json
僝,C,chán,,chửi rủa; lăng mạ,not-resolved,,,not-resolved,0,0,7,chars/50DD.json
僣,C,jiàn,,vượt quyền; chiếm đoạt quyền lực,not-resolved,,,not-resolved,0,0,7,chars/50E3.json
僦,B,jiù,,(văn học) thuê; mướn,resolved,人,Bộ Nhân,record-radical,0,0,7,chars/50E6.json
僧,A,sēng,Tăng,(hình thức kết hợp) nhà sư (viết tắt của 僧伽[seng1 qie2]),resolved,人,Bộ Nhân,record-radical,6,8,7,chars/50E7.json
僩,C,xiàn,,can đảm; anh dũng,not-resolved,,,not-resolved,0,0,7,chars/50E9.json
僬,B,Jiāo,,dùng trong 僬僥|僬侥[jiao1 yao2]; dùng trong 僬僬[jiao1 jiao1],resolved,人,Bộ Nhân,record-radical,0,0,7,chars/50EC.json
僭,B,jiàn,Tiếm,(hình thức ràng buộc) vượt quyền,resolved,人,Bộ Nhân,record-radical,2,0,7,chars/50ED.json
僮,C,Zhuàng,Đồng,"biến thể cũ của 壯|壮, dân tộc Choang ở Quảng Tây",not-resolved,,,not-resolved,2,0,7,chars/50EE.json
僯,C,lǐn,,xấu hổ,not-resolved,,,not-resolved,0,0,7,chars/50EF.json
僰,C,Bó,,tên một dân tộc,not-resolved,,,not-resolved,0,0,7,chars/50F0.json
僳,B,Sù,,dân tộc Lisu ở Vân Nam,resolved,人,Bộ Nhân,record-radical,4,0,7,chars/50F3.json
僴,C,xiàn,,biến thể cũ của 僩[xian4],not-resolved,,,not-resolved,0,0,7,chars/50F4.json
僵,A,jiāng,,bế tắc,resolved,人,Bộ Nhân,record-radical,6,10,6,chars/50F5.json
僻,A,pì,,(hình thức kết hợp) hẻo lánh; xa xôi,resolved,人,Bộ Nhân,record-radical,7,8,6,chars/50FB.json
僾,C,ài,,không rõ; mơ hồ,not-resolved,,,not-resolved,0,0,7,chars/50FE.json
僿,C,sài,,"nhỏ bé, vụn vặt; thiếu chân thành",not-resolved,,,not-resolved,0,0,7,chars/50FF.json
儃,C,chán,,thiếu quyết đoán; lưỡng lự,not-resolved,,,not-resolved,0,0,7,chars/5103.json
儅,B,dāng,,dừng lại,resolved,人,Bộ Nhân,record-radical,0,0,7,chars/5105.json
儆,B,jǐng,,cảnh báo; khuyên răn,resolved,人,Bộ Nhân,record-radical,5,0,7,chars/5106.json
儇,B,xuān,,(văn học) tài tình; (văn học) phù phiếm,resolved,人,Bộ Nhân,record-radical,1,0,7,chars/5107.json
儊,C,chù,,thô ráp và gồ ghề,not-resolved,,,not-resolved,0,0,7,chars/510A.json
儋,B,dān,,mang; vác,resolved,人,Bộ Nhân,record-radical,3,0,7,chars/510B.json
儌,C,jiǎo,,bằng may mắn,not-resolved,,,not-resolved,0,0,7,chars/510C.json
儍,C,shǎ,,biến thể của 傻[sha3],not-resolved,,,not-resolved,0,0,7,chars/510D.json
儒,A,rú,Nho,học giả; người theo Nho giáo,resolved,人,Bộ Nhân,record-radical,6,10,6,chars/5112.json
儓,C,tái,,người hầu,not-resolved,,,not-resolved,0,0,7,chars/5113.json
儜,C,níng,,yếu mệt; mệt mỏi,not-resolved,,,not-resolved,0,0,7,chars/511C.json
儞,C,nǐ,,biến thể cũ của 你[ni3],not-resolved,,,not-resolved,0,0,7,chars/511E.json
儡,B,lěi,,làm bị thương; rối,resolved,人,Bộ Nhân,record-radical,2,0,7,chars/5121.json
儤,C,bào,,trực đêm,not-resolved,,,not-resolved,0,0,7,chars/5124.json
儦,C,biāo,,đi qua đi lại,not-resolved,,,not-resolved,0,0,7,chars/5126.json
儩,C,sì,,kết thúc; hoàn thành,not-resolved,,,not-resolved,0,0,7,chars/5129.json
儭,C,chèn,,hỗ trợ; bố thí,not-resolved,,,not-resolved,0,0,7,chars/512D.json
儱,C,lǒng,,thô lỗ; man rợ,not-resolved,,,not-resolved,0,0,7,chars/5131.json
儳,C,chàn,Sàm,không đều; trộn lẫn,not-resolved,,,not-resolved,0,0,7,chars/5133.json
儹,C,zǎn,,"tích luỹ, dự trữ, tích trữ",not-resolved,,,not-resolved,0,0,7,chars/5139.json
儽,C,lěi,,"lười; mệt mỏi, kiệt sức",not-resolved,,,not-resolved,0,0,7,chars/513D.json
儿,A,rén,,"biến thể của 人[ren2]; bộ ""nhân"" trong chữ Hán (bộ Khang Hy số 10), xuất hiện trong 兒, 兀, 兄, v.v.",resolved,儿,Bộ Nhi,self-radical,20,10,1,chars/513F.json
兀,C,Wù,Ngột,họ [Wu4],not-resolved,,,not-resolved,5,2,7,chars/5140.json
允,C,yǔn,,công bằng; công chính,not-resolved,,,not-resolved,6,10,4,chars/5141.json
元,C,yuán,Nguyên,nhân dân tệ,not-resolved,,,not-resolved,13,10,3,chars/5143.json
兄,A,xiōng,Huynh,anh trai,resolved,口,Bộ Khẩu,record-radical,6,8,5,chars/5144.json
充,A,chōng,Sung,đổ đầy,resolved,子,"Bộ Tử, Tý",record-radical,13,10,5,chars/5145.json
兆,C,Zhào,Triệu,họ [Zhao4],not-resolved,,,not-resolved,6,8,6,chars/5146.json
先,A,xiān,Tiên,trước,resolved,止,Bộ Chỉ,record-radical,15,10,3,chars/5148.json
光,A,guāng,Quang,ánh sáng,resolved,火,Bộ Hỏa,record-radical,20,10,4,chars/5149.json
克,C,kè,Khắc,gam,not-resolved,,,not-resolved,15,10,5,chars/514B.json
免,C,miǎn,Miễn,miễn,not-resolved,,,not-resolved,17,10,4,chars/514D.json
児,C,ér,,biến thể tiếng Nhật của 兒|儿[er2],not-resolved,,,not-resolved,0,0,7,chars/5150.json
兑,A,Duì,Đoài,họ [Dui4],resolved,八,Bộ Bát,record-radical,6,10,5,chars/5151.json
兔,C,tù,Thỏ,biến thể của 兔[tu4],not-resolved,,,not-resolved,6,9,5,chars/5154.json
兕,C,sì,,"động vật được nhắc đến trong văn bản cổ, giống trâu (một số nói là tê giác hoặc tê giác cái)",not-resolved,,,not-resolved,0,0,7,chars/5155.json
兖,C,Yǎn,,dùng trong 兗州|兖州[Yan3 zhou1],not-resolved,,,not-resolved,2,0,7,chars/5156.json
兘,C,shǐ,,biến thể cũ của 始[shi3],not-resolved,,,not-resolved,0,0,7,chars/5158.json
兙,C,shí kè,,đềca (cũ) (tương đương một chữ của 十克[shi2 ke4]),not-resolved,,,not-resolved,0,0,7,chars/5159.json
党,A,dǎng,,đảng,resolved,儿,Bộ Nhi,record-radical,7,10,6,chars/515A.json
兛,C,qiān kè,,kilôgam (cũ) (tương đương một chữ của 千克[qian1 ke4]),not-resolved,,,not-resolved,0,0,7,chars/515B.json
兜,C,dōu,Đâu,di chuyển xung quanh,not-resolved,,,not-resolved,6,3,6,chars/515C.json
兝,C,fēn kè,,đề-xi-gram (cũ) (chữ đơn tương đương với 分克[fen1 ke4]),not-resolved,,,not-resolved,0,0,7,chars/515D.json
兞,C,háo kè,,mi-li-gram (cũ) (chữ đơn tương đương với 毫克[hao2 ke4]),not-resolved,,,not-resolved,0,0,7,chars/515E.json
兟,C,shēn,,tiến lên,not-resolved,,,not-resolved,0,0,7,chars/515F.json
兡,C,bǎi kè,,héc-tô-gam (cũ) (chữ đơn tương đương với 百克[bai3 ke4]),not-resolved,,,not-resolved,0,0,7,chars/5161.json
兢,C,jīng,Cạnh,lo sợ; e ngại,not-resolved,,,not-resolved,4,3,6,chars/5162.json
兣,C,lí kè,,xentigam (cũ) (chữ đơn tương đương với 釐克|厘克[li2 ke4]),not-resolved,,,not-resolved,0,0,7,chars/5163.json
入,A,rù,Nhập,đi vào,resolved,入,Bộ Nhập,self-radical,20,10,4,chars/5165.json
全,A,quán,Toàn,toàn bộ,resolved,入,Bộ Nhập,record-radical,20,10,4,chars/5168.json
兪,C,yú,,biến thể của 俞[yu2],not-resolved,,,not-resolved,0,0,7,chars/516A.json
八,A,bā,Bát,tám,resolved,八,Bộ Bát,self-radical,12,10,1,chars/516B.json
公,C,gōng,Công,đực,not-resolved,,,not-resolved,20,10,2,chars/516C.json
六,C,liù,Lục,sáu,not-resolved,,,not-resolved,6,10,1,chars/516D.json
兮,B,xī,Hề,"(trợ từ trong tiếng Trung cổ, tương tự như 啊)",resolved,八,Bộ Bát,record-radical,2,0,7,chars/516E.json
兰,A,Lán,,"họ [Lan2]; viết tắt của Lan Châu 蘭州|兰州[Lan2zhou1], Cam Túc",resolved,艸,Bộ Thảo,record-radical,8,8,7,chars/5170.json
共,C,gòng,Cộng,cùng nhau,not-resolved,,,not-resolved,17,10,2,chars/5171.json
兲,C,tiān,,biến thể của 天[tian1],not-resolved,,,not-resolved,0,0,7,chars/5172.json
关,A,guān,Quan,đóng,resolved,門,Bộ Môn,record-radical,20,10,3,chars/5173.json
兴,C,Xīng,Hưng,họ [Xing1],not-resolved,,,not-resolved,18,10,1,chars/5174.json
兵,A,bīng,Binh,lính,resolved,斤,Bộ Cân,record-radical,7,10,5,chars/5175.json
其,C,qí,Kì,của anh ấy; của cô ấy,not-resolved,,,not-resolved,19,10,3,chars/5176.json
具,A,jù,Cụ,"lượng từ cho xác chết, quan tài, bộ xương; có, đầy đủ (ít dùng)",resolved,鼎,Bộ Đỉnh,record-radical,12,10,4,chars/5177.json
典,C,diǎn,Điển,kinh điển; pháp luật,not-resolved,,,not-resolved,10,10,3,chars/5178.json
