char,tier,pinyin,meaningVi,missing,source
忝,C,tiǎn,làm xấu hổ,"bộ thủ, từ liên quan, câu liên quan",chars/5FDD.json
忞,B,mín,khích lệ bản thân,"từ liên quan, câu liên quan, Hán Việt",chars/5FDE.json
忡,B,chōng,đau buồn; lo lắng,"câu liên quan, Hán Việt",chars/5FE1.json
忤,B,wǔ,không vâng lời; bất hiếu,câu liên quan,chars/5FE4.json
忪,A,zhōng,dùng trong 惺忪 [xing1 song1],Hán Việt,chars/5FEA.json
忬,C,shū,biến thể cũ của 舒[shu1]; biến thể cũ của 紓|纾[shu1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/5FEC.json
忭,B,biàn,vui mừng; hài lòng,"từ liên quan, câu liên quan, Hán Việt",chars/5FED.json
忮,B,zhì,(văn học) (hình thức kết hợp) ghen tị,"từ liên quan, câu liên quan, Hán Việt",chars/5FEE.json
忱,B,chén,chân thành; thành thật,câu liên quan,chars/5FF1.json
忲,C,tài,biến thể của 忕[tai4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/5FF2.json
忸,B,niǔ,quen với; đỏ mặt,"câu liên quan, Hán Việt",chars/5FF8.json
忻,B,xīn,vui vẻ,"câu liên quan, Hán Việt",chars/5FFB.json
忾,C,kài,tức giận,"bộ thủ, câu liên quan, Hán Việt",chars/5FFE.json
忿,B,fèn,tức giận; phẫn nộ,câu liên quan,chars/5FFF.json
怂,B,sǒng,dùng chủ yếu trong 慫恿|怂恿[song3 yong3]; (văn học) khiếp sợ,câu liên quan,chars/6002.json
怃,B,wǔ,(văn học) có tình cảm dịu dàng; (văn học) nản lòng; thất vọng,"từ liên quan, câu liên quan, Hán Việt",chars/6003.json
怄,B,òu,chọc tức; kích thích,"câu liên quan, Hán Việt",chars/6004.json
怅,A,chàng,hối tiếc; buồn bã,Hán Việt,chars/6005.json
怆,B,chuàng,bi thương; buồn,"câu liên quan, Hán Việt",chars/6006.json
怊,B,chāo,(văn học) buồn; đau buồn,"từ liên quan, câu liên quan, Hán Việt",chars/600A.json
怍,B,zuò,xấu hổ,câu liên quan,chars/600D.json
怏,B,yàng,bất mãn,"từ liên quan, câu liên quan, Hán Việt",chars/600F.json
怔,B,zhēng,(dùng trong từ ghép) kinh ngạc; khiếp sợ,"câu liên quan, Hán Việt",chars/6014.json
怕,A,pà,sợ,Hán Việt,chars/6015.json
怗,C,tiē,bình yên; yên tĩnh,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6017.json
怙,B,hù,dựa vào; cha (trang trọng),"câu liên quan, Hán Việt",chars/6019.json
怚,C,jù,"đần độn, ngu ngốc, đáng ngờ","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/601A.json
怛,B,dá,đau buồn; sợ hãi,"từ liên quan, câu liên quan",chars/601B.json
思,C,sī,suy nghĩ; xem xét,bộ thủ,chars/601D.json
怞,C,zhòu,đau buồn; phiền muộn,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/601E.json
怠,A,dài,nhàn rỗi; lười biếng,Hán Việt,chars/6020.json
怡,A,yí,hài hòa; vui vẻ,Hán Việt,chars/6021.json
怦,B,pēng,(từ tượng thanh) tim đập thình thịch,câu liên quan,chars/6026.json
怩,B,ní,rụt rè; nhút nhát,câu liên quan,chars/6029.json
怪,A,guài,khá là,Hán Việt,chars/602A.json
怫,B,fèi,tức giận,câu liên quan,chars/602B.json
怭,C,bì,khinh suất; thô lỗ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/602D.json
怲,C,bǐng,buồn; buồn rầu,"bộ thủ, từ liên quan, câu liên quan",chars/6032.json
怵,B,chù,sợ hãi; nhút nhát,câu liên quan,chars/6035.json
怸,C,xī,"biến thể không phổ biến của 悉[xi1]; cây ngưu tất (Achyranthes bidentata), một loại rễ dùng trong y học cổ truyền Trung Quốc, tương đương với 牛膝[niu2 xi1]","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6038.json
怹,C,tān,ông; bà,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6039.json
怼,B,duǐ,(tiếng lóng Internet) tấn công bằng lời nói; chỉ trích công khai,"từ liên quan, câu liên quan, Hán Việt",chars/603C.json
怿,B,yì,vui mừng; hân hoan,"từ liên quan, câu liên quan, Hán Việt",chars/603F.json
恁,B,nèn,nghĩ; cái này,"từ liên quan, câu liên quan, Hán Việt",chars/6041.json
恂,B,xún,chân thành,"từ liên quan, câu liên quan, Hán Việt",chars/6042.json
恃,B,shì,(dạng kết hợp) dựa vào; (văn học) mẹ của một người,"câu liên quan, Hán Việt",chars/6043.json
恇,C,kuāng,sợ hãi; lo lắng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6047.json
恉,C,zhǐ,ý chỉ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6049.json
恌,C,tiāo,nhẹ dạ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/604C.json
恏,C,hào,khao khát,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/604F.json
恒,C,Héng,họ [Heng2],"bộ thủ, Hán Việt",chars/6052.json
恓,B,xī,phiền muộn; bực bội,"từ liên quan, câu liên quan, Hán Việt",chars/6053.json
恔,C,xiào,vui vẻ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6054.json
恘,C,qiū,"nghĩa không chắc chắn, liên quan đến 戾[li4], vi phạm","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6058.json
恙,A,yàng,bệnh tật,Hán Việt,chars/6059.json
恚,B,huì,cơn thịnh nộ,"từ liên quan, câu liên quan, Hán Việt",chars/605A.json
恛,C,huí,hỗn loạn; không rõ nghi ngờ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/605B.json
恝,B,jiá,thờ ơ,"từ liên quan, câu liên quan, Hán Việt",chars/605D.json
恞,C,yí,vui vẻ; hân hoan,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/605E.json
恟,C,xiōng,"sợ hãi, lo lắng","bộ thủ, từ liên quan, câu liên quan",chars/605F.json
恢,A,huī,khôi phục; phục hồi,Hán Việt,chars/6062.json
恣,B,zì,không kiềm chế; làm theo ý mình,"câu liên quan, Hán Việt",chars/6063.json
恤,A,<tì>xù,"áo phông, áo thun",Hán Việt,chars/6064.json
恧,B,nǜ,xấu hổ,"từ liên quan, câu liên quan, Hán Việt",chars/6067.json
恪,B,Kè,họ [Ke4],câu liên quan,chars/606A.json
恫,B,dòng,làm hoảng sợ,"câu liên quan, Hán Việt",chars/606B.json
恬,B,tián,yên tĩnh; bình tĩnh,câu liên quan,chars/606C.json
恭,C,gōng,kính trọng,bộ thủ,chars/606D.json
恰,A,qià,chính xác; vừa đúng,Hán Việt,chars/6070.json
恵,C,huì,biến thể tiếng Nhật của 惠[hui4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6075.json
恸,C,tòng,đau buồn,"bộ thủ, câu liên quan",chars/6078.json
恹,B,yān,dùng trong 懨懨|恹恹[yan1 yan1],"câu liên quan, Hán Việt",chars/6079.json
恺,B,kǎi,vui vẻ; nhân từ,"câu liên quan, Hán Việt",chars/607A.json
恻,B,cè,đau buồn,"câu liên quan, Hán Việt",chars/607B.json
恽,C,Yùn,họ [Yun4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/607D.json
恿,B,yǒng,xúi giục; kích động,"câu liên quan, Hán Việt",chars/607F.json
悀,C,yǒng,tức giận; thích,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6080.json
悁,C,juān,tức giận; buồn,"bộ thủ, từ liên quan, câu liên quan",chars/6081.json
悃,B,kǔn,chân thành,"từ liên quan, câu liên quan, Hán Việt",chars/6083.json
悄,A,qiāo,dùng trong 悄悄[qiao1 qiao1],Hán Việt,chars/6084.json
悆,C,yù,vui vẻ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6086.json
悊,C,zhé,tôn kính; tôn trọng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/608A.json
悌,C,tì,làm tròn bổn phận của người em trai,"bộ thủ, câu liên quan",chars/608C.json
悍,B,hàn,anh hùng; quả cảm,câu liên quan,chars/608D.json
悐,C,tì,"tôn trọng, kính trọng; kính sợ, lo sợ","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6090.json
悑,C,bù,biến thể cũ của 怖[bu4],"bộ thủ, từ liên quan, câu liên quan",chars/6091.json
悒,B,yì,lo âu; lo lắng,"từ liên quan, câu liên quan, Hán Việt",chars/6092.json
悖,B,bèi,đi ngược lại; trái với,"câu liên quan, Hán Việt",chars/6096.json
悚,B,sǒng,sợ hãi,"câu liên quan, Hán Việt",chars/609A.json
悛,B,quān,cải tạo,câu liên quan,chars/609B.json
悜,C,chěng,mơ hồ,"bộ thủ, từ liên quan, câu liên quan",chars/609C.json
悝,B,kuī,chế nhạo,"từ liên quan, câu liên quan, Hán Việt",chars/609D.json
悟,A,wù,lĩnh hội; hiểu ra,Hán Việt,chars/609F.json
悠,A,yōu,kéo dài hoặc chậm rãi; xa xôi trong thời gian hoặc không gian,Hán Việt,chars/60A0.json
悧,C,lì,trôi chảy; năng động,"bộ thủ, từ liên quan, câu liên quan",chars/60A7.json
您,A,nín,Ngài,Hán Việt,chars/60A8.json
悩,C,nǎo,biến thể tiếng Nhật của 惱|恼,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/60A9.json
悪,C,è,biến thể tiếng Nhật của 惡|恶[e4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/60AA.json
悫,B,què,thật thà,"từ liên quan, câu liên quan, Hán Việt",chars/60AB.json
悬,C,xuán,treo,"bộ thủ, Hán Việt",chars/60AC.json
悭,C,qiān,keo kiệt,"bộ thủ, câu liên quan",chars/60AD.json
悮,C,wù,cản trở; trì hoãn,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/60AE.json
悰,C,cóng,niềm vui,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/60B0.json
悱,B,fěi,muốn diễn đạt suy nghĩ nhưng không thể,"câu liên quan, Hán Việt",chars/60B1.json
悴,B,cuì,hốc hác; buồn,câu liên quan,chars/60B4.json
悷,C,lì,buồn bã,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/60B7.json
悸,B,jì,đập nhanh,"câu liên quan, Hán Việt",chars/60B8.json
悻,A,xìng,tức giận,Hán Việt,chars/60BB.json
悾,C,kōng,chất phác; chân thành,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/60BE.json
惄,C,nì,phiền muộn; đói khát,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/60C4.json
惆,B,chóu,buồn bã; phiền muộn,"câu liên quan, Hán Việt",chars/60C6.json
惇,C,dūn,nhân hậu; thành thật,"bộ thủ, từ liên quan, câu liên quan",chars/60C7.json
惈,C,guǒ,dũng cảm; quyết tâm và táo bạo,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/60C8.json
惋,A,wǎn,thở dài tiếc nuối hoặc thương hại; Phát âm Đài Loan: [wan4],Hán Việt,chars/60CB.json
惌,C,yuān,oán hận,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/60CC.json
惎,C,jì,làm hại; phỉ báng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/60CE.json
惏,C,lín,lạnh; lạnh lẽo,"bộ thủ, từ liên quan, câu liên quan",chars/60CF.json
惑,C,huò,làm bối rối; bị bối rối,bộ thủ,chars/60D1.json
惒,C,hé,biến thể cũ của 和[he2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/60D2.json
惓,B,quán,tha thiết,"từ liên quan, câu liên quan, Hán Việt",chars/60D3.json
惔,C,tán,cháy,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/60D4.json
惘,B,wǎng,thất vọng; bối rối,"câu liên quan, Hán Việt",chars/60D8.json
惙,B,chuò,buồn rầu; không chắc chắn,"từ liên quan, câu liên quan, Hán Việt",chars/60D9.json
惚,C,hū,mơ hồ,bộ thủ,chars/60DA.json
惛,C,hūn,mơ màng; đãng trí,"bộ thủ, từ liên quan, câu liên quan",chars/60DB.json
惜,C,xī,trân trọng; tiếc,bộ thủ,chars/60DC.json
惝,B,chǎng,thất vọng; thiếu sức sống,câu liên quan,chars/60DD.json
惟,C,wéi,chủ nghĩa; chỉ,"bộ thủ, câu liên quan, Hán Việt",chars/60DF.json
惧,A,jù,sợ hãi,Hán Việt,chars/60E7.json
惫,C,bèi,kiệt quệ,"bộ thủ, Hán Việt",chars/60EB.json
惬,A,qiè,biến thể của 愜|惬[qie4],Hán Việt,chars/60EC.json
惭,A,cán,biến thể của 慚|惭[can2],Hán Việt,chars/60ED.json
惮,B,dàn,sợ; hãi,câu liên quan,chars/60EE.json
惰,A,duò,lười biếng,Hán Việt,chars/60F0.json
惴,B,zhuì,lo lắng; bất an,câu liên quan,chars/60F4.json
惶,B,huáng,(hình thức kết hợp) sợ hãi; kinh sợ,câu liên quan,chars/60F6.json
惸,C,qióng,biến thể của 煢|茕[qiong2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/60F8.json
惹,A,rě,khiêu khích,Hán Việt,chars/60F9.json
惺,C,xīng,bình tĩnh; hiểu,"bộ thủ, Hán Việt",chars/60FA.json
愀,B,qiǎo,thay đổi nét mặt; lo lắng,"từ liên quan, câu liên quan",chars/6100.json
愃,C,xuān,khỏe mạnh,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6103.json
愆,B,qiān,lỗi; lầm,câu liên quan,chars/6106.json
愉,A,yú,vui vẻ,Hán Việt,chars/6109.json
愊,C,bì,u sầu; chân thành,"bộ thủ, từ liên quan, câu liên quan",chars/610A.json
愍,B,mǐn,biến thể của 憫|悯[min3],"từ liên quan, câu liên quan",chars/610D.json
愎,C,bì,ngang ngược; bướng bỉnh,"bộ thủ, câu liên quan, Hán Việt",chars/610E.json
愐,C,miǎn,e thẹn,"bộ thủ, từ liên quan, câu liên quan",chars/6110.json
愑,C,yǒng,biến thể của 悀[yong3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6111.json
愒,C,kài,khao khát,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6112.json
愓,C,dàng,hoang phí,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6113.json
愔,C,yīn,bình yên; trang nghiêm,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6114.json
愕,B,è,kinh ngạc,câu liên quan,chars/6115.json
愠,B,yùn,phẫn nộ; cảm thấy tổn thương,"câu liên quan, Hán Việt",chars/6120.json
愣,A,lèng,sững sờ,Hán Việt,chars/6123.json
愦,B,kuì,bối rối; phiền muộn,"từ liên quan, câu liên quan, Hán Việt",chars/6126.json
愧,A,kuì,biến thể cũ của 愧[kui4],Hán Việt,chars/6127.json
愫,C,sù,chân thành; thành khẩn,"bộ thủ, câu liên quan, Hán Việt",chars/612B.json
愮,C,yáo,"lo lắng, kích động","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/612E.json
愯,C,sǒng,biến thể cũ của 悚[song3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/612F.json
愼,C,shèn,biến thể của 慎[shen4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/613C.json
慁,C,hùn,bối rối; không tôn trọng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6141.json
慅,C,sāo,bồi hồi,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6145.json
慆,C,tāo,hân hoan,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6146.json
慇,C,yīn,ân cần,"bộ thủ, từ liên quan, câu liên quan",chars/6147.json
慉,C,xù,nuôi dưỡng; chịu đựng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6149.json
慊,B,qiàn,không hài lòng,"từ liên quan, câu liên quan, Hán Việt",chars/614A.json
慕,C,mù,hâm mộ,bộ thủ,chars/6155.json
慜,C,mǐn,thông minh; biến thể cũ của 愍[min3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/615C.json
慝,C,tè,ý nghĩ xấu,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/615D.json
慥,C,zào,chân thành,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6165.json
慧,A,huì,thông minh,Hán Việt,chars/6167.json
慬,C,jǐn,(văn học) dũng cảm; lo lắng,"bộ thủ, từ liên quan, câu liên quan",chars/616C.json
慭,C,yìn,(văn học) muốn; thích hơn; (văn học) chịu tổn hại hoặc mất mát,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/616D.json
慱,C,tuán,buồn,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6171.json
慵,B,yōng,uể oải,câu liên quan,chars/6175.json
慿,C,píng,biến thể cũ của 憑|凭[ping2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/617F.json
憀,C,liáo,dựa vào,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6180.json
憃,C,chōng,ngốc nghếch; ngu ngốc,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6183.json
憋,B,biē,kìm nén,"câu liên quan, Hán Việt",chars/618B.json
憍,C,jiāo,kiêu ngạo,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/618D.json
憎,A,zēng,ghét,Hán Việt,chars/618E.json
憔,B,qiáo,hốc hác,câu liên quan,chars/6194.json
憙,C,xǐ,biến thể của 喜[xi3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6199.json
憝,B,duì,không thích; ghét,"câu liên quan, Hán Việt",chars/619D.json
憧,B,chōng,dùng trong 憧憬[chong1jing3]; dùng trong 憧憧[chong1chong1],"câu liên quan, Hán Việt",chars/61A7.json
憩,A,qì,biến thể của 憩[qi4],Hán Việt,chars/61A9.json
憪,C,xián,"điềm tĩnh, hài lòng","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/61AA.json
憬,B,jǐng,thức tỉnh,"câu liên quan, Hán Việt",chars/61AC.json
憭,C,liǎo,rõ ràng; dễ hiểu,"bộ thủ, từ liên quan, câu liên quan",chars/61AD.json
憯,C,cǎn,đã; đau buồn,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/61AF.json
憷,C,chù,sợ hãi,"bộ thủ, câu liên quan, Hán Việt",chars/61B7.json
憸,C,xiān,khéo léo; tâng bốc,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/61B8.json
憺,C,dàn,bình yên,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/61BA.json
懂,A,dǒng,"hiểu, biết",Hán Việt,chars/61C2.json
懅,C,qú,bẽn lẽn; xấu hổ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/61C5.json
懆,C,cǎo,lo lắng; buồn bã,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/61C6.json
懈,A,xiè,lỏng lẻo; cẩu thả,Hán Việt,chars/61C8.json
懋,B,mào,chăm chỉ; tươi tốt,"câu liên quan, Hán Việt",chars/61CB.json
懐,C,huái,biến thể tiếng Nhật của 懷|怀[huai2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/61D0.json
懑,C,mèn,u sầu,"bộ thủ, câu liên quan, Hán Việt",chars/61D1.json
懒,A,lǎn,lười biếng,Hán Việt,chars/61D2.json
懔,B,lǐn,sợ hãi,"từ liên quan, câu liên quan, Hán Việt",chars/61D4.json
懞,B,méng,biến thể của 蒙[meng2],"từ liên quan, câu liên quan",chars/61DE.json
懠,C,qí,tức giận,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/61E0.json
懥,C,zhì,tức giận,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/61E5.json
懦,B,nuò,đần độn; nhút nhát,câu liên quan,chars/61E6.json
懫,C,zhí,tức giận; oán hận,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/61EB.json
懮,B,yǒu,đau buồn; thư thái,"từ liên quan, câu liên quan, Hán Việt",chars/61EE.json
懰,C,liú,đáng yêu; xinh đẹp,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/61F0.json
懱,C,miè,biến thể của 蔑[mie4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/61F1.json
懵,B,měng,ngu ngốc,"câu liên quan, Hán Việt",chars/61F5.json
懿,B,yì,(văn học) gương mẫu; đức hạnh,"câu liên quan, Hán Việt",chars/61FF.json
戁,C,nǎn,kính sợ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6201.json
戄,C,jué,sợ hãi; khiếp sợ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6204.json
戆,B,gàng,ngu ngốc (phương ngữ Ngô),"từ liên quan, câu liên quan, Hán Việt",chars/6206.json
戉,C,yuè,biến thể của 鉞|钺[yue4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6209.json
戊,C,wù,thiên can thứ năm trong Mười Thiên Can 十天干[shi2 tian1 gan1]; thứ năm trong thứ tự,"bộ thủ, câu liên quan",chars/620A.json
戋,B,jiān,hẹp; nhỏ,"từ liên quan, câu liên quan, Hán Việt",chars/620B.json
戌,C,qu,dùng trong 屈戌兒|屈戌儿[qu1 qu5 r5],"bộ thủ, câu liên quan",chars/620C.json
戍,B,shù,đồn trú,câu liên quan,chars/620D.json
戎,C,Róng,họ [Rong2],bộ thủ,chars/620E.json
戏,A,xì,kịch,Hán Việt,chars/620F.json
成,C,chéng,trở thành,bộ thủ,chars/6210.json
戕,B,qiāng,giết; làm bị thương,"câu liên quan, Hán Việt",chars/6215.json
戗,B,qiāng,trái ngược; đẩy lại,"câu liên quan, Hán Việt",chars/6217.json
戚,C,qī,biến thể của 戚[qi1]; nỗi đau,bộ thủ,chars/621A.json
戛,C,jiá,giáo; gõ,"bộ thủ, câu liên quan",chars/621B.json
戜,C,dié,,"nghĩa, bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/621C.json
戝,C,zéi,biến thể cũ của 賊|贼[zei2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/621D.json
戟,C,jǐ,kích; vũ khí cán dài với mũi nhọn và lưỡi hình trăng khuyết,"bộ thủ, câu liên quan",chars/621F.json
戠,B,zhí,thu thập; biến thể cũ của 埴[zhi2],"từ liên quan, câu liên quan, Hán Việt",chars/6220.json
戡,B,kān,giết; đàn áp,"từ liên quan, câu liên quan, Hán Việt",chars/6221.json
戢,B,Jí,họ [Ji2],"từ liên quan, câu liên quan, Hán Việt",chars/6222.json
戣,C,kuí,một loại giáo,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6223.json
戤,C,gài,xâm phạm thương hiệu,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6224.json
戥,B,děng,cân tiểu ly để cân tiền,"từ liên quan, câu liên quan, Hán Việt",chars/6225.json
戦,C,zhàn,biến thể tiếng Nhật của 戰|战,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6226.json
截,C,jié,cắt đứt,bộ thủ,chars/622A.json
戬,B,jiǎn,làm đến mức tối đa; cắt,"từ liên quan, câu liên quan, Hán Việt",chars/622C.json
戭,C,yǎn,cái giáo,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/622D.json
戮,B,lù,gọt bằng dao; biến thể cũ của 戮[lu4],"câu liên quan, Hán Việt",chars/622E.json
戱,C,xì,biến thể của 戲|戏[xi4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6231.json
戳,A,chuō,chọc,Hán Việt,chars/6233.json
戴,C,dài,đeo,"bộ thủ, Hán Việt",chars/6234.json
户,C,hù,hộ gia đình,bộ thủ,chars/6237.json
戸,C,hù,biến thể của 戶|户[hu4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6238.json
戺,C,shì,bản lề cửa,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/623A.json
戻,C,lì,biến thể Nhật Bản của 戾[li4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/623B.json
戽,B,hù,gầu nước để tưới tiêu,"từ liên quan, câu liên quan, Hán Việt",chars/623D.json
戾,C,lì,bẻ cong; vi phạm,"bộ thủ, câu liên quan",chars/623E.json
扁,C,biǎn,phẳng,bộ thủ,chars/6241.json
扂,C,diàn,then cửa,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6242.json
扃,C,jiōng,(văn học) đóng hoặc cài cửa; cửa,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6243.json
扆,C,Yǐ,họ [Yi3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6246.json
扇,C,shān,đánh bằng lòng bàn tay,bộ thủ,chars/6247.json
扈,B,Hù,họ [Hu4],"câu liên quan, Hán Việt",chars/6248.json
扉,C,fēi,cửa một cánh,"bộ thủ, Hán Việt",chars/6249.json
扊,C,yǎn,thanh đứng để cài cửa,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/624A.json
扌,B,shǒu,"Tay, hành động bằng tay.","từ liên quan, câu liên quan, Hán Việt",chars/624C.json
才,C,cái,chỉ,bộ thủ,chars/624D.json
扎,C,zhā,châm,bộ thủ,chars/624E.json
扐,C,lè,bói bằng cỏ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6250.json
扒,B,bā,cào,câu liên quan,chars/6252.json
払,B,fǎn,lấy; lấy đi,"từ liên quan, câu liên quan",chars/6255.json
扗,C,zài,biến thể cũ của 在[zai4],"bộ thủ, từ liên quan, câu liên quan",chars/6257.json
扛,C,káng,vác,"bộ thủ, từ liên quan",chars/625B.json
扠,C,chā,"cài, chĩa","bộ thủ, từ liên quan, câu liên quan",chars/6260.json
扡,C,chǐ,kéo theo,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6261.json
扢,B,gǔ,lau; chà,"từ liên quan, câu liên quan",chars/6262.json
扤,C,wù,lắc; lung lay,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6264.json
扦,B,qiān,"mảnh kim loại, tre, v.v. ngắn và nhọn; xiên","từ liên quan, câu liên quan",chars/6266.json
扪,B,mén,đặt tay lên; che phủ,"câu liên quan, Hán Việt",chars/626A.json
扭,A,niǔ,xoắn,Hán Việt,chars/626D.json
扮,A,bàn,ăn mặc,Hán Việt,chars/626E.json
扱,C,xī,thu thập; nhận,"bộ thủ, từ liên quan, câu liên quan",chars/6271.json
扳,B,bān,kéo,câu liên quan,chars/6273.json
扻,C,zì,đánh; chạy va vào,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/627B.json
扽,C,dèn,giật mạnh; kéo căng,"bộ thủ, từ liên quan, câu liên quan",chars/627D.json
承,C,Chéng,"họ [Cheng2]; Cheng (khoảng 2000 trước Công nguyên), vị thứ ba trong truyền thuyết về Viêm Đế 炎帝[Yan2 di4] xuất thân từ Thần Nông 神農|神农[Shen2 nong2] Thần Nông",bộ thủ,chars/627F.json
抃,B,biàn,vỗ tay,"từ liên quan, câu liên quan",chars/6283.json
抆,C,wèn,lau chùi,"bộ thủ, từ liên quan, câu liên quan",chars/6286.json
抈,C,yuè,bẻ cong,"bộ thủ, từ liên quan, câu liên quan",chars/6288.json
抉,C,jué,móc ra; lựa chọn,bộ thủ,chars/6289.json
抌,C,zhěn,"tát nước, múc nước","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/628C.json
抏,C,wán,tiêu thụ; hao tổn,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/628F.json
抒,C,shū,bày tỏ; thể hiện,bộ thủ,chars/6292.json
