target,type,pinyin,meaning,levels,libraries,radicalStatus,radical,relatedCount,collocationCount,sentenceCount,grammarCount,componentCount,hasMemory
兴致,multi-character-word,xìng zhì,sở thích,7,new_hsk,,,1,4,8,0,2,True
兴致勃勃,multi-character-word,xìng zhì bó bó,hăng hái,6,hsk,,,0,1,4,0,3,True
兴起,multi-character-word,xīng qǐ,trỗi dậy,7,new_hsk,,,0,2,6,0,2,True
兴趣,multi-character-word,xìng qù,sở thích,"3,4","new_hsk,yct",,,1,5,10,4,2,True
兴隆,multi-character-word,xīng lóng,phồn thịnh,6,hsk,,,0,0,3,0,2,True
兴高采烈,multi-character-word,xìng gāo cǎi liè,trong niềm vui sướng lớn,"6,7","hsk,new_hsk",,,0,0,3,0,4,True
兵,single-character,bīng,lính,4,new_hsk,resolved,斤,3,8,10,0,1,True
其,single-character,qí,của anh ấy; của cô ấy,3,char_dictionary,not-resolved,,15,10,10,4,0,False
其中,multi-character-word,qí zhōng,trong số đó,"2,4,5","boya,hsk,new_hsk",,,0,8,6,3,0,True
其他,multi-character-word,qí tā,khác,"2,3,4","boya,hsk,new_hsk,yct",,,0,1,8,1,0,True
其余,multi-character-word,qí yú,còn lại,"4,5","hsk,new_hsk",,,0,2,2,0,0,True
其后,multi-character-word,qí hòu,sau đó,7,new_hsk,,,0,4,4,0,2,True
其实,multi-character-word,qí shí,thực ra,"2,3,4","boya,hsk,new_hsk,yct",,,2,1,10,0,2,True
其次,multi-character-word,qí cì,kế tiếp,"3,4,6","boya,hsk,new_hsk",,,0,2,2,1,0,True
其间,multi-character-word,qí jiān,"trong khoảng thời gian đó, trong lúc đó, giữa lúc đó",7,boya,,,0,0,2,0,0,True
具,single-character,jù,"lượng từ cho xác chết, quan tài, bộ xương; có, đầy đủ (ít dùng)",8,boya,resolved,鼎,11,10,10,0,0,True
具体,multi-character-word,jù tǐ,cụ thể,"3,5,6","boya,hsk,new_hsk",,,0,4,5,0,0,True
具备,multi-character-word,jù bèi,có,"4,5","hsk,new_hsk",,,0,0,1,0,0,True
具有,multi-character-word,jù yǒu,có,3,new_hsk,,,0,3,10,0,2,True
典,single-character,diǎn,kinh điển; pháp luật,3,char_dictionary,not-resolved,,9,10,10,1,0,False
典型,multi-character-word,diǎn xíng,điển hình,"3,4","boya,new_hsk",,,0,3,4,0,2,True
典礼,multi-character-word,diǎn lǐ,lễ,5,new_hsk,,,0,6,10,0,0,True
典范,multi-character-word,diǎn fàn,mẫu mực,7,new_hsk,,,0,1,2,0,2,True
兹,single-character,zī,này,7,new_hsk,not-resolved,,0,0,0,0,1,True
养,single-character,yǎng,nuôi dưỡng,"2,3,5,6","boya,hsk,new_hsk",not-resolved,,15,10,10,2,1,True
养成,multi-character-word,yǎng chéng,nuôi dưỡng,4,"hsk,new_hsk",,,0,0,3,0,2,True
养殖,multi-character-word,yǎng zhí,nuôi trồng,7,new_hsk,,,0,4,4,0,2,True
养活,multi-character-word,yǎng huo,nuôi dưỡng,"3,7","boya,new_hsk",,,0,0,2,0,2,True
养生,multi-character-word,yǎng shēng,duy trì sức khỏe tốt,7,new_hsk,,,0,4,4,0,2,True
养老,multi-character-word,yǎng lǎo,hưởng thụ cuộc sống về hưu,6,new_hsk,,,2,10,10,0,2,True
养老金,multi-character-word,yǎng lǎo jīn,lương hưu tuổi già,7,new_hsk,,,0,4,4,0,3,True
养老院,multi-character-word,yǎng lǎo yuàn,nhà dưỡng lão,7,new_hsk,,,0,5,5,0,3,True
兼,single-character,jiān,kiêm nhiệm,7,new_hsk,resolved,禾,5,10,10,0,1,True
兼任,multi-character-word,jiān rèn,kiêm nhiệm,7,new_hsk,,,0,1,3,0,2,True
兼容,multi-character-word,jiān róng,tương thích,"4,7","boya,new_hsk",,,0,0,1,0,2,True
兼职,multi-character-word,jiān zhí,công việc bán thời gian,"5,7","hsk,new_hsk",,,0,2,3,0,2,True
兼顾,multi-character-word,jiān gù,đồng thời tham dự,7,new_hsk,,,1,6,10,0,2,True
兽,single-character,shòu,quái thú; động vật,6,char_dictionary,not-resolved,,3,7,10,0,0,False
冂,single-character,gōng,"Ðất ở xa ngoài bờ cõi tường thành, tượng trưng hình bao tường thành.Miền ở ngoài rừng",99,radicals_214,resolved,冂,0,0,0,0,0,False
内,single-character,nèi,bên trong,"3,4","hsk,new_hsk",resolved,入,15,10,10,3,0,True
内向,multi-character-word,nèi xiàng,hướng nội,"5,7","boya,new_hsk",,,0,3,4,0,2,True
内在,multi-character-word,nèi zài,nội tại,"4,6","boya,hsk",,,0,0,3,1,2,True
内地,multi-character-word,nèi dì,nội địa,6,new_hsk,,,0,3,4,0,2,True
内外,multi-character-word,nèi wài,bên trong và bên ngoài,6,new_hsk,,,1,7,9,0,2,True
内存,multi-character-word,nèi cún,bộ nhớ trong,7,new_hsk,,,0,2,5,0,2,True
内容,multi-character-word,nèi róng,nội dung,"2,3,4","boya,hsk,new_hsk",,,0,10,10,1,2,True
内幕,multi-character-word,nèi mù,câu chuyện nội tình,7,new_hsk,,,0,1,4,0,0,True
内心,multi-character-word,nèi xīn,nội tâm,3,new_hsk,,,0,7,10,0,2,True
内敛,multi-character-word,nèi liǎn,"Hướng nội, kín đáo, thâm trầm",7,boya,,,0,1,2,0,0,True
内涵,multi-character-word,nèi hán,hàm ý,"6,7","boya,hsk,new_hsk",,,0,0,4,0,2,True
内科,multi-character-word,nèi kē,nội khoa,"4,5","hsk,new_hsk",,,0,1,4,0,0,True
内行,multi-character-word,nèi háng,rành nghề,7,new_hsk,,,0,5,7,0,2,True
内衣,multi-character-word,nèi yī,đồ lót,6,new_hsk,,,0,3,5,0,2,True
内部,multi-character-word,nèi bù,bên trong,"4,5","hsk,new_hsk",,,0,5,10,0,2,True
内阁,multi-character-word,nèi gé,nội các chính phủ,7,new_hsk,,,0,1,3,0,2,True
内需,multi-character-word,nèi xū,nhu cầu nội địa,7,new_hsk,,,0,3,3,0,2,True
冈,single-character,gāng,rặng; đồi,7,char_dictionary,resolved,山,1,3,4,0,0,False
册,single-character,cè,tập sách,5,hsk,not-resolved,,3,10,10,0,1,True
再,single-character,zài,lại,"1,2,3,4","boya,hsk,new_hsk,yct",resolved,二,9,10,10,4,0,True
再三,multi-character-word,zài sān,hết lần này đến lần khác,"4,5","boya,hsk,new_hsk",,,0,2,1,0,0,True
再度,multi-character-word,zài dù,lại,7,new_hsk,,,0,3,5,0,2,True
再版,multi-character-word,zài bǎn,"tái bản, in lại",3,boya,,,0,0,2,0,0,True
再现,multi-character-word,zài xiàn,tái hiện,7,new_hsk,,,0,3,4,0,2,True
再生,multi-character-word,zài shēng,tái sinh,6,new_hsk,,,0,0,2,0,2,True
再见,multi-character-word,zài jiàn,Tạm biệt,1,"hsk,new_hsk,yct",,,0,2,10,0,2,True
再说,multi-character-word,zài shuō,hơn nữa,"2,6","boya,new_hsk",,,0,3,7,2,2,True
冒,single-character,mào,xuất hiện,"5,6","boya,hsk,new_hsk",not-resolved,,6,10,10,1,1,True
冒充,multi-character-word,mào chōng,"giả vờ, giả danh","6,7","hsk,new_hsk",,,0,0,3,0,2,True
冒昧,multi-character-word,mào mèi,tự tin,7,new_hsk,,,0,0,3,0,2,True
冒犯,multi-character-word,mào fàn,xúc phạm,7,new_hsk,,,0,1,2,0,2,True
冒险,multi-character-word,mào xiǎn,phiêu lưu,"2,3,7","boya,new_hsk",,,0,2,4,0,2,True
冖,single-character,mì,trùm khăn lên đâu,99,radicals_214,resolved,冖,0,0,0,0,0,False
冗,single-character,rǒng,không cần thiết; thừa,7,char_dictionary,not-resolved,,1,2,3,0,0,False
冗长,multi-character-word,rǒng cháng,dài dòng,7,new_hsk,,,0,2,3,0,2,True
写,single-character,xiě,viết,"1,3,4","boya,hsk,new_hsk,yct",resolved,冖,13,10,10,4,0,True
写作,multi-character-word,xiě zuò,viết; sáng tác,"3,5","hsk,new_hsk",,,0,2,10,2,0,True
写字台,multi-character-word,xiě zì tái,bàn viết,6,new_hsk,,,0,3,4,0,3,True
写字楼,multi-character-word,xiě zì lóu,tòa nhà văn phòng,6,new_hsk,,,0,4,4,0,3,True
写照,multi-character-word,xiězhào,miêu tả,7,new_hsk,,,0,0,0,0,2,True
军,single-character,jūn,(hình thức kết hợp) quân đội; quân sự,5,char_dictionary,resolved,冖,14,10,10,0,0,False
军事,multi-character-word,jūn shì,quân sự,"5,6","hsk,new_hsk",,,0,10,10,0,2,True
军官,multi-character-word,jūn guān,sĩ quan,7,new_hsk,,,0,4,4,0,2,True
军舰,multi-character-word,jūn jiàn,tàu chiến,6,new_hsk,,,0,0,3,0,2,True
军队,multi-character-word,jūn duì,quân đội,"5,6","hsk,new_hsk",,,0,6,10,0,2,True
农,single-character,Nóng,họ [Nong2],5,char_dictionary,resolved,辰,8,10,10,0,0,False
农业,multi-character-word,nóng yè,nông nghiệp,"3,5","hsk,new_hsk",,,0,5,10,0,0,True
农产品,multi-character-word,nóng chǎn pǐn,sản phẩm nông nghiệp,4,boya,,,0,0,3,0,3,True
农作物,multi-character-word,nóng zuò wù,cây trồng,7,new_hsk,,,0,5,8,0,3,True
农历,multi-character-word,nóng lì,lịch âm,"5,7","hsk,new_hsk",,,0,0,4,0,2,True
农场,multi-character-word,nóng chǎng,nông trại,7,new_hsk,,,0,4,9,0,2,True
农村,multi-character-word,nóng cūn,vùng nông thôn,"2,3,5","boya,hsk,new_hsk",,,0,7,10,0,2,True
农民,multi-character-word,nóng mín,nông dân,"2,3,5","boya,hsk,new_hsk",,,1,5,10,0,2,True
农民工,multi-character-word,nóng mín gōng,công nhân di cư,7,new_hsk,,,0,4,4,0,3,True
冠,single-character,Guàn,họ [Guan4],5,char_dictionary,not-resolved,,2,10,10,0,0,False
冠军,multi-character-word,guàn jūn,vô địch,5,"hsk,new_hsk",,,0,8,10,0,2,True
冤,single-character,yuān,"xui xẻo, mất mát",7,new_hsk,not-resolved,,1,0,3,0,1,True
冤枉,multi-character-word,yuān wǎng,đối xử không công bằng,"6,7","hsk,new_hsk",,,0,0,3,0,2,True
冥,single-character,míng,biến thể cũ của 冥[ming2],7,char_dictionary,not-resolved,,1,0,4,0,0,False
冫,single-character,bīng,"băng tuyết, nước đá",99,radicals_214,resolved,冫,0,0,0,0,0,False
冬,single-character,dōng,mùa đông,4,yct,resolved,夂,2,4,10,1,1,True
冬天,multi-character-word,dōng tiān,mùa đông,"1,2,3","boya,hsk,new_hsk",,,0,2,10,1,2,True
冬季,multi-character-word,dōng jì,mùa đông,4,new_hsk,,,0,0,0,0,2,True
冰,single-character,bīng,"băng, đá","3,4",new_hsk,resolved,水,10,10,10,0,1,True
冰山,multi-character-word,bīng shān,tảng băng trôi,7,new_hsk,,,0,3,4,0,2,True
冰棍儿,multi-character-word,bīng gùnr,kem que,7,new_hsk,,,0,4,4,0,3,True
冰水,multi-character-word,bīng shuǐ,nước đá; nước lạnh,2,yct,,,0,0,0,0,0,True
冰淇淋,multi-character-word,bīng qí lín,Kem,1,boya,,,0,0,2,0,0,True
冰激凌,multi-character-word,bīng jī líng,kem,"4,5","hsk,yct",,,0,0,2,0,3,True
冰箱,multi-character-word,bīng xiāng,tủ lạnh,"2,3,4,6","boya,hsk,new_hsk,yct",,,0,0,6,0,2,True
冰雪,multi-character-word,bīng xuě,băng tuyết,4,new_hsk,,,0,0,1,0,2,True
冲,single-character,chōng,lao tới,"4,5,6","hsk,new_hsk",resolved,冫,7,10,10,0,0,True
冲击,multi-character-word,chōng jī,"tấn công, đập vào",6,"hsk,new_hsk",,,0,5,9,0,2,True
冲刺,multi-character-word,chōng cì,nước rút,7,new_hsk,,,0,2,3,0,2,True
冲撞,multi-character-word,chōng zhuàng,đâm vào,7,new_hsk,,,0,3,4,0,2,True
冲洗,multi-character-word,chōng xǐ,rửa phim,7,new_hsk,,,0,2,3,0,2,True
冲浪,multi-character-word,chōng làng,lướt sóng,7,new_hsk,,,0,0,0,0,2,True
冲淡,multi-character-word,chōng dàn,"Pha loãng, làm nhạt đi, làm phai nhạt",4,boya,,,0,0,2,0,0,True
冲突,multi-character-word,chōng tū,xung đột,"3,6","boya,hsk",,,0,7,10,0,2,True
决,single-character,jué,"Quyết (không), nhất định (không)",6,boya,resolved,冫,14,10,10,4,0,True
决定,multi-character-word,jué dìng,quyết định; quyết định,"1,3,4","boya,hsk,new_hsk,yct",,,0,10,10,4,2,True
决心,multi-character-word,jué xīn,quyết tâm,"2,3,5,6","boya,hsk,new_hsk",,,1,0,10,1,2,True
决议,multi-character-word,jué yì,nghị quyết,7,new_hsk,,,0,5,7,0,2,True
决赛,multi-character-word,jué sài,chung kết,"3,5","boya,hsk,new_hsk",,,1,5,10,0,0,True
况,single-character,kuàng,hơn nữa; tình hình,4,char_dictionary,resolved,冫,7,10,10,4,0,False
况且,multi-character-word,kuàng qiě,hơn nữa,7,new_hsk,,,0,0,0,1,0,True
冶,single-character,yě,nấu chảy; đúc,7,char_dictionary,not-resolved,,1,0,0,0,0,False
冷,single-character,lěng,lạnh,"1,2","boya,hsk,new_hsk,yct",resolved,冫,15,10,10,4,1,True
冷冰冰,multi-character-word,lěng bīng bīng,"lạnh như băng, lạnh nhạt, thờ ơ",8,boya,,,0,0,2,0,0,True
冷冻,multi-character-word,lěng dòng,đóng băng,7,new_hsk,,,0,4,4,0,2,True
冷却,multi-character-word,lěng què,"làm mát, quá trình làm mát",6,hsk,,,0,0,4,0,2,True
冷战,multi-character-word,lěng zhàn,chiến tranh lạnh,7,new_hsk,,,0,4,4,0,2,True
冷气,multi-character-word,lěng qì,không khí lạnh,6,new_hsk,,,0,4,4,0,2,True
冷水,multi-character-word,lěng shuǐ,nước lạnh,6,new_hsk,,,1,6,8,0,2,True
冷淡,multi-character-word,lěng dàn,"lạnh lùng, thờ ơ","5,7","hsk,new_hsk",,,0,1,6,0,2,True
冷漠,multi-character-word,lěng mò,lạnh lùng,"7,8","boya,new_hsk",,,0,4,7,0,2,True
冷笑,multi-character-word,lěng xiào,cười khẩy,7,new_hsk,,,0,3,4,0,2,True
冷落,multi-character-word,lěng luò,lạnh nhạt,"3,6,7","boya,hsk,new_hsk",,,0,3,4,0,2,True
冷酷,multi-character-word,lěng kù,lạnh lùng,"6,7","hsk,new_hsk",,,1,3,7,0,2,True
冷酷无情,multi-character-word,lěng kù wú qíng,"lạnh lùng, vô tình",7,new_hsk,,,0,3,4,0,4,True
冷门,multi-character-word,lěng mén,không phổ biến,7,new_hsk,,,1,4,4,0,2,True
冷静,multi-character-word,lěng jìng,bình tĩnh,"4,5","boya,hsk,new_hsk",,,0,1,10,1,2,True
冻,single-character,dòng,đông lạnh,"4,5,6","boya,hsk,yct",resolved,冫,3,6,10,0,1,True
冻结,multi-character-word,dòng jié,đóng băng,"6,7","hsk,new_hsk",,,0,0,4,0,2,True
净,single-character,jìng,làm sạch,6,new_hsk,resolved,冫,5,10,10,2,1,True
净化,multi-character-word,jìng huà,làm sạch,7,new_hsk,,,0,3,4,0,2,True
凄,single-character,qī,lạnh thấu xương; băng giá,6,char_dictionary,resolved,冫,1,0,3,0,0,False
凄凉,multi-character-word,qī liáng,buồn bã,"6,7","hsk,new_hsk",,,0,0,3,0,2,True
准,single-character,zhǔn,chính xác,"3,6","boya,new_hsk",resolved,冫,13,10,10,4,1,True
准则,multi-character-word,zhǔn zé,chuẩn mực,"6,7","boya,hsk,new_hsk",,,0,0,3,0,2,True
准备,multi-character-word,zhǔn bèi,chuẩn bị,"1,2,3,4","boya,hsk,new_hsk,yct",,,0,10,10,4,0,True
准时,multi-character-word,zhǔn shí,đúng giờ,"2,4","boya,hsk,new_hsk,yct",,,0,4,10,0,2,True
准确,multi-character-word,zhǔn què,chính xác,"2,4,5","boya,hsk,new_hsk",,,0,2,5,0,0,True
准许,multi-character-word,zhǔn xǔ,cho phép,7,new_hsk,,,0,4,4,0,2,True
凉,single-character,liáng,mát,2,"boya,new_hsk",resolved,冫,9,10,10,0,1,True
凉快,multi-character-word,liáng kuai,mát mẻ,"2,3,4","hsk,new_hsk,yct",,,0,0,6,0,0,True
凉水,multi-character-word,liáng shuǐ,nước lạnh,3,new_hsk,,,0,3,3,0,2,True
凉爽,multi-character-word,liáng shuǎng,mát mẻ thoải mái,7,new_hsk,,,0,4,5,0,2,True
凉鞋,multi-character-word,liáng xié,dép xăng đan,6,new_hsk,,,0,4,4,0,2,True
凌,single-character,Líng,họ [Ling2],5,char_dictionary,resolved,冫,3,0,9,0,0,False
凌晨,multi-character-word,líng chén,trước bình minh,7,new_hsk,,,0,0,4,0,0,True
减,single-character,jiǎn,giảm,4,new_hsk,resolved,冫,7,10,10,1,1,True
减免,multi-character-word,jiǎn miǎn,giảm hoặc miễn,7,new_hsk,,,0,5,4,0,2,True
减压,multi-character-word,jiǎn yā,giảm áp lực,7,new_hsk,,,0,4,4,0,2,True
减少,multi-character-word,jiǎn shǎo,giảm bớt,4,"hsk,new_hsk",,,0,7,10,1,2,True
减弱,multi-character-word,jiǎn ruò,làm suy yếu,7,new_hsk,,,0,4,4,0,2,True
减肥,multi-character-word,jiǎn féi,giảm cân,4,"hsk,new_hsk",,,0,3,3,0,2,True
减速,multi-character-word,jiǎn sù,giảm tốc độ,7,new_hsk,,,0,3,4,0,2,True
凑,single-character,còu,tập hợp,7,"boya,new_hsk",resolved,冫,3,5,9,0,1,True
凑合,multi-character-word,còu hé,tạm bợ,"6,7","hsk,new_hsk",,,0,0,3,0,2,True
凑巧,multi-character-word,còu qiǎo,thật tình cờ,7,new_hsk,,,0,3,3,0,2,True
凛,single-character,lǐn,lạnh; rùng mình vì lạnh,7,char_dictionary,resolved,冫,2,1,5,0,0,False
凛然,multi-character-word,lǐn rán,"Nghiêm nghị, trang trọng, trang nghiêm, đáng kính",7,boya,,,0,0,2,0,0,True
凝,single-character,níng,đông lại; tập trung chú ý,6,char_dictionary,resolved,冫,5,3,10,0,0,False
凝固,multi-character-word,níng gù,đông đặc,7,new_hsk,,,0,0,3,0,0,True
凝神,multi-character-word,níng shén,"tập trung tinh thần, chăm chú, nhập tâm",4,boya,,,0,0,2,0,0,True
凝聚,multi-character-word,níngjù,ngưng tụ,"6,7","hsk,new_hsk",,,0,0,4,0,2,True
凝视,multi-character-word,níng shì,nhìn chằm chằm,"4,6","boya,hsk",,,0,0,3,0,2,True
几,single-character,jǐ,bao nhiêu,"1,2,3,4","boya,hsk,new_hsk,yct",resolved,几,3,10,10,4,0,True
几乎,multi-character-word,jī hū,hầu như,"2,3,4,5","boya,hsk,new_hsk,yct",,,0,0,6,0,2,True
几率,multi-character-word,jī lǜ,khả năng xảy ra,7,new_hsk,,,0,0,0,0,2,True
凡,single-character,fán,mọi,7,new_hsk,not-resolved,,4,10,10,0,1,True
凡事,multi-character-word,fán shì,"Mọi việc, bất cứ việc gì",7,boya,,,0,0,6,0,0,True
凡是,multi-character-word,fán shì,mọi thứ,"3,6,7,8","boya,hsk,new_hsk",,,0,2,4,0,2,True
凤,single-character,Fèng,họ [Feng4],7,char_dictionary,resolved,又,1,4,4,0,0,False
凤凰,multi-character-word,fèng huáng,phượng hoàng,7,new_hsk,,,0,3,4,0,2,True
凭,single-character,píng,dựa vào,5,hsk,not-resolved,,6,10,10,1,1,True
凭借,multi-character-word,píng jiè,dựa vào,7,new_hsk,,,0,4,10,0,2,True
凭着,multi-character-word,píng zhe,dựa vào,7,new_hsk,,,0,0,1,0,2,True
凭证,multi-character-word,píng zhèng,chứng chỉ,7,new_hsk,,,0,5,5,0,2,True
凯,single-character,Kǎi,họ [Kai3],7,char_dictionary,resolved,几,1,4,5,0,0,False
凯歌,multi-character-word,kǎi gē,bài ca chiến thắng,7,new_hsk,,,0,3,4,0,2,True
凰,single-character,huáng,phượng hoàng,7,char_dictionary,resolved,几,1,3,4,0,0,False
凳,single-character,dèng,ghế dài; đôn,7,char_dictionary,resolved,几,1,3,4,0,0,False
凳子,multi-character-word,dèng zi,ghế đẩu,7,new_hsk,,,0,2,4,0,2,True
凵,single-character,kăn,Há miệng,99,radicals_214,resolved,凵,0,0,0,0,0,False
凶,single-character,xiōng,dữ dội,6,new_hsk,not-resolved,,6,5,10,0,1,True
凶恶,multi-character-word,xiōng'è,hung ác,7,new_hsk,,,0,0,3,0,0,True
凶手,multi-character-word,xiōng shǒu,sát nhân,6,"hsk,new_hsk",,,0,1,4,0,2,True
凶残,multi-character-word,xiōng cán,tàn nhẫn,7,new_hsk,,,0,0,1,0,2,True
凶狠,multi-character-word,xiōng hěn,tàn ác,7,new_hsk,,,0,3,4,0,2,True
凶猛,multi-character-word,xiōng měng,hung dữ,7,new_hsk,,,0,1,1,0,2,True
凸,single-character,tū,lồi,7,new_hsk,not-resolved,,2,1,6,0,1,True
凸显,multi-character-word,tū xiǎn,nổi bật,"7,8","boya,new_hsk",,,0,1,3,0,2,True
凹,single-character,āo,lõm,7,new_hsk,not-resolved,,2,0,5,0,1,True
凹凸,multi-character-word,āo tū,lồi lõm,6,hsk,,,0,0,3,0,2,True
凹形,multi-character-word,āo xíng,"hình lõm, hình lòng máng",7,boya,,,0,0,2,0,0,True
出,single-character,chū,ra ngoài,"1,2,3,4","boya,hsk,new_hsk,yct",resolved,止,15,10,10,4,0,True
出丑,multi-character-word,chū chǒu,bị bẽ mặt,7,new_hsk,,,0,3,3,0,2,True
出主意,multi-character-word,chū zhǔ yi,"đưa ra ý kiến, gợi ý",7,new_hsk,,,0,2,3,0,3,True
出乱子,multi-character-word,chū luàn zi,"xảy ra chuyện lộn xộn, gây rắc rối",3,boya,,,0,0,2,0,0,True
出事,multi-character-word,chū shì,gặp tai nạn,6,new_hsk,,,0,4,4,0,2,True
出人头地,multi-character-word,chū rén tóu dì,"Vượt trội hơn người, xuất chúng, nổi bật",7,boya,,,0,0,2,0,0,True
出人意料,multi-character-word,chū rén yì liào,ngoài dự đoán,7,new_hsk,,,0,3,7,0,4,True
出任,multi-character-word,chū rèn,nhậm chức,7,new_hsk,,,0,2,4,0,2,True
出众,multi-character-word,chū zhòng,nổi bật,7,new_hsk,,,0,5,5,0,2,True
出入,multi-character-word,chū rù,chênh lệch,6,new_hsk,,,0,0,1,0,2,True
出具,multi-character-word,chū jù,cấp,7,new_hsk,,,0,2,3,0,2,True
出动,multi-character-word,chū dòng,điều động quân đội,6,new_hsk,,,0,4,6,0,2,True
出卖,multi-character-word,chū mài,bán ra,"3,7","boya,new_hsk",,,0,0,3,0,2,True
出厂,multi-character-word,chū chǎng,xuất xưởng,7,new_hsk,,,0,2,4,0,2,True
出去,multi-character-word,chū qu,ra ngoài,"1,2","boya,new_hsk",,,1,5,10,3,2,True
出发,multi-character-word,chū fā,khởi hành,"1,2,3,4","boya,hsk,new_hsk,yct",,,1,4,10,2,2,True
出发点,multi-character-word,chū fā diǎn,điểm xuất phát,7,new_hsk,,,0,0,1,0,3,True
出口,multi-character-word,chū kǒu,lối ra,"2,4,5","hsk,new_hsk",,,2,5,10,0,0,True
出口成章,multi-character-word,chū kǒu chéng zhāng,nói ra thành văn,7,new_hsk,,,0,0,3,0,4,True
出台,multi-character-word,chū tái,công bố,6,new_hsk,,,0,0,8,0,2,True
出名,multi-character-word,chū míng,nổi tiếng,6,new_hsk,,,0,1,5,0,2,True
出售,multi-character-word,chū shòu,bán,4,new_hsk,,,0,0,8,0,2,True
出国,multi-character-word,chū guó,ra nước ngoài,2,new_hsk,,,0,2,5,0,2,True
出土,multi-character-word,chū tǔ,khai quật,7,new_hsk,,,0,4,4,0,2,True
出场,multi-character-word,chū chǎng,ra sân khấu,6,new_hsk,,,0,0,1,0,2,True
出境,multi-character-word,chū jìng,xuất cảnh,7,new_hsk,,,0,5,7,0,2,True
出头,multi-character-word,chū tóu,xuất đầu,7,new_hsk,,,0,3,4,0,2,True
出局,multi-character-word,chū jú,bị loại,7,new_hsk,,,0,3,4,0,2,True
出差,multi-character-word,chū chāi,đi công tác,"4,6","boya,hsk",,,0,1,9,0,2,True
出席,multi-character-word,chū xí,tham dự,"4,5","hsk,new_hsk",,,0,2,10,0,0,True
出息,multi-character-word,chū xi,triển vọng,7,new_hsk,,,0,0,3,0,0,True
出手,multi-character-word,chū shǒu,"bán, thanh lý",7,new_hsk,,,0,1,4,0,2,True
出来,multi-character-word,chū lai,ra ngoài,"1,2","boya,new_hsk",,,0,5,10,4,2,True
出毛病,multi-character-word,chū máo bing,gặp trục trặc,7,new_hsk,,,0,1,4,0,3,True
出汗,multi-character-word,chū hàn,ra mồ hôi,5,new_hsk,,,0,0,3,0,2,True
出洋相,multi-character-word,chūyángxiàng,làm trò cười,7,new_hsk,,,0,0,1,0,0,True
出游,multi-character-word,chū yóu,đi du lịch,7,new_hsk,,,0,2,6,0,2,True
出演,multi-character-word,chū yǎn,biểu diễn,7,new_hsk,,,0,4,5,0,2,True
出版,multi-character-word,chū bǎn,xuất bản,5,hsk,,,1,6,10,0,2,True
出版社,multi-character-word,chū bǎn shè,nhà xuất bản,7,new_hsk,,,0,3,6,0,3,True
出现,multi-character-word,chū xiàn,xuất hiện,"2,4,5","boya,hsk,new_hsk,yct",,,0,10,10,1,0,True
出生,multi-character-word,chū shēng,sinh ra,"2,3,4,5","boya,hsk,new_hsk,yct",,,0,1,9,0,0,True
出示,multi-character-word,chū shì,xuất trình,"5,7","hsk,new_hsk",,,0,5,10,0,2,True
出神,multi-character-word,chū shén,mất hồn,"6,8","boya,hsk",,,0,0,3,0,2,True
出租,multi-character-word,chū zū,cho thuê,"2,3","boya,new_hsk",,,1,1,3,2,2,True
出租车,multi-character-word,chū zū chē,taxi,"1,2,3,4","boya,hsk,new_hsk,yct",,,0,1,3,2,0,True
出类拔萃,multi-character-word,chū lèi bá cuì,"Nổi bật xuất chúng, kiệt xuất, vượt trội hơn người.",8,boya,,,0,0,2,0,0,True
出自,multi-character-word,chū zì,đến từ,"5,7","hsk,new_hsk",,,0,4,6,0,2,True
出色,multi-character-word,chū sè,xuất sắc,4,new_hsk,,,0,1,10,0,0,True
出血,multi-character-word,chū xiě,chi nhiều tiền,7,"boya,new_hsk",,,0,4,4,0,2,True
出行,multi-character-word,chū xíng,đi du lịch,6,new_hsk,,,0,8,10,0,2,True
出访,multi-character-word,chū fǎng,thăm nước ngoài,6,new_hsk,,,0,1,3,0,2,True
出诊,multi-character-word,chū zhěn,"khám bệnh tại nhà, đi khám bệnh bên ngoài",8,boya,,,0,0,2,0,0,True
出资,multi-character-word,chū zī,cung cấp tài trợ,7,new_hsk,,,0,3,4,0,2,True
出走,multi-character-word,chū zǒu,bỏ trốn,7,new_hsk,,,0,2,4,0,2,True
出路,multi-character-word,chū lù,lối thoát,6,"hsk,new_hsk",,,0,4,5,0,2,True
出身,multi-character-word,chū shēn,xuất thân,7,new_hsk,,,0,2,10,0,0,True
出远门,multi-character-word,chū yuǎn mén,"Đi xa, đi xa nhà",3,boya,,,0,0,2,0,0,True
出道,multi-character-word,chū dào,bắt đầu sự nghiệp,7,new_hsk,,,0,3,5,0,2,True
出门,multi-character-word,chū mén,ra khỏi nhà,"2,5","boya,new_hsk",,,0,3,10,1,2,True
出院,multi-character-word,chū yuàn,xuất viện,"2,3","hsk,new_hsk",,,0,0,1,0,2,True
出难题,multi-character-word,chū nán tí,đặt ra một nhiệm vụ rất khó khăn,7,new_hsk,,,0,0,5,0,3,True
出面,multi-character-word,chū miàn,xuất hiện cá nhân,6,new_hsk,,,0,3,5,0,2,True
出风头,multi-character-word,chū fēng tou,khoe khoang,7,new_hsk,,,0,3,4,0,3,True
击,single-character,jī,"đánh, đập, tấn công",5,hsk,not-resolved,,11,10,10,0,0,True
击掌,multi-character-word,jī zhǎng,"Vỗ tay, đập tay (để tán thành, ăn mừng)",7,boya,,,0,0,2,0,0,True
