word,hsk,charCount,pinyin,meaningShortVi,meaningFullVi,compounds,collocations,collocationsWithSentences,linkedCollocationSentences,sentences,grammar,reviewedRelations,candidateRelations,oldStatus,newStatus
回去,1,2,huí qù,trở về,"trở về, quay lại, về",0,0,0,0,2,1,0,0,PASS,PASS
回国,2,2,huí guó,về nước,về nước,0,2,0,0,4,3,0,0,PASS,PASS
回家,1,2,huí jiā,trở về nhà,về nhà,0,0,0,0,7,8,0,0,PASS,PASS
回忆,2,2,huí yì,nhớ lại,"hồi tưởng, nhớ lại, kỷ niệm",0,3,0,0,5,1,0,2,PASS,PASS
回来,1,2,huí lai,quay lại,"quay lại, trở về",0,1,0,0,5,3,0,1,PASS,PASS
回答,1,2,huí dá,trả lời,trả lời,0,3,3,6,4,1,0,1,PASS,PASS
因为,2,2,yīn wèi,bởi vì,nhân vi,0,2,0,0,6,6,0,1,PASS,PASS
团体,3,2,tuán tǐ,nhóm,"nhóm, tổ chức, tập thể",0,1,0,0,0,1,0,2,PASS,PASS
团圆,2,2,tuán yuán,đoàn tụ,Nghĩa của 团圆,0,0,0,0,3,1,0,0,PASS,PASS
团结,3,2,tuán jié,đoàn kết,đoàn kết,0,2,0,0,2,1,0,0,PASS,PASS
园林,3,2,yuán lín,vườn,"viên lâm — vườn cảnh, công viên kiểu truyền thống; chỉ loại vườn được thiết kế nghệ thuật theo phong cách Trung Hoa cổ điển, khác với vườn bình thường",0,3,2,2,4,1,0,0,PASS,PASS
困惑,3,2,kùn huò,bối rối,"bối rối, khó hiểu; lúng túng, không biết phải làm gì",0,3,1,1,4,1,0,1,PASS,PASS
困难,3,2,kùn nan,khó khăn,"Khó khăn, gian nan",0,2,1,1,4,3,0,0,PASS,PASS
国内,3,2,guó nèi,trong nước,trong nước,0,2,0,0,2,1,0,0,PASS,PASS
国外,1,2,guó wài,nước ngoài,"nước ngoài, ở nước ngoài",0,3,2,2,3,1,0,1,PASS,PASS
国宝,3,2,guó bǎo,bảo vật quốc gia,bảo vật quốc gia,0,4,3,3,5,1,0,0,PASS,PASS
国家,1,2,guó jiā,quốc gia,"quốc gia, nhà nước",0,3,0,0,4,2,0,0,PASS,PASS
国庆,3,2,guó qìng,Ngày Quốc khánh,"Quốc khánh, ngày lễ kỷ niệm thành lập nước; ngày nghỉ lễ để chúc mừng ngày thành lập quốc gia",0,2,1,1,2,1,0,0,PASS,PASS
国际,1,2,guó jì,quốc tế,quốc tế,0,2,0,0,2,1,0,0,PASS,PASS
图片,2,2,tú piàn,hình ảnh,hình ảnh,0,3,0,0,2,1,0,1,PASS,PASS
图画,3,2,tú huà,bức tranh,"bức tranh, hình vẽ",0,0,0,0,1,2,0,1,PASS,PASS
圈子,3,2,quān zi,nhóm,nhóm,0,0,0,0,0,1,0,2,PASS,PASS
土豆,2,2,tǔ dòu,khoai tây,khoai tây,0,2,0,0,4,1,0,0,PASS,PASS
圣火,3,2,shèng huǒ,Ngọn lửa thiêng,"Ngọn lửa thiêng, ngọn lửa thần thánh",0,0,0,0,2,1,0,0,PASS,PASS
圣经,3,2,shèng jīng,Kinh Thánh,Kinh Thánh,0,0,0,0,2,1,0,0,PASS,PASS
在家,1,2,zài jiā,ở nhà,"ở nhà (chỉ trạng thái có mặt tại nhà, dùng cho người)",0,3,0,0,9,7,0,1,PASS,PASS
地上,1,2,dì shàng,mặt đất,"mặt đất, dưới đất",0,2,0,0,3,1,0,0,PASS,PASS
地区,2,2,dì qū,khu vực,"khu vực, vùng",0,2,0,0,2,1,0,0,PASS,PASS
地图,1,2,dì tú,bản đồ,bản đồ,0,3,1,1,5,2,0,0,PASS,PASS
地址,2,2,dì zhǐ,địa chỉ,địa chỉ,0,1,1,3,3,2,0,0,PASS,PASS
地方,1,2,dì fang,nơi,"nơi, chỗ",0,3,2,5,5,3,0,1,PASS,PASS
地点,1,2,dì diǎn,địa điểm,địa điểm,0,2,0,0,2,1,0,0,PASS,PASS
地球,2,2,Dì qiú,trái đất,trái đất,0,2,0,0,2,1,0,0,PASS,PASS
地道,2,2,dì dao,đích thực,đích thực,0,2,0,0,4,1,0,0,PASS,PASS
地铁,1,2,dì tiě,tàu điện ngầm,địa thiết,1,3,2,2,4,2,0,0,PASS,PASS
场合,3,2,chǎng hé,dịp,"dịp, hoàn cảnh, trường hợp",0,2,0,0,1,1,0,0,PASS,PASS
场所,3,2,chǎng suǒ,nơi,nơi chốn; địa điểm; không gian dành cho mục đích nào đó,0,2,1,1,2,1,0,1,PASS,PASS
场面,3,2,chǎng miàn,cảnh,cảnh; khung cảnh; hoàn cảnh; quy mô; không khí,0,0,0,0,2,1,0,0,PASS,PASS
均匀,2,2,jūn yún,đều,"đều, phân bố đều",0,2,0,0,4,1,0,0,PASS,PASS
坏事,2,2,huài shì,ác,"việc xấu, tai họa; (động từ) làm hỏng",0,3,1,1,3,1,0,0,PASS,PASS
坏人,2,2,huài rén,người xấu,người xấu,0,2,0,0,3,2,0,0,PASS,PASS
坏处,2,2,huài chu,điều xấu,điều xấu; điểm hại,0,0,0,0,1,1,0,0,PASS,PASS
坐下,1,2,zuò xià,ngồi xuống,ngồi xuống,0,1,1,3,5,1,0,0,PASS,PASS
块儿,2,2,kuàir ,miếng,"miếng, cục, mẩu",1,0,0,0,2,1,0,0,PASS,PASS
坚决,3,2,jiān jué,quyết tâm,"quyết tâm, dứt khoát; kiên quyết",0,2,1,1,1,1,0,2,PASS,PASS
坚强,3,2,jiān qiáng,mạnh mẽ,"mạnh mẽ, kiên cường; vững vàng",0,2,1,1,1,1,0,2,PASS,PASS
坚持,2,2,jiān chí,kiên trì,"kiên trì, kiên quyết",0,1,0,0,7,7,0,0,PASS,PASS
坟墓,3,2,fén mù,mộ,Nghĩa của 坟墓,0,0,0,0,3,1,0,0,PASS,PASS
城市,3,2,chéng shì,thành phố,thành phố,0,2,1,2,3,2,0,0,PASS,PASS
基本,2,2,jī běn,cơ bản,"cơ bản; căn bản, về cơ bản",1,1,1,1,2,1,0,0,PASS,PASS
基础,1,2,jī chǔ,nền tảng,"nền tảng, cơ sở; cơ bản",0,2,1,1,2,1,0,0,PASS,PASS
堵车,1,2,dǔ chē,kẹt xe,đổ + xa (kẹt xe),0,0,0,0,3,1,1,0,PASS,PASS
境界,3,2,jìng jiè,trạng thái,"cảnh giới — trình độ, mức độ tinh thần hoặc nghệ thuật đạt được; cũng có nghĩa ranh giới, lĩnh vực",0,3,2,2,4,1,0,1,PASS,PASS
增加,2,2,zēng jiā,tăng,tăng thêm,0,2,0,0,2,1,0,1,PASS,PASS
增长,3,2,zēng zhǎng,tăng trưởng,"tăng trưởng; gia tăng về số lượng, kích thước hoặc mức độ",0,2,0,0,2,1,0,0,PASS,PASS
墨镜,2,2,mò jìng,Kính râm,"Kính râm, kính mát",0,0,0,0,2,1,0,0,PASS,PASS
壮观,2,2,zhuàng guān,cảnh tượng hùng vĩ,"tráng quan — cảnh tượng hùng vĩ, ngoạn mục, tráng lệ",0,4,0,0,4,1,0,0,PASS,PASS
声明,3,2,shēng míng,tuyên bố,"tuyên bố, tuyên bố; thông báo",0,2,0,0,2,1,0,0,PASS,PASS
声调,1,2,shēng diào,âm điệu,âm điệu,0,2,0,0,4,1,0,0,PASS,PASS
声音,2,2,shēng yīn,âm thanh,âm thanh,0,2,0,0,4,2,0,0,PASS,PASS
处理,3,2,chǔ lǐ,sắp xếp,"xử lý, giải quyết công việc",0,0,0,0,1,2,0,2,PASS,PASS
复习,1,2,fù xí,ôn tập,ôn tập,0,0,0,0,5,4,0,0,PASS,PASS
复印,3,2,fù yìn,sao chép,sao chép; photocopy; in lại bản sao,0,2,0,0,2,1,0,0,PASS,PASS
复杂,2,2,fù zá,phức tạp,phức tạp; rắc rối; cầu kỳ,0,2,0,0,2,1,0,0,PASS,PASS
夏天,1,2,xià tiān,mùa hè,hạ thiên,0,1,0,0,7,5,0,0,PASS,PASS
外交,3,2,wài jiāo,ngoại giao,ngoại giao,1,2,2,2,2,1,0,0,PASS,PASS
外人,3,2,wài rén,người ngoài,"người ngoài, người lạ",0,0,0,0,2,1,0,0,PASS,PASS
外卖,2,2,wài mài,đồ ăn mang về,ngoại mại,0,2,1,1,2,1,0,0,PASS,PASS
外号,2,2,wài hào,biệt danh,"biệt danh, tên hiệu",0,2,1,3,3,1,0,0,PASS,PASS
外国,1,2,wài guó,nước ngoài,"nước ngoài, nước khác",0,4,2,2,4,1,0,1,PASS,PASS
外地,2,2,wài dì,nơi khác,nơi khác,0,2,0,0,2,1,0,0,PASS,PASS
外文,3,2,wài wén,ngoại ngữ,"ngoại ngữ, tiếng nước ngoài",0,2,1,1,1,1,0,1,PASS,PASS
外衣,2,2,wài yī,áo khoác,áo khoác ngoài; lớp vỏ bên ngoài (nghĩa bóng),0,3,1,1,4,1,1,0,PASS,PASS
外语,1,2,wài yǔ,ngoại ngữ,ngoại ngữ,0,2,0,0,5,3,1,1,PASS,PASS
外边,1,2,wài biān,bên ngoài,bên ngoài,0,2,1,1,4,2,0,2,PASS,PASS
外面,2,2,wài miàn,bên ngoài,"bên ngoài, ngoài trời; nước ngoài",0,1,0,0,4,3,0,2,PASS,PASS
多久,2,2,duō jiǔ,bao lâu?,bao lâu,0,3,2,3,3,1,0,0,PASS,PASS
多么,2,2,duō me,đến mức nào,đa ma,0,2,0,0,2,1,0,0,PASS,PASS
多云,2,2,duō yún,nhiều mây,đa vân,0,2,0,0,3,1,0,0,PASS,PASS
多大,1,2,duō dà,bao nhiêu tuổi,bao nhiêu tuổi; lớn cỡ nào,0,0,0,0,4,4,0,0,PASS,PASS
多少,1,2,duō shao,bao nhiêu,bao nhiêu,0,3,3,7,10,7,0,0,PASS,PASS
夜里,1,2,yè li,vào ban đêm,vào ban đêm,0,2,0,0,2,1,0,0,PASS,PASS
大人,2,2,dà ren,người lớn,người lớn,0,2,0,0,1,1,0,0,PASS,PASS
大厦,3,2,dà shà,tòa nhà lớn,Đại hạ — tòa nhà lớn; tòa nhà cao tầng.,0,0,0,0,3,1,0,0,PASS,PASS
大声,2,2,dà shēng,to tiếng,"động lớn, to tiếng",0,2,1,1,3,1,0,0,PASS,PASS
大大,2,2,dà dà,rất nhiều,rất nhiều,0,2,1,2,2,3,0,0,PASS,PASS
大夫,3,2,dài fu,bác sĩ,bác sĩ,0,2,0,0,2,1,0,1,PASS,PASS
大学,1,2,dà xué,đại học,"đại học, trường đại học",1,0,0,0,5,3,0,0,PASS,PASS
大家,1,2,dà jiā,mọi người,mọi người,0,2,1,1,10,9,0,1,PASS,PASS
大小,2,2,dà xiǎo,kích thước,kích thước,0,2,1,2,2,1,0,0,PASS,PASS
大巴,1,2,dà bā,xe buýt,"xe buýt, xe khách",0,3,1,1,4,1,0,2,PASS,PASS
大概,1,2,dà gài,khoảng,"Khoảng, chừng, đại khái, có lẽ",0,4,0,0,4,2,0,2,PASS,PASS
大海,2,2,dà hǎi,biển,đại hải,0,2,0,0,3,1,0,0,PASS,PASS
大约,3,2,dà yuē,khoảng,"Khoảng,chừng",0,0,0,0,3,1,0,2,PASS,PASS
大衣,2,2,dà yī,áo khoác dài,áo khoác dài,0,2,1,1,2,1,0,0,PASS,PASS
大量,2,2,dà liàng,lượng lớn,đại lượng,0,3,2,2,2,1,0,0,PASS,PASS
大门,2,2,dà mén,cổng chính,"cổng chính, đại môn",0,2,1,1,3,1,0,0,PASS,PASS
天上,2,2,tiān shàng,trên trời,trên trời,0,2,0,0,2,2,0,0,PASS,PASS
天气,1,2,tiān qì,thời tiết,thời tiết,0,3,1,1,19,10,0,0,PASS,PASS
天生,3,2,tiān shēng,thiên bẩm,"thiên sinh — bẩm sinh, có từ khi sinh ra (tài năng, tính cách, đặc điểm tự nhiên)",0,3,1,1,4,1,0,0,PASS,PASS
天空,3,2,tiān kōng,bầu trời,bầu trời,0,2,0,0,3,2,0,0,PASS,PASS
太太,2,2,tài tai,bà,"bà, vợ",1,0,0,0,1,1,0,0,PASS,PASS
太阳,2,2,tài yáng,mặt trời,mặt trời,1,2,0,0,3,3,0,0,PASS,PASS
夫人,2,2,fū ren,phu nhân,"Vợ (trang trọng), phu nhân",0,1,1,3,3,1,0,0,PASS,PASS
夫妻,3,2,fū qī,vợ chồng,phu + thê (vợ chồng),0,0,0,0,3,1,0,1,PASS,PASS
失去,2,2,shī qù,mất,"mất mát, không còn nữa",0,2,1,1,3,2,0,0,PASS,PASS
失手,3,2,shī shǒu,lỡ tay,"lỡ tay, sơ suất; thất bại",0,0,0,0,2,1,1,0,PASS,PASS
失望,2,2,shī wàng,thất vọng,thất + vọng (thất vọng),0,0,0,0,3,1,0,0,PASS,PASS
失败,2,2,shī bài,thất bại,thất bại,0,2,0,0,5,4,0,0,PASS,PASS
头儿,2,2,tóur ,Ông chủ,"Ông chủ, thủ trưởng, người đứng đầu",0,0,0,0,2,1,0,1,PASS,PASS
头发,1,2,tóu fa,tóc,tóc,0,1,0,0,4,3,0,0,PASS,PASS
头疼,1,2,tóu téng,đau đầu,"đầu đông — đau đầu; (nghĩa bóng) gây khó chịu, rắc rối, nhức đầu",0,3,0,0,4,1,0,0,PASS,PASS
头脑,3,2,tóu nǎo,bộ não,"Bộ não, tư duy",0,0,0,0,3,1,0,0,PASS,PASS
奇怪,2,2,qí guài,lạ lùng,"Lạ thường, kỳ lạ",0,0,0,0,3,1,0,0,PASS,PASS
奇迹,2,2,qíjì,phép lạ,phép lạ,0,2,0,0,4,1,0,0,PASS,PASS
奔跑,3,2,bēn pǎo,chạy,"chạy nhanh, chạy bộ — chạy với tốc độ cao, hành động chạy mạnh mẽ",0,4,1,1,4,1,0,0,PASS,PASS
奢侈,3,2,shē chǐ,xa hoa,"xa xỉ, hoang phí, tiêu xài quá mức; dùng để chỉ lối sống phung phí tiền của",0,3,1,1,4,1,0,0,PASS,PASS
女人,1,2,nǚ rén,phụ nữ,"phụ nữ, người phụ nữ",0,3,0,0,4,1,0,1,PASS,PASS
女儿,1,2,nǚ'ér,con gái,con gái,0,2,1,3,12,9,0,1,PASS,PASS
女士,1,2,nǚ shì,quý bà,quý bà,0,1,1,2,2,1,0,0,PASS,PASS
女子,3,2,nǚ zǐ,phụ nữ,Phụ nữ,0,0,0,0,3,1,0,1,PASS,PASS
女生,1,2,nǚ shēng,nữ sinh,"học sinh nữ, nữ sinh",0,0,0,0,2,1,0,0,PASS,PASS
奶奶,1,2,nǎi nai,bà nội,bà nội,0,2,1,1,4,1,0,0,PASS,PASS
奶茶,2,2,nǎi chá,trà sữa,trà sữa,0,0,0,0,0,1,0,0,PASS,PASS
她们,1,2,tā men,họ (nữ),"các cô ấy, các chị ấy",0,2,0,0,2,1,2,0,PASS,PASS
好不,2,2,hǎo bù,thật là,"thật là, rất là (biểu thị sự ngạc nhiên, cảm thán)",1,0,0,0,3,2,0,0,PASS,PASS
好久,2,2,hǎo jiǔ,đã lâu,đã lâu,0,3,2,2,3,1,0,0,PASS,PASS
好事,2,2,hǎo shì,lòng tốt,việc tốt,0,2,1,1,3,2,0,0,PASS,PASS
好人,2,2,hǎo rén,người tốt,người tốt,0,2,0,0,2,1,0,0,PASS,PASS
好像,1,2,hǎo xiàng,dường như,dường như; hình như,0,1,1,3,3,3,0,2,PASS,PASS
好吃,1,2,hǎo chī,ngon (về đồ ăn),ngon,0,2,1,3,9,8,0,0,PASS,PASS
好听,1,2,hǎo tīng,dễ nghe,"nghe hay, hay (về âm thanh)",0,0,0,0,6,4,0,0,PASS,PASS
好喝,2,2,hǎo hē,ngon (đồ uống),ngon (đồ uống),0,0,0,0,1,2,0,0,PASS,PASS
好处,2,2,hǎo chù,lợi ích,lợi ích; điểm tốt,0,1,1,1,2,2,0,0,PASS,PASS
好多,2,2,hǎo duō,nhiều lắm,hảo đa,0,3,2,2,4,2,0,0,PASS,PASS
好奇,3,2,hào qí,tò mò,"Tò mò, hiếu kỳ",0,3,1,2,3,1,0,0,PASS,PASS
好好,3,2,hǎo hào,cẩn thận,"Cẩn thận, thật tốt",1,0,0,0,3,1,0,2,PASS,PASS
好看,1,2,hǎo kàn,đẹp,"đẹp, hay",0,2,1,3,9,8,0,2,PASS,PASS
如何,3,2,rú hé,Như thế nào?,như thế nào; bằng cách nào,0,2,1,1,3,2,0,1,PASS,PASS
如果,1,2,rú guǒ,nếu,như quả,0,2,0,0,6,4,0,2,PASS,PASS
妈妈,1,2,mā ma,mẹ,mẹ,0,2,1,3,16,10,0,1,PASS,PASS
妨害,3,2,fáng hài,gây hại,gây hại,0,3,3,3,3,1,0,1,PASS,PASS
妹妹,1,2,mèi mei,em gái,em gái,0,2,1,3,5,2,0,0,PASS,PASS
妻子,2,2,qī zi,vợ,vợ,0,2,0,0,3,2,0,1,PASS,PASS
始终,3,2,shǐ zhōng,từ đầu đến cuối,"Luôn luôn, từ đầu đến cuối",0,2,0,0,3,1,0,0,PASS,PASS
姐姐,1,2,jiě jie,chị gái,chị gái,0,2,1,3,8,5,0,0,PASS,PASS
姑娘,2,2,gū niang,cô gái,"Cô gái, thiếu nữ; (vùng phương Bắc) con gái",0,4,0,0,3,1,0,0,PASS,PASS
姓名,2,2,xìng míng,họ tên,họ tên,0,1,0,0,2,1,0,0,PASS,PASS
威胁,3,2,wēi xié,đe dọa,"đe dọa, uy hiếp",0,0,0,0,4,1,0,0,PASS,PASS
婴儿,3,2,yīng'ér,trẻ sơ sinh,"trẻ sơ sinh, trẻ nhỏ",0,2,0,0,4,1,0,0,PASS,PASS
媒体,3,2,méi tǐ,truyền thông đại chúng,"phương tiện truyền thông; báo chí, truyền thông",1,2,1,1,2,1,0,0,PASS,PASS
子女,3,2,zǐ nǚ,con trai và con gái,Con cái,0,0,0,0,3,1,0,0,PASS,PASS
字典,2,2,zì diǎn,từ điển,từ điển,0,1,1,1,1,1,0,1,PASS,PASS
存在,3,2,cún zài,tồn tại,tồn tại,0,2,0,0,1,1,0,0,PASS,PASS
季节,1,2,jì jié,mùa,mùa,0,1,1,2,2,1,0,0,PASS,PASS
学习,1,2,xué xí,học,"học, học tập",0,3,3,5,20,10,0,0,PASS,PASS
学期,1,2,xué qī,học kỳ,học kỳ,0,1,1,2,2,1,0,0,PASS,PASS
学校,1,2,xué xiào,trường học,"Trường học, nơi dạy và học; trường (như tổ chức giáo dục)",0,0,0,0,20,10,0,0,PASS,PASS
学生,1,2,xué shēng,sinh viên,học sinh,5,3,2,4,20,10,0,0,PASS,PASS
学费,3,2,xué fèi,học phí,học phí,0,1,0,0,2,1,0,0,PASS,PASS
学院,1,2,xué yuàn,học viện,"học viện, khoa",0,2,0,0,3,1,0,0,PASS,PASS
孩子,1,2,hái zi,trẻ em,"đứa trẻ, trẻ em",1,3,1,1,7,4,0,1,PASS,PASS
宁静,2,2,níng jìng,yên bình,"yên bình, tĩnh lặng, không ồn ào",0,2,0,0,2,1,0,0,PASS,PASS
它们,1,2,tā men,chúng,chúng,0,2,1,1,2,1,2,0,PASS,PASS
安全,2,2,ān quán,an toàn,an toàn,0,3,2,2,4,2,0,0,PASS,PASS
安排,1,2,ān pái,sắp xếp,"sắp xếp, bố trí, an bài",0,0,0,0,1,2,0,2,PASS,PASS
安装,3,2,ān zhuāng,cài đặt,"lắp đặt, cài đặt",0,2,1,1,2,1,0,0,PASS,PASS
安静,2,2,ān jìng,yên tĩnh,yên tĩnh,0,3,2,2,4,2,0,0,PASS,PASS
完全,2,2,wán quán,hoàn toàn,hoàn toàn,0,1,1,3,3,2,0,2,PASS,PASS
完善,3,2,wán shàn,hoàn thiện,"hoàn thiện, đầy đủ, làm cho tốt hơn",0,2,0,0,2,1,0,0,PASS,PASS
完成,2,2,wán chéng,hoàn thành,hoàn thành,0,2,0,0,4,3,0,0,PASS,PASS
完整,3,2,wán zhěng,hoàn chỉnh,"hoàn chỉnh, nguyên vẹn",0,2,0,0,2,1,0,0,PASS,PASS
完美,3,2,wán měi,hoàn hảo,"hoàn hảo, tuyệt vời",0,2,0,0,2,1,0,0,PASS,PASS
宏观,3,2,hóng guān,vĩ mô,"Hoành quan (vĩ mô) — góc nhìn tổng thể, ở tầm rộng và bao quát; đối lập với vi mô (微观). Thường dùng trong kinh tế và khoa học.",0,3,3,3,4,1,0,0,PASS,PASS
定期,3,2,dìng qī,định kỳ,Định kỳ,0,0,0,0,3,1,0,0,PASS,PASS
实习,2,2,shí xí,thực tập,thực tập,0,2,0,0,2,1,0,0,PASS,PASS
实力,3,2,shí lì,sức mạnh thực tế,sức mạnh thực tế; thực lực,0,1,0,0,2,2,0,0,PASS,PASS
实在,2,2,shí zài,thực sự,thực sự,0,2,0,0,2,2,0,2,PASS,PASS
实惠,2,2,shí huì,hữu ích,"hữu ích, lợi ích thực tế; giá cả phải chăng",0,0,0,0,4,1,0,1,PASS,PASS
实现,2,2,shí xiàn,đạt được,thực hiện,0,1,1,1,1,1,0,3,PASS,PASS
实行,2,2,shí xíng,thực hiện,"thực hiện, thi hành",0,1,1,1,1,1,0,1,PASS,PASS
实话,2,2,shí huà,sự thật,sự thật,1,2,0,0,4,1,0,1,PASS,PASS
实际,2,2,shí jì,thực tế,thực tế,1,3,1,1,4,2,0,2,PASS,PASS
实验,2,2,shí yàn,thí nghiệm,"thí nghiệm, làm thí nghiệm",1,2,0,0,1,1,0,0,PASS,PASS
客人,1,2,kè rén,khách hàng,khách hàng,0,1,0,0,4,3,0,1,PASS,PASS
客气,1,2,kè qi,lịch sự,"lịch sự, khách sáo, xa lạ",2,1,0,0,4,2,0,0,PASS,PASS
客观,3,2,kè guān,khách quan,"khách quan; công minh, không thiên vị",0,2,0,0,1,1,0,0,PASS,PASS
宣布,3,2,xuān bù,công bố,công bố,0,2,0,0,1,1,0,1,PASS,PASS
宰杀,3,2,zǎi shā,giết mổ,giết mổ,0,0,0,0,2,1,0,0,PASS,PASS
害怕,3,2,hài pà,sợ hãi,sợ,0,2,0,0,2,1,0,0,PASS,PASS
宴会,2,2,yàn huì,tiệc,tiệc,0,2,0,0,4,1,0,0,PASS,PASS
家乡,3,2,jiā xiāng,quê hương,quê hương,0,2,0,0,4,3,0,2,PASS,PASS
家人,1,2,jiā rén,thành viên gia đình,"người nhà, thành viên gia đình",0,2,1,1,5,2,0,1,PASS,PASS
家伙,3,2,jiā huo,gia súc,"gã, thằng cha, tên (chỉ người — thường thân mật hoặc coi thường); cũng có nghĩa là công cụ, vũ khí (khẩu ngữ)",0,3,2,2,4,1,0,0,PASS,PASS
家具,3,2,jiā jù,đồ nội thất,đồ nội thất,0,0,0,0,0,1,0,0,PASS,PASS
家属,3,2,jiā shǔ,thành viên gia đình,"Gia đình, người nhà",0,1,0,0,3,1,0,1,PASS,PASS
家庭,2,2,jiā tíng,gia đình,gia đình,0,2,0,0,2,1,0,1,PASS,PASS
家教,2,2,jiā jiào,gia sư,"Gia giáo — có hai nghĩa chính: (1) gia sư, người dạy kèm tại nhà; (2) nề nếp gia đình, cách dạy dỗ của cha mẹ. Ngữ cảnh quyết định nghĩa nào.",0,3,1,2,4,1,0,0,PASS,PASS
家族,3,2,jiā zú,gia đình,gia tộc; dòng họ; họ hàng (nhóm người cùng họ),0,0,0,0,1,1,0,1,PASS,PASS
家里,1,2,jiā li,ở nhà,"ở nhà, trong nhà (chỉ vị trí trong ngôi nhà)",0,3,1,2,7,4,0,1,PASS,PASS
家长,2,2,jiā zhǎng,phụ huynh,phụ huynh,0,2,1,1,2,1,0,0,PASS,PASS
容器,3,2,róng qì,đồ chứa,"Dung khí — đồ chứa, vật dụng để đựng. Chỉ bất kỳ vật có thể chứa đựng thứ khác bên trong, từ bình, hộp đến thùng chứa.",0,3,0,0,4,1,0,0,PASS,PASS
容易,1,2,róng yì,dễ,"dễ, dễ dàng; dễ bị",2,2,1,2,4,3,0,0,PASS,PASS
容许,3,2,róng xǔ,cho phép,cho phép,0,0,0,0,3,1,0,0,PASS,PASS
宾馆,2,2,bīn guǎn,khách sạn,"khách sạn, nhà nghỉ",0,0,0,0,4,2,0,2,PASS,PASS
宿舍,1,2,sù shè,ký túc xá,ký túc xá,0,4,0,0,3,1,0,0,PASS,PASS
寒假,2,2,hán jià,kỳ nghỉ đông,"kỳ nghỉ đông, nghỉ đông",0,0,0,0,3,1,0,0,PASS,PASS
寒舍,3,2,hán shè,Nhà tôi,"Nhà tôi, nhà rách (cách nói khiêm tốn)",0,0,0,0,2,1,0,0,PASS,PASS
对了,1,2,duì le,À phải rồi,"À phải rồi, đúng rồi (dùng để chuyển chủ đề hoặc nhớ ra điều gì đó)",0,0,0,0,2,1,0,0,PASS,PASS
对待,3,2,duì dài,đối xử,"Đối xử, ứng xử",0,2,0,0,3,1,0,0,PASS,PASS
对手,2,2,duì shǒu,đối thủ,"Đối thủ, người cạnh tranh; người có khả năng tương xứng",0,4,0,0,5,3,0,0,PASS,PASS
对方,3,2,duì fāng,bên kia,"Bên kia, đối phương",0,0,0,0,3,1,0,0,PASS,PASS
对话,2,2,duì huà,đối thoại,"đối thoại, hội thoại",0,3,0,0,3,1,0,0,PASS,PASS
对象,3,2,duì xiàng,đối tượng,"Đối tượng, người yêu",0,0,0,0,3,1,0,0,PASS,PASS
对面,1,2,duì miàn,đối diện,đối diện,1,2,0,0,2,1,0,0,PASS,PASS
导演,3,2,dǎo yǎn,đạo diễn,đạo diễn,0,2,0,0,2,1,0,0,PASS,PASS
射门,2,2,shè mén,Sút bóng (vào gôn),"Sút bóng (vào gôn), dứt điểm",0,0,0,0,2,1,0,0,PASS,PASS
将来,2,2,jiāng lái,tương lai,Tương lai,0,0,0,0,3,1,0,1,PASS,PASS
将近,3,2,jiāng jìn,gần,gần; sắp; khoảng chừng,0,2,0,0,2,1,0,0,PASS,PASS
小区,2,2,xiǎo qū,khu dân cư,"khu dân cư, khu chung cư",0,2,1,1,5,3,0,0,PASS,PASS
小声,2,2,xiǎo shēng,thì thầm,thì thầm,0,2,1,1,2,1,0,0,PASS,PASS
小姐,1,2,xiǎo jiě,cô,"cô, tiểu thư",0,3,0,0,6,2,0,0,PASS,PASS
小学,1,2,xiǎo xué,trường tiểu học,"tiểu học, trường tiểu học",2,1,0,0,3,1,0,0,PASS,PASS
小孩,1,2,xiǎo hái,trẻ em,đứa trẻ,1,2,0,0,2,1,0,1,PASS,PASS
小心,2,2,xiǎo xīn,cẩn thận,tiểu tâm,1,3,1,1,3,1,0,2,PASS,PASS
小时,1,2,xiǎo shí,giờ,giờ,1,3,3,4,11,10,0,2,PASS,PASS
小组,2,2,xiǎo zǔ,nhóm,nhóm,0,2,0,0,3,1,0,2,PASS,PASS
小说,2,2,xiǎo shuō,tiểu thuyết,tiểu thuyết; câu chuyện,0,1,1,2,2,2,0,0,PASS,PASS
少数,2,2,shǎo shù,thiểu số,thiểu số,0,2,0,0,2,1,0,0,PASS,PASS
就业,3,2,jiù yè,việc làm,việc làm; có việc làm; tìm được việc,0,2,0,0,2,1,0,0,PASS,PASS
就是,1,2,jiù shì,chính xác,"chính là, đúng là",2,1,1,3,4,8,0,2,PASS,PASS
就要,2,2,jiù yào,sắp,sắp,0,1,1,3,4,3,0,1,PASS,PASS
尽情,3,2,jìn qíng,thỏa thích,"Tận tình — làm hết lòng, thỏa sức, không kìm nén cảm xúc hay ham muốn.",0,3,2,2,4,1,0,0,PASS,PASS
尽量,3,2,jǐn liàng,cố gắng hết sức,"Cố gắng hết sức, càng nhiều càng tốt",0,1,0,0,4,3,0,0,PASS,PASS
尾巴,2,2,wěi ba,đuôi,đuôi,0,1,1,2,2,1,0,0,PASS,PASS
局限,3,2,jú xiàn,hạn chế,"Cục hạn — bị giới hạn trong một phạm vi nhất định, không vượt ra ngoài được; mang nghĩa bị ràng buộc hoặc thu hẹp.",0,3,1,2,4,1,0,0,PASS,PASS
