sourceWord,targetWord,relationType,pinyin,meaningVi,evidence,source,reviewStatus
可是,但是,same-short-meaning-candidate,dàn shì,nhưng,exact normalized Vietnamese short meaning: nhưng,hsk_2.json,needs-review
可能,可以,same-short-meaning-candidate,kě yǐ,có thể,exact normalized Vietnamese short meaning: có thể,hsk_1.json,needs-review
可能,能够,same-short-meaning-candidate,néng gòu,có thể,exact normalized Vietnamese short meaning: có thể,hsk_2.json,needs-review
可见,清楚,same-short-meaning-candidate,qīng chu,rõ ràng,exact normalized Vietnamese short meaning: rõ ràng,hsk_2.json,needs-review
可见,显然,same-short-meaning-candidate,xiǎn rán,rõ ràng,exact normalized Vietnamese short meaning: rõ ràng,hsk_3.json,needs-review
可见,显而易见,same-short-meaning-candidate,xiǎn ér yì jiàn,rõ ràng,exact normalized Vietnamese short meaning: rõ ràng,hsk_3.json,needs-review
可见,明显,same-short-meaning-candidate,míng xiǎn,rõ ràng,exact normalized Vietnamese short meaning: rõ ràng,hsk_3.json,needs-review
各地,到处,same-short-meaning-candidate,dào chù,khắp nơi,exact normalized Vietnamese short meaning: khắp nơi,hsk_2.json,needs-review
合格,及格,same-short-meaning-candidate,jí gé,đạt yêu cầu,exact normalized Vietnamese short meaning: đạt yêu cầu,hsk_2.json,needs-review
合适,符合,same-short-meaning-candidate,fú hé,phù hợp,exact normalized Vietnamese short meaning: phù hợp,hsk_3.json,needs-review
合适,适合,same-short-meaning-candidate,shì hé,phù hợp,exact normalized Vietnamese short meaning: phù hợp,hsk_3.json,needs-review
合适,适用,same-short-meaning-candidate,shì yòng,phù hợp,exact normalized Vietnamese short meaning: phù hợp,hsk_3.json,needs-review
吉祥,幸运,same-short-meaning-candidate,xìng yùn,may mắn,exact normalized Vietnamese short meaning: may mắn,hsk_3.json,needs-review
同样,相似,same-short-meaning-candidate,xiāng sì,tương tự,exact normalized Vietnamese short meaning: tương tự,hsk_3.json,needs-review
同样,类似,same-short-meaning-candidate,lèi sì,tương tự,exact normalized Vietnamese short meaning: tương tự,hsk_3.json,needs-review
名字,名称,same-short-meaning-candidate,míng chēng,tên,exact normalized Vietnamese short meaning: tên,hsk_2.json,needs-review
名称,名字,same-short-meaning-candidate,míng zi,tên,exact normalized Vietnamese short meaning: tên,hsk_1.json,needs-review
后来,以后,same-short-meaning-candidate,yǐ hòu,sau này,exact normalized Vietnamese short meaning: sau này,hsk_1.json,needs-review
听众,观众,same-short-meaning-candidate,guān zhòng,khán giả,exact normalized Vietnamese short meaning: khán giả,hsk_3.json,needs-review
启事,通知,same-short-meaning-candidate,tōng zhī,thông báo,exact normalized Vietnamese short meaning: thông báo,hsk_2.json,needs-review
告诉,报纸,same-short-meaning-candidate,bào zhǐ,báo,exact normalized Vietnamese short meaning: báo,hsk_2.json,needs-review
员工,人员,same-short-meaning-candidate,rén yuán,nhân viên,exact normalized Vietnamese short meaning: nhân viên,hsk_3.json,needs-review
周年,纪念,same-short-meaning-candidate,jì niàn,kỷ niệm,exact normalized Vietnamese short meaning: kỷ niệm,hsk_3.json,needs-review
哪儿,哪{儿},homophone,nǎr ,Ở đâu?,exact normalized pinyin match in local HSK data,hsk_1.json,reviewed-local
哪儿,哪{儿},same-short-meaning-candidate,nǎr ,Ở đâu?,exact normalized Vietnamese short meaning: ở đâu,hsk_1.json,needs-review
哪儿,哪里,same-short-meaning-candidate,nǎ lǐ,ở đâu,exact normalized Vietnamese short meaning: ở đâu,hsk_1.json,needs-review
哪里,哪儿,same-short-meaning-candidate,nǎr,ở đâu,exact normalized Vietnamese short meaning: ở đâu,hsk_1.json,needs-review
哪里,哪{儿},same-short-meaning-candidate,nǎr ,Ở đâu?,exact normalized Vietnamese short meaning: ở đâu,hsk_1.json,needs-review
唯一,只有,same-short-meaning-candidate,zhǐ yǒu,chỉ có,exact normalized Vietnamese short meaning: chỉ có,hsk_3.json,needs-review
唱歌,演唱,same-short-meaning-candidate,yǎn chàng,hát,exact normalized Vietnamese short meaning: hát,hsk_3.json,needs-review
商场,购物中心,same-short-meaning-candidate,gòu wù zhōng xīn,trung tâm mua sắm,exact normalized Vietnamese short meaning: trung tâm mua sắm,hsk_1.json,needs-review
嗜好,习惯,same-short-meaning-candidate,xí guàn,thói quen,exact normalized Vietnamese short meaning: thói quen,hsk_1.json,needs-review
回忆,想起,same-short-meaning-candidate,xiǎng qǐ,nhớ lại,exact normalized Vietnamese short meaning: nhớ lại,hsk_2.json,needs-review
回忆,惦记,same-short-meaning-candidate,diàn jì,nhớ lại,exact normalized Vietnamese short meaning: nhớ lại,hsk_3.json,needs-review
回来,转身,same-short-meaning-candidate,zhuǎn shēn,quay lại,exact normalized Vietnamese short meaning: quay lại,hsk_2.json,needs-review
回答,答应,same-short-meaning-candidate,dā ying,trả lời,exact normalized Vietnamese short meaning: trả lời,hsk_2.json,needs-review
因为,由于,same-short-meaning-candidate,yóu yú,bởi vì,exact normalized Vietnamese short meaning: bởi vì,hsk_3.json,needs-review
团体,小组,same-short-meaning-candidate,xiǎo zǔ,nhóm,exact normalized Vietnamese short meaning: nhóm,hsk_2.json,needs-review
团体,圈子,same-short-meaning-candidate,quān zi,nhóm,exact normalized Vietnamese short meaning: nhóm,hsk_3.json,needs-review
困惑,莫名其妙,same-short-meaning-candidate,mò míng qí miào,bối rối,exact normalized Vietnamese short meaning: bối rối,hsk_3.json,needs-review
国外,外国,same-short-meaning-candidate,wài guó,nước ngoài,exact normalized Vietnamese short meaning: nước ngoài,hsk_1.json,needs-review
图片,形象,same-short-meaning-candidate,xíng xiàng,hình ảnh,exact normalized Vietnamese short meaning: hình ảnh,hsk_3.json,needs-review
图画,画儿,same-short-meaning-candidate,huàr ,bức tranh,exact normalized Vietnamese short meaning: bức tranh,hsk_2.json,needs-review
圈子,小组,same-short-meaning-candidate,xiǎo zǔ,nhóm,exact normalized Vietnamese short meaning: nhóm,hsk_2.json,needs-review
圈子,团体,same-short-meaning-candidate,tuán tǐ,nhóm,exact normalized Vietnamese short meaning: nhóm,hsk_3.json,needs-review
在家,家里,same-short-meaning-candidate,jiā li,ở nhà,exact normalized Vietnamese short meaning: ở nhà,hsk_1.json,needs-review
地方,场所,same-short-meaning-candidate,chǎng suǒ,nơi,exact normalized Vietnamese short meaning: nơi,hsk_3.json,needs-review
场所,地方,same-short-meaning-candidate,dì fang,nơi,exact normalized Vietnamese short meaning: nơi,hsk_1.json,needs-review
坚决,决心,same-short-meaning-candidate,jué xīn,quyết tâm,exact normalized Vietnamese short meaning: quyết tâm,hsk_2.json,needs-review
坚决,狠心,same-short-meaning-candidate,hěn xīn,quyết tâm,exact normalized Vietnamese short meaning: quyết tâm,hsk_2.json,needs-review
坚强,强烈,same-short-meaning-candidate,qiáng liè,mạnh mẽ,exact normalized Vietnamese short meaning: mạnh mẽ,hsk_3.json,needs-review
坚强,强大,same-short-meaning-candidate,qiáng dà,mạnh mẽ,exact normalized Vietnamese short meaning: mạnh mẽ,hsk_3.json,needs-review
堵车,打车,homophone,dǎ chē,đón xe,exact normalized pinyin match in local HSK data,hsk_1.json,reviewed-local
境界,状态,same-short-meaning-candidate,zhuàng tài,trạng thái,exact normalized Vietnamese short meaning: trạng thái,hsk_3.json,needs-review
增加,提高,same-short-meaning-candidate,tí gāo,tăng,exact normalized Vietnamese short meaning: tăng,hsk_2.json,needs-review
处理,安排,same-short-meaning-candidate,ān pái,sắp xếp,exact normalized Vietnamese short meaning: sắp xếp,hsk_1.json,needs-review
处理,整理,same-short-meaning-candidate,zhěng lǐ,sắp xếp,exact normalized Vietnamese short meaning: sắp xếp,hsk_3.json,needs-review
外国,国外,same-short-meaning-candidate,guó wài,nước ngoài,exact normalized Vietnamese short meaning: nước ngoài,hsk_1.json,needs-review
外文,外语,same-short-meaning-candidate,wài yǔ,ngoại ngữ,exact normalized Vietnamese short meaning: ngoại ngữ,hsk_1.json,needs-review
外衣,外语,homophone,wài yǔ,ngoại ngữ,exact normalized pinyin match in local HSK data,hsk_1.json,reviewed-local
外语,外衣,homophone,wài yī,áo khoác,exact normalized pinyin match in local HSK data,hsk_2.json,reviewed-local
外语,外文,same-short-meaning-candidate,wài wén,ngoại ngữ,exact normalized Vietnamese short meaning: ngoại ngữ,hsk_3.json,needs-review
外边,外面,same-short-meaning-candidate,wài miàn,bên ngoài,exact normalized Vietnamese short meaning: bên ngoài,hsk_2.json,needs-review
外边,以外,same-short-meaning-candidate,yǐ wài,bên ngoài,exact normalized Vietnamese short meaning: bên ngoài,hsk_2.json,needs-review
外面,外边,same-short-meaning-candidate,wài biān,bên ngoài,exact normalized Vietnamese short meaning: bên ngoài,hsk_1.json,needs-review
外面,以外,same-short-meaning-candidate,yǐ wài,bên ngoài,exact normalized Vietnamese short meaning: bên ngoài,hsk_2.json,needs-review
大夫,医生,same-short-meaning-candidate,yī shēng,bác sĩ,exact normalized Vietnamese short meaning: bác sĩ,hsk_1.json,needs-review
大家,人们,same-short-meaning-candidate,rén men,Mọi người,exact normalized Vietnamese short meaning: mọi người,hsk_2.json,needs-review
大巴,公共汽车,same-short-meaning-candidate,gōng gòng qì chē,xe buýt,exact normalized Vietnamese short meaning: xe buýt,hsk_1.json,needs-review
大巴,公交车,same-short-meaning-candidate,gōng jiāo chē,xe buýt,exact normalized Vietnamese short meaning: xe buýt,hsk_2.json,needs-review
大概,左右,same-short-meaning-candidate,zuǒ yòu,khoảng,exact normalized Vietnamese short meaning: khoảng,hsk_2.json,needs-review
大概,大约,same-short-meaning-candidate,dà yuē,khoảng,exact normalized Vietnamese short meaning: khoảng,hsk_3.json,needs-review
大约,大概,same-short-meaning-candidate,dà gài,khoảng,exact normalized Vietnamese short meaning: khoảng,hsk_1.json,needs-review
大约,左右,same-short-meaning-candidate,zuǒ yòu,khoảng,exact normalized Vietnamese short meaning: khoảng,hsk_2.json,needs-review
夫妻,爱人,same-short-meaning-candidate,ài rén,vợ chồng,exact normalized Vietnamese short meaning: vợ chồng,hsk_2.json,needs-review
失手,叔叔,homophone,shū shu,chú,exact normalized pinyin match in local HSK data,hsk_3.json,reviewed-local
头儿,老板,same-short-meaning-candidate,lǎo bǎn,ông chủ,exact normalized Vietnamese short meaning: Ông chủ,hsk_3.json,needs-review
女人,女子,same-short-meaning-candidate,nǚ zǐ,phụ nữ,exact normalized Vietnamese short meaning: phụ nữ,hsk_3.json,needs-review
女儿,女孩{儿},same-short-meaning-candidate,nǚ háir ,con gái,exact normalized Vietnamese short meaning: con gái,hsk_1.json,needs-review
女子,女人,same-short-meaning-candidate,nǚ rén,phụ nữ,exact normalized Vietnamese short meaning: phụ nữ,hsk_1.json,needs-review
她们,他们,homophone,tā men,họ,exact normalized pinyin match in local HSK data,hsk_1.json,reviewed-local
她们,它们,homophone,tā men,chúng,exact normalized pinyin match in local HSK data,hsk_1.json,reviewed-local
好像,看来,same-short-meaning-candidate,kàn lái,dường như,exact normalized Vietnamese short meaning: dường như,hsk_2.json,needs-review
好像,仿佛,same-short-meaning-candidate,fǎng fú,dường như,exact normalized Vietnamese short meaning: dường như,hsk_3.json,needs-review
好好,小心,same-short-meaning-candidate,xiǎo xīn,cẩn thận,exact normalized Vietnamese short meaning: cẩn thận,hsk_2.json,needs-review
好好,仔细,same-short-meaning-candidate,zǐ xì,cẩn thận,exact normalized Vietnamese short meaning: cẩn thận,hsk_2.json,needs-review
好看,漂亮,same-short-meaning-candidate,piào liang,đẹp,exact normalized Vietnamese short meaning: đẹp,hsk_1.json,needs-review
好看,美丽,same-short-meaning-candidate,měi lì,đẹp,exact normalized Vietnamese short meaning: đẹp,hsk_2.json,needs-review
如何,怎样,same-short-meaning-candidate,zěn yàng,như thế nào?,exact normalized Vietnamese short meaning: Như thế nào?,hsk_2.json,needs-review
如果,的话,same-short-meaning-candidate,de huà,nếu,exact normalized Vietnamese short meaning: nếu,hsk_1.json,needs-review
如果,要是,same-short-meaning-candidate,yào shi,nếu,exact normalized Vietnamese short meaning: nếu,hsk_2.json,needs-review
妈妈,母亲,same-short-meaning-candidate,mǔ qīn,mẹ,exact normalized Vietnamese short meaning: mẹ,hsk_2.json,needs-review
妨害,危害,same-short-meaning-candidate,wēi hài,gây hại,exact normalized Vietnamese short meaning: gây hại,hsk_3.json,needs-review
妻子,老婆,same-short-meaning-candidate,lǎo po,vợ,exact normalized Vietnamese short meaning: vợ,hsk_2.json,needs-review
字典,词典,same-short-meaning-candidate,cí diǎn,từ điển,exact normalized Vietnamese short meaning: từ điển,hsk_1.json,needs-review
孩子,小孩,same-short-meaning-candidate,xiǎo hái,trẻ em,exact normalized Vietnamese short meaning: trẻ em,hsk_1.json,needs-review
它们,他们,homophone,tā men,họ,exact normalized pinyin match in local HSK data,hsk_1.json,reviewed-local
它们,她们,homophone,tā men,họ (nữ),exact normalized pinyin match in local HSK data,hsk_1.json,reviewed-local
安排,处理,same-short-meaning-candidate,chǔ lǐ,sắp xếp,exact normalized Vietnamese short meaning: sắp xếp,hsk_3.json,needs-review
安排,整理,same-short-meaning-candidate,zhěng lǐ,sắp xếp,exact normalized Vietnamese short meaning: sắp xếp,hsk_3.json,needs-review
完全,全都,same-short-meaning-candidate,quán dōu,hoàn toàn,exact normalized Vietnamese short meaning: hoàn toàn,hsk_2.json,needs-review
完全,根本,same-short-meaning-candidate,gēn běn,hoàn toàn,exact normalized Vietnamese short meaning: hoàn toàn,hsk_3.json,needs-review
实在,确实,same-short-meaning-candidate,què shí,thực sự,exact normalized Vietnamese short meaning: thực sự,hsk_1.json,needs-review
实在,真正,same-short-meaning-candidate,zhēn zhèng,thực sự,exact normalized Vietnamese short meaning: thực sự,hsk_2.json,needs-review
实惠,有用,same-short-meaning-candidate,yǒu yòng,hữu ích,exact normalized Vietnamese short meaning: hữu ích,hsk_1.json,needs-review
实现,取得,same-short-meaning-candidate,qǔ dé,đạt được,exact normalized Vietnamese short meaning: đạt được,hsk_2.json,needs-review
实现,得出,same-short-meaning-candidate,dé chū,đạt được,exact normalized Vietnamese short meaning: đạt được,hsk_2.json,needs-review
实现,达到,same-short-meaning-candidate,dá dào,đạt được,exact normalized Vietnamese short meaning: đạt được,hsk_3.json,needs-review
实行,采取,same-short-meaning-candidate,cǎi qǔ,thực hiện,exact normalized Vietnamese short meaning: thực hiện,hsk_3.json,needs-review
实话,事实,same-short-meaning-candidate,shì shí,sự thật,exact normalized Vietnamese short meaning: sự thật,hsk_3.json,needs-review
实际,现实,same-short-meaning-candidate,xiàn shí,thực tế,exact normalized Vietnamese short meaning: thực tế,hsk_3.json,needs-review
实际,实际上,same-short-meaning-candidate,shí jì shàng,thực tế,exact normalized Vietnamese short meaning: thực tế,hsk_3.json,needs-review
客人,顾客,same-short-meaning-candidate,gù kè,khách hàng,exact normalized Vietnamese short meaning: khách hàng,hsk_2.json,needs-review
宣布,公布,same-short-meaning-candidate,gōng bù,công bố,exact normalized Vietnamese short meaning: công bố,hsk_3.json,needs-review
家乡,老家,same-short-meaning-candidate,lǎo jiā,quê hương,exact normalized Vietnamese short meaning: quê hương,hsk_2.json,needs-review
家乡,故乡,same-short-meaning-candidate,gù xiāng,quê hương,exact normalized Vietnamese short meaning: quê hương,hsk_3.json,needs-review
家人,家属,same-short-meaning-candidate,jiā shǔ,thành viên gia đình,exact normalized Vietnamese short meaning: thành viên gia đình,hsk_3.json,needs-review
家属,家人,same-short-meaning-candidate,jiā rén,thành viên gia đình,exact normalized Vietnamese short meaning: thành viên gia đình,hsk_1.json,needs-review
家庭,家族,same-short-meaning-candidate,jiā zú,gia đình,exact normalized Vietnamese short meaning: gia đình,hsk_3.json,needs-review
家族,家庭,same-short-meaning-candidate,jiā tíng,gia đình,exact normalized Vietnamese short meaning: gia đình,hsk_2.json,needs-review
家里,在家,same-short-meaning-candidate,zài jiā,ở nhà,exact normalized Vietnamese short meaning: ở nhà,hsk_1.json,needs-review
宾馆,酒店,same-short-meaning-candidate,jiǔ diàn,khách sạn,exact normalized Vietnamese short meaning: khách sạn,hsk_2.json,needs-review
宾馆,旅馆,same-short-meaning-candidate,lǚ guǎn,khách sạn,exact normalized Vietnamese short meaning: khách sạn,hsk_3.json,needs-review
将来,未来,same-short-meaning-candidate,wèi lái,tương lai,exact normalized Vietnamese short meaning: tương lai,hsk_2.json,needs-review
小孩,孩子,same-short-meaning-candidate,hái zi,trẻ em,exact normalized Vietnamese short meaning: trẻ em,hsk_1.json,needs-review
小心,仔细,same-short-meaning-candidate,zǐ xì,cẩn thận,exact normalized Vietnamese short meaning: cẩn thận,hsk_2.json,needs-review
小心,好好,same-short-meaning-candidate,hǎo hào,cẩn thận,exact normalized Vietnamese short meaning: cẩn thận,hsk_3.json,needs-review
小时,点钟,same-short-meaning-candidate,diǎn zhōng,Giờ,exact normalized Vietnamese short meaning: giờ,hsk_1.json,needs-review
小时,钟头,same-short-meaning-candidate,zhōng tóu,giờ,exact normalized Vietnamese short meaning: giờ,hsk_1.json,needs-review
小组,圈子,same-short-meaning-candidate,quān zi,nhóm,exact normalized Vietnamese short meaning: nhóm,hsk_3.json,needs-review
小组,团体,same-short-meaning-candidate,tuán tǐ,nhóm,exact normalized Vietnamese short meaning: nhóm,hsk_3.json,needs-review
就是,准确,same-short-meaning-candidate,zhǔn què,chính xác,exact normalized Vietnamese short meaning: chính xác,hsk_2.json,needs-review
就是,恰恰,same-short-meaning-candidate,qià qià,chính xác,exact normalized Vietnamese short meaning: chính xác,hsk_3.json,needs-review
就要,快要,same-short-meaning-candidate,kuài yào,sắp,exact normalized Vietnamese short meaning: sắp,hsk_1.json,needs-review
居然,意外,same-short-meaning-candidate,yì wài,bất ngờ,exact normalized Vietnamese short meaning: bất ngờ,hsk_3.json,needs-review
屋子,房子,same-short-meaning-candidate,fáng zi,nhà,exact normalized Vietnamese short meaning: nhà,hsk_1.json,needs-review
展现,展示,same-short-meaning-candidate,zhǎn shì,trưng bày,exact normalized Vietnamese short meaning: trưng bày,hsk_3.json,needs-review
展示,展现,same-short-meaning-candidate,zhǎn xiàn,trưng bày,exact normalized Vietnamese short meaning: trưng bày,hsk_3.json,needs-review
工夫,功夫,homophone,gōng fu,kung fu,exact normalized pinyin match in local HSK data,hsk_3.json,reviewed-local
左右,大概,same-short-meaning-candidate,dà gài,khoảng,exact normalized Vietnamese short meaning: khoảng,hsk_1.json,needs-review
左右,大约,same-short-meaning-candidate,dà yuē,khoảng,exact normalized Vietnamese short meaning: khoảng,hsk_3.json,needs-review
巨大,庞大,same-short-meaning-candidate,páng dà,khổng lồ,exact normalized Vietnamese short meaning: khổng lồ,hsk_3.json,needs-review
差别,分别,same-short-meaning-candidate,fēn bié,sự khác biệt,exact normalized Vietnamese short meaning: sự khác biệt,hsk_2.json,needs-review
差别,差异,same-short-meaning-candidate,chā yì,sự khác biệt,exact normalized Vietnamese short meaning: sự khác biệt,hsk_3.json,needs-review
差异,差别,same-short-meaning-candidate,chā bié,sự khác biệt,exact normalized Vietnamese short meaning: sự khác biệt,hsk_2.json,needs-review
差异,分别,same-short-meaning-candidate,fēn bié,sự khác biệt,exact normalized Vietnamese short meaning: sự khác biệt,hsk_2.json,needs-review
师傅,舒服,homophone,shū fu,thoải mái,exact normalized pinyin match in local HSK data,hsk_1.json,reviewed-local
带动,主导,same-short-meaning-candidate,zhǔ dǎo,dẫn dắt,exact normalized Vietnamese short meaning: dẫn dắt,hsk_3.json,needs-review
带动,带领,same-short-meaning-candidate,dài lǐng,dẫn dắt,exact normalized Vietnamese short meaning: dẫn dắt,hsk_3.json,needs-review
带领,带动,same-short-meaning-candidate,dài dòng,dẫn dắt,exact normalized Vietnamese short meaning: dẫn dắt,hsk_2.json,needs-review
带领,主导,same-short-meaning-candidate,zhǔ dǎo,dẫn dắt,exact normalized Vietnamese short meaning: dẫn dắt,hsk_3.json,needs-review
帮助,帮忙,same-short-meaning-candidate,bāng máng,giúp đỡ,exact normalized Vietnamese short meaning: giúp đỡ,hsk_1.json,needs-review
帮忙,帮助,same-short-meaning-candidate,bāng zhù,giúp đỡ,exact normalized Vietnamese short meaning: giúp đỡ,hsk_1.json,needs-review
常常,经常,same-short-meaning-candidate,jīng cháng,thường xuyên,exact normalized Vietnamese short meaning: thường xuyên,hsk_2.json,needs-review
常常,往往,same-short-meaning-candidate,wǎng wǎng,thường xuyên,exact normalized Vietnamese short meaning: thường xuyên,hsk_3.json,needs-review
常常,频繁,same-short-meaning-candidate,pín fán,thường xuyên,exact normalized Vietnamese short meaning: thường xuyên,hsk_3.json,needs-review
常见,流行,same-short-meaning-candidate,liú xíng,phổ biến,exact normalized Vietnamese short meaning: phổ biến,hsk_1.json,needs-review
常见,普及,same-short-meaning-candidate,pǔ jí,phổ biến,exact normalized Vietnamese short meaning: phổ biến,hsk_3.json,needs-review
干吗,干什么,same-short-meaning-candidate,gàn shén me,làm gì?,exact normalized Vietnamese short meaning: Làm gì?,hsk_1.json,needs-review
干脆,简单,same-short-meaning-candidate,jiǎn dān,đơn giản,exact normalized Vietnamese short meaning: đơn giản,hsk_1.json,needs-review
平常,正常,same-short-meaning-candidate,zhèng cháng,bình thường,exact normalized Vietnamese short meaning: bình thường,hsk_2.json,needs-review
年级,班级,same-short-meaning-candidate,bān jí,lớp,exact normalized Vietnamese short meaning: lớp,hsk_3.json,needs-review
幸运,吉祥,same-short-meaning-candidate,jí xiáng,may mắn,exact normalized Vietnamese short meaning: may mắn,hsk_3.json,needs-review
广播,播出,same-short-meaning-candidate,bō chū,phát sóng,exact normalized Vietnamese short meaning: phát sóng,hsk_3.json,needs-review
广播,播放,same-short-meaning-candidate,bō fàng,phát sóng,exact normalized Vietnamese short meaning: phát sóng,hsk_3.json,needs-review
应当,应该,same-short-meaning-candidate,yīng gāi,nên,exact normalized Vietnamese short meaning: nên,hsk_1.json,needs-review
应该,应当,same-short-meaning-candidate,yīng dāng,nên,exact normalized Vietnamese short meaning: nên,hsk_3.json,needs-review
底下,下面,same-short-meaning-candidate,xià miàn,bên dưới,exact normalized Vietnamese short meaning: bên dưới,hsk_1.json,needs-review
底下,下边,same-short-meaning-candidate,xià biān,bên dưới,exact normalized Vietnamese short meaning: bên dưới,hsk_1.json,needs-review
庞大,巨大,same-short-meaning-candidate,jù dà,khổng lồ,exact normalized Vietnamese short meaning: khổng lồ,hsk_3.json,needs-review
延伸,延长,same-short-meaning-candidate,yán cháng,kéo dài,exact normalized Vietnamese short meaning: kéo dài,hsk_2.json,needs-review
延伸,延续,same-short-meaning-candidate,yán xù,kéo dài,exact normalized Vietnamese short meaning: kéo dài,hsk_3.json,needs-review
延续,延伸,same-short-meaning-candidate,yán shēn,kéo dài,exact normalized Vietnamese short meaning: kéo dài,hsk_2.json,needs-review
延续,延长,same-short-meaning-candidate,yán cháng,kéo dài,exact normalized Vietnamese short meaning: kéo dài,hsk_2.json,needs-review
延长,延伸,same-short-meaning-candidate,yán shēn,kéo dài,exact normalized Vietnamese short meaning: kéo dài,hsk_2.json,needs-review
延长,延续,same-short-meaning-candidate,yán xù,kéo dài,exact normalized Vietnamese short meaning: kéo dài,hsk_3.json,needs-review
建成,制定,same-short-meaning-candidate,zhì dìng,thiết lập,exact normalized Vietnamese short meaning: thiết lập,hsk_3.json,needs-review
建成,设立,same-short-meaning-candidate,shè lì,thiết lập,exact normalized Vietnamese short meaning: thiết lập,hsk_3.json,needs-review
建立,建设,same-short-meaning-candidate,jiàn shè,xây dựng,exact normalized Vietnamese short meaning: xây dựng,hsk_3.json,needs-review
建设,建立,same-short-meaning-candidate,jiàn lì,xây dựng,exact normalized Vietnamese short meaning: xây dựng,hsk_3.json,needs-review
开发,发达,same-short-meaning-candidate,fā dá,phát triển,exact normalized Vietnamese short meaning: phát triển,hsk_2.json,needs-review
开发,发展,same-short-meaning-candidate,fā zhǎn,phát triển,exact normalized Vietnamese short meaning: phát triển,hsk_2.json,needs-review
开发,开展,same-short-meaning-candidate,kāi zhǎn,phát triển,exact normalized Vietnamese short meaning: phát triển,hsk_3.json,needs-review
开发,生长,same-short-meaning-candidate,shēng zhǎng,phát triển,exact normalized Vietnamese short meaning: phát triển,hsk_3.json,needs-review
开展,发达,same-short-meaning-candidate,fā dá,phát triển,exact normalized Vietnamese short meaning: phát triển,hsk_2.json,needs-review
开展,发展,same-short-meaning-candidate,fā zhǎn,phát triển,exact normalized Vietnamese short meaning: phát triển,hsk_2.json,needs-review
开展,开发,same-short-meaning-candidate,kāi fā,phát triển,exact normalized Vietnamese short meaning: phát triển,hsk_3.json,needs-review
开展,生长,same-short-meaning-candidate,shēng zhǎng,phát triển,exact normalized Vietnamese short meaning: phát triển,hsk_3.json,needs-review
开心,快乐,same-short-meaning-candidate,kuài lè,vui vẻ,exact normalized Vietnamese short meaning: vui vẻ,hsk_1.json,needs-review
开心,愉快,same-short-meaning-candidate,yú kuài,vui vẻ,exact normalized Vietnamese short meaning: vui vẻ,hsk_2.json,needs-review
开心,欢乐,same-short-meaning-candidate,huān lè,vui vẻ,exact normalized Vietnamese short meaning: vui vẻ,hsk_3.json,needs-review
开放,打开,same-short-meaning-candidate,dǎ kāi,mở,exact normalized Vietnamese short meaning: mở,hsk_1.json,needs-review
强大,强烈,same-short-meaning-candidate,qiáng liè,mạnh mẽ,exact normalized Vietnamese short meaning: mạnh mẽ,hsk_3.json,needs-review
强大,坚强,same-short-meaning-candidate,jiān qiáng,mạnh mẽ,exact normalized Vietnamese short meaning: mạnh mẽ,hsk_3.json,needs-review
强烈,坚强,same-short-meaning-candidate,jiān qiáng,mạnh mẽ,exact normalized Vietnamese short meaning: mạnh mẽ,hsk_3.json,needs-review
强烈,强大,same-short-meaning-candidate,qiáng dà,mạnh mẽ,exact normalized Vietnamese short meaning: mạnh mẽ,hsk_3.json,needs-review
当中,中间,same-short-meaning-candidate,zhōng jiān,giữa,exact normalized Vietnamese short meaning: giữa,hsk_1.json,needs-review
当初,原来,same-short-meaning-candidate,yuán lái,ban đầu,exact normalized Vietnamese short meaning: ban đầu,hsk_2.json,needs-review
当初,初步,same-short-meaning-candidate,chū bù,ban đầu,exact normalized Vietnamese short meaning: ban đầu,hsk_3.json,needs-review
当时,那时候,same-short-meaning-candidate,nà shí hòu,lúc đó,exact normalized Vietnamese short meaning: lúc đó,hsk_2.json,needs-review
形象,图片,same-short-meaning-candidate,tú piàn,hình ảnh,exact normalized Vietnamese short meaning: hình ảnh,hsk_2.json,needs-review
影片,电影,same-short-meaning-candidate,diàn yǐng,phim,exact normalized Vietnamese short meaning: phim,hsk_1.json,needs-review
往往,常常,same-short-meaning-candidate,cháng cháng,thường xuyên,exact normalized Vietnamese short meaning: thường xuyên,hsk_1.json,needs-review
往往,经常,same-short-meaning-candidate,jīng cháng,thường xuyên,exact normalized Vietnamese short meaning: thường xuyên,hsk_2.json,needs-review
往往,频繁,same-short-meaning-candidate,pín fán,thường xuyên,exact normalized Vietnamese short meaning: thường xuyên,hsk_3.json,needs-review
得出,实现,same-short-meaning-candidate,shí xiàn,đạt được,exact normalized Vietnamese short meaning: đạt được,hsk_2.json,needs-review
得出,取得,same-short-meaning-candidate,qǔ dé,đạt được,exact normalized Vietnamese short meaning: đạt được,hsk_2.json,needs-review
得出,达到,same-short-meaning-candidate,dá dào,đạt được,exact normalized Vietnamese short meaning: đạt được,hsk_3.json,needs-review
快乐,开心,same-short-meaning-candidate,kāi xīn,vui vẻ,exact normalized Vietnamese short meaning: vui vẻ,hsk_2.json,needs-review
快乐,愉快,same-short-meaning-candidate,yú kuài,vui vẻ,exact normalized Vietnamese short meaning: vui vẻ,hsk_2.json,needs-review
快乐,欢乐,same-short-meaning-candidate,huān lè,vui vẻ,exact normalized Vietnamese short meaning: vui vẻ,hsk_3.json,needs-review
快要,就要,same-short-meaning-candidate,jiù yào,sắp,exact normalized Vietnamese short meaning: sắp,hsk_2.json,needs-review
